年月,地區,信用卡處理中心處理筆數,信用卡處理中心處理金額[新台幣]
201401,10020000,631340,1492988909
201402,10020000,637337,1424612108
201403,10020000,641619,1370444535
201404,10020000,624882,1382651121
201405,10020000,622713,1378500419
201406,10020000,657778,1425439379
201407,10020000,692280,1526345358
201408,10020000,644339,1397954982
201409,10020000,672211,1513970215
201410,10020000,668613,1539918727
201411,10020000,588427,1320086727
201412,10020000,703080,1535125245
201501,10020000,638263,1419371814
201502,10020000,664922,1538163658
201503,10020000,647463,1391889226
201504,10020000,631719,1387342536
201505,10020000,621928,1375192804
201506,10020000,685746,1441887478
201507,10020000,702253,1513007417
201508,10020000,693033,1444950011
201509,10020000,647275,1376192094
201510,10020000,668403,1582729583
201511,10020000,664233,1429758498
201512,10020000,657486,1417273779
201601,10020000,431897,1258260795
201602,10020000,450406,1308065849
201603,10020000,419198,1166029980
201604,10020000,405196,1142089870
201605,10020000,434240,1203161431
201606,10020000,409588,1088260985
201607,10020000,453120,1172253375
201608,10020000,465871,1210892980
201609,10020000,374769,1040229218
201610,10020000,430898,1252591967
201611,10020000,375282,1042978507
201612,10020000,388488,1044465319
201701,10020000,423645,1231451230
201702,10020000,354491,1001216590
201703,10020000,415924,1100351061
201704,10020000,366671,978413084
201705,10020000,435326,1146288459
201706,10020000,373427,990887542
201707,10020000,468893,1221041391
201708,10020000,444520,1153010392
201709,10020000,382994,1070216890
201710,10020000,455892,1322715878
201711,10020000,398383,1105648019
201712,10020000,415718,1104244639
201801,10020000,453675,1227702567
201802,10020000,453392,1258630698
201803,10020000,403806,1111250980
201804,10020000,424724,1094460833
201805,10020000,433761,1169691001
201806,10020000,401363,1008065985
201807,10020000,542038,1352447948
201808,10020000,477744,1170158206
201809,10020000,403129,1049531253
201810,10020000,477186,1346126413
201811,10020000,408174,1045977443
201812,10020000,418676,1075753506
201901,10020000,519183,1382876963
201902,10020000,438480,1143985333
201903,10020000,427315,1123426727
201904,10020000,474849,1210597893
201905,10020000,471453,1189961389
201906,10020000,453527,1105326763
201907,10020000,644444,1567087223
201908,10020000,524597,1251557243
201909,10020000,496026,1256452725
201910,10020000,506143,1392868912
201911,10020000,453938,1108156328
201912,10020000,515197,1214387496
202001,10020000,552506,1378501037
202002,10020000,409245,887952810
202003,10020000,465943,986961841
202004,10020000,407134,848903614
202005,10020000,452909,947410636
202006,10020000,527438,1064804794
202007,10020000,604930,1367542047
202008,10020000,536121,1151738145
202009,10020000,458617,1045793253
202010,10020000,500860,1192992533
202011,10020000,482786,1077604800
202012,10020000,499753,1077319228
202101,10020000,503136,1134132350
202102,10020000,519244,1190186868
202103,10020000,513172,1127129575
202104,10020000,491185,1078221996
202105,10020000,422753,921681420
202106,10020000,276340,574076566
202107,10020000,425596,963247309
202108,10020000,496654,1089647979
202109,10020000,463160,1017037560
202110,10020000,497269,1199101266
202111,10020000,479579,1045707567
202112,10020000,495018,1057052639
202201,10020000,523499,1197324426
202202,10020000,471696,1056323481
202203,10020000,495633,1059835282
202204,10020000,449194,976237256
202205,10020000,434691,878133095
202206,10020000,463855,881337808
202207,10020000,675069,1484435463
202208,10020000,606760,1270692878
202209,10020000,495437,1095906131
202210,10020000,550729,1334334880
202211,10020000,496023,1119285933
202212,10020000,571817,1249735443
202301,10020000,677870,1563139725
202302,10020000,496168,1168868353
202303,10020000,552600,1239449271
202304,10020000,555157,1249968842
202305,10020000,572545,1313137838
202306,10020000,576697,1247979375
202307,10020000,733392,1664759426
