年月,地區,信用卡處理中心處理筆數,信用卡處理中心處理金額[新台幣]
201401,10010000,110240,263549668
201402,10010000,102280,241536083
201403,10010000,108557,242221424
201404,10010000,104228,237908251
201405,10010000,101640,240784694
201406,10010000,101428,230247193
201407,10010000,104303,239278626
201408,10010000,103643,224216716
201409,10010000,99756,220500194
201410,10010000,104840,234354422
201411,10010000,100106,226671069
201412,10010000,108080,248523279
201501,10010000,107972,249964261
201502,10010000,110090,241272635
201503,10010000,106341,213120801
201504,10010000,111394,218330979
201505,10010000,108821,214575951
201506,10010000,112943,225596164
201507,10010000,115581,229952649
201508,10010000,112330,213548952
201509,10010000,106586,203879423
201510,10010000,108721,221669077
201511,10010000,109518,223742629
201512,10010000,110054,226895434
201601,10010000,238500,405055020
201602,10010000,230302,387067697
201603,10010000,258898,419626302
201604,10010000,245110,390933672
201605,10010000,261515,426768831
201606,10010000,245668,402933169
201607,10010000,237678,393827461
201608,10010000,260574,421662087
201609,10010000,204212,339848711
201610,10010000,224951,379775772
201611,10010000,212423,383670529
201612,10010000,216156,392410213
201701,10010000,207616,396142965
201702,10010000,204086,346281028
201703,10010000,245596,419347417
201704,10010000,206733,370287450
201705,10010000,239664,404004134
201706,10010000,201650,357317001
201707,10010000,226574,398607492
201708,10010000,231793,404504049
201709,10010000,209620,360633175
201710,10010000,234181,402005014
201711,10010000,214554,383356181
201712,10010000,214610,388800616
201801,10010000,233906,423408890
201802,10010000,221468,385047385
201803,10010000,241830,420119316
201804,10010000,236573,410079777
201805,10010000,231972,413567232
201806,10010000,216355,370285522
201807,10010000,245364,421884898
201808,10010000,232744,391379471
201809,10010000,218387,358774962
201810,10010000,251851,411880479
201811,10010000,229879,380066232
201812,10010000,222203,376564115
201901,10010000,266504,447816482
201902,10010000,223870,368413513
201903,10010000,238137,405393453
201904,10010000,263668,432535375
201905,10010000,235633,391551723
201906,10010000,223853,368151897
201907,10010000,267829,450773014
201908,10010000,234152,382646978
201909,10010000,252994,388437409
201910,10010000,256508,405138549
201911,10010000,237673,387108838
201912,10010000,267733,434690039
202001,10010000,284863,462834976
202002,10010000,217972,327872693
202003,10010000,264664,382860685
202004,10010000,217161,310068493
202005,10010000,221274,332877093
202006,10010000,283329,431103010
202007,10010000,268515,440792106
202008,10010000,276920,431296557
202009,10010000,249915,395261208
202010,10010000,275327,424091794
202011,10010000,276089,452955459
202012,10010000,269479,440842177
202101,10010000,258483,444633654
202102,10010000,260006,429315847
202103,10010000,293467,487252672
202104,10010000,274034,454837720
202105,10010000,248677,392158620
202106,10010000,168157,257556570
202107,10010000,195731,324276661
202108,10010000,229519,363612019
202109,10010000,247410,384558497
202110,10010000,262322,430006105
202111,10010000,282132,467574987
202112,10010000,272236,460897385
202201,10010000,265453,468985844
202202,10010000,259971,422070280
202203,10010000,304715,505056600
202204,10010000,279291,458638726
202205,10010000,265111,418226095
202206,10010000,261367,404591728
202207,10010000,306866,506792405
202208,10010000,332834,532949319
202209,10010000,297741,464944972
202210,10010000,349736,521003383
202211,10010000,315426,494540741
202212,10010000,334892,545528237
202301,10010000,379452,616867842
202302,10010000,278500,457397524
202303,10010000,359343,591460641
202304,10010000,338082,553245315
202305,10010000,349385,553184644
202306,10010000,334197,527765040
202307,10010000,358425,585830754
