年月,地區,信用卡處理中心處理筆數,信用卡處理中心處理金額[新台幣]
201401,10004000,188231,544746938
201402,10004000,164799,432030696
201403,10004000,176954,445717303
201404,10004000,175198,481464329
201405,10004000,185569,488965258
201406,10004000,187650,488264222
201407,10004000,235409,635762153
201408,10004000,209470,531501910
201409,10004000,194310,514467020
201410,10004000,192250,470611685
201411,10004000,179435,458806661
201412,10004000,203816,532208143
201501,10004000,187920,494605651
201502,10004000,173253,494417974
201503,10004000,188496,482544458
201504,10004000,179441,488117285
201505,10004000,183188,466380040
201506,10004000,183111,476573574
201507,10004000,240510,657311494
201508,10004000,214573,534637322
201509,10004000,189900,482170617
201510,10004000,186782,481494143
201511,10004000,187304,495403293
201512,10004000,199671,515350412
201601,10004000,572239,1222708244
201602,10004000,495048,1050019888
201603,10004000,612977,1174120298
201604,10004000,547689,1070782296
201605,10004000,620912,1229650458
201606,10004000,590661,1120863550
201607,10004000,658001,1340208500
201608,10004000,705156,1369253895
201609,10004000,582576,1172805571
201610,10004000,634577,1246680508
201611,10004000,618980,1247187018
201612,10004000,635857,1293805263
201701,10004000,613866,1308555149
201702,10004000,539155,1076710674
201703,10004000,704076,1340854923
201704,10004000,591455,1143150699
201705,10004000,701834,1323564354
201706,10004000,640341,1208200973
201707,10004000,772016,1552470733
201708,10004000,740206,1429198121
201709,10004000,702825,1357754986
201710,10004000,740717,1378661966
201711,10004000,708431,1372690740
201712,10004000,715056,1385269632
201801,10004000,788858,1525830493
201802,10004000,664757,1322915398
201803,10004000,761337,1396624545
201804,10004000,747110,1367499215
201805,10004000,779319,1444397622
201806,10004000,734509,1326150852
201807,10004000,942433,1818672303
201808,10004000,839429,1554208377
201809,10004000,742622,1373234003
201810,10004000,867548,1558564702
201811,10004000,784349,1425580597
201812,10004000,764436,1405449107
201901,10004000,905102,1706125549
201902,10004000,685297,1238903255
201903,10004000,792313,1421103215
201904,10004000,865680,1546992552
201905,10004000,834318,1542417516
201906,10004000,773495,1349450150
201907,10004000,1091799,2100818093
201908,10004000,910284,1610232213
201909,10004000,909665,1623868329
201910,10004000,900554,1551280725
201911,10004000,859272,1538143033
201912,10004000,970950,1692338153
202001,10004000,916794,1617055660
202002,10004000,785816,1283829537
202003,10004000,939475,1438766909
202004,10004000,815068,1220106475
202005,10004000,857475,1365187584
202006,10004000,1017847,1619433173
202007,10004000,1141593,2100228722
202008,10004000,1053466,1752822746
202009,10004000,925663,1558632890
202010,10004000,943372,1527136463
202011,10004000,993739,1657914965
202012,10004000,1019867,1714715796
202101,10004000,953039,1625901851
202102,10004000,875218,1520368324
202103,10004000,1046891,1727623318
202104,10004000,949896,1667699245
202105,10004000,918455,1491527354
202106,10004000,670592,1014362078
202107,10004000,881750,1565189814
202108,10004000,1017500,1774383980
202109,10004000,961099,1624670840
202110,10004000,1010693,1702622090
202111,10004000,1065524,1822359619
202112,10004000,1078676,1880519250
202201,10004000,1181781,2176811690
202202,10004000,1128782,1976897760
202203,10004000,1327771,2248535258
202204,10004000,1138481,1970462373
202205,10004000,1130243,1818412916
202206,10004000,1183989,1891962285
202207,10004000,1505251,2720059324
202208,10004000,1491639,2509435608
202209,10004000,1290858,2130825262
202210,10004000,1392740,2221161056
202211,10004000,1397130,2654980305
202212,10004000,1497332,2489168792
202301,10004000,1499447,2572993946
202302,10004000,1258506,2045436769
202303,10004000,1502994,2379756276
202304,10004000,1393930,2272095544
202305,10004000,1525794,2468493654
202306,10004000,1483030,2281589905
202307,10004000,1770288,2996684075
