年月,地區,信用卡處理中心處理筆數,信用卡處理中心處理金額[新台幣]
201401,10015000,345617,1058358029
201402,10015000,367969,1185011686
201403,10015000,364256,1228594930
201404,10015000,358453,1274599611
201405,10015000,368126,1231403431
201406,10015000,396902,1196023964
201407,10015000,448709,1277150567
201408,10015000,445747,1232525569
201409,10015000,395007,1082868025
201410,10015000,404794,1231160700
201411,10015000,357676,1171298147
201412,10015000,398447,1272713599
201501,10015000,375519,1160182762
201502,10015000,413819,1276314279
201503,10015000,355929,1041465802
201504,10015000,368709,1144526370
201505,10015000,364760,1136185508
201506,10015000,421096,1222180326
201507,10015000,450468,1246103825
201508,10015000,448152,1175445058
201509,10015000,397679,1067220771
201510,10015000,422947,1348067652
201511,10015000,416503,1358154422
201512,10015000,390766,1232519795
201601,10015000,350679,1190080878
201602,10015000,362786,1261959198
201603,10015000,338228,1199603487
201604,10015000,332181,1105343928
201605,10015000,361982,1162943546
201606,10015000,363028,1008633688
201607,10015000,376174,1007793024
201608,10015000,432641,1077785258
201609,10015000,309704,758989895
201610,10015000,350198,976033452
201611,10015000,342456,950193351
201612,10015000,334009,910718789
201701,10015000,358635,967783964
201702,10015000,313966,876189344
201703,10015000,359504,937174914
201704,10015000,327984,890682050
201705,10015000,384565,983012879
201706,10015000,331700,842014096
201707,10015000,410743,1018703387
201708,10015000,436627,1096612980
201709,10015000,355664,885876837
201710,10015000,401832,1116613779
201711,10015000,360600,1031446036
201712,10015000,354273,968891304
201801,10015000,382263,997521451
201802,10015000,330375,865558876
201803,10015000,326654,837446539
201804,10015000,389583,991100214
201805,10015000,387381,997121343
201806,10015000,378869,904670874
201807,10015000,471138,1079037596
201808,10015000,485220,1131624057
201809,10015000,375812,856448346
201810,10015000,435295,1121432343
201811,10015000,390886,980850750
201812,10015000,397619,942765869
201901,10015000,460011,1151210782
201902,10015000,400896,1027152561
201903,10015000,389356,1021133729
201904,10015000,428643,1154090267
201905,10015000,395389,1093105286
201906,10015000,404850,1018527259
201907,10015000,524590,1263183171
201908,10015000,482345,1158203683
201909,10015000,439446,943184425
201910,10015000,456342,1115674396
201911,10015000,408931,946736987
201912,10015000,443130,956786298
202001,10015000,503731,1143363292
202002,10015000,397014,808346171
202003,10015000,446190,795053270
202004,10015000,392859,711747380
202005,10015000,422255,804384272
202006,10015000,557850,1142086778
202007,10015000,579520,1241770281
202008,10015000,609306,1271645866
202009,10015000,488264,1014223980
202010,10015000,520274,1159156485
202011,10015000,497151,1133430398
202012,10015000,459088,989288495
202101,10015000,475542,1038418413
202102,10015000,519432,1169706867
202103,10015000,497260,1077750680
202104,10015000,475024,1067675901
202105,10015000,417041,775807105
202106,10015000,267092,387998146
202107,10015000,340516,607075626
202108,10015000,511235,1037621414
202109,10015000,478202,967995183
202110,10015000,497091,1147355754
202111,10015000,500663,1126177693
202112,10015000,487315,1064022503
202201,10015000,504068,1112817025
202202,10015000,471293,1063422263
202203,10015000,506702,1094714741
202204,10015000,431253,913900729
202205,10015000,405468,728498083
202206,10015000,494174,989107529
202207,10015000,645477,1396997354
202208,10015000,695251,1473726350
202209,10015000,520702,1064662496
202210,10015000,532487,1228243149
202211,10015000,486730,1087050732
202212,10015000,533676,1127621307
202301,10015000,623206,1399470470
202302,10015000,459038,1032132895
202303,10015000,535350,1109601146
202304,10015000,546871,1143406444
202305,10015000,549110,1151447798
202306,10015000,566804,1155881004
202307,10015000,627315,1317485245
