年月,地區,信用卡處理中心處理筆數,信用卡處理中心處理金額[新台幣]
201401,64000000,3762461,10449303300
201402,64000000,3727237,10059467897
201403,64000000,3765918,10078813785
201404,64000000,3661410,10221272128
201405,64000000,3832144,10500050273
201406,64000000,3946037,10089905853
201407,64000000,4201437,10704595025
201408,64000000,3926970,9928543093
201409,64000000,3993653,10378250610
201410,64000000,4128281,11318851500
201411,64000000,3891733,10865501550
201412,64000000,4459818,12066859340
201501,64000000,3935819,10924748730
201502,64000000,3981493,11172244039
201503,64000000,3946846,10623761318
201504,64000000,3842766,10486569668
201505,64000000,3879777,10621809218
201506,64000000,4258064,10889970525
201507,64000000,4307464,10794085478
201508,64000000,4380349,10678140324
201509,64000000,4034523,10061146731
201510,64000000,4252649,11512168629
201511,64000000,4370162,11883666934
201512,64000000,4341690,11398088088
201601,64000000,3841680,10940068670
201602,64000000,3700744,10392767496
201603,64000000,3792490,10584911301
201604,64000000,3625309,10060949039
201605,64000000,4081227,10913848394
201606,64000000,3935568,10002441244
201607,64000000,4050415,10081300278
201608,64000000,4466283,10863737857
201609,64000000,3632782,9161354665
201610,64000000,4224403,11105977310
201611,64000000,3958430,10898890099
201612,64000000,4030726,10584410778
201701,64000000,4071075,11058956851
201702,64000000,3539798,9228405432
201703,64000000,4228292,10632863821
201704,64000000,3776400,9689749797
201705,64000000,4437052,11053625982
201706,64000000,3948534,9862596206
201707,64000000,4428595,10545389803
201708,64000000,4500746,10812872094
201709,64000000,4012564,10143828827
201710,64000000,4568100,11822168141
201711,64000000,4238489,11693993193
201712,64000000,4284545,10941403364
201801,64000000,4535438,11492763898
201802,64000000,4345196,11151018764
201803,64000000,4160350,10708820320
201804,64000000,4368656,11044788937
201805,64000000,4479222,11363978737
201806,64000000,4211245,10008375038
201807,64000000,4941474,11440451636
201808,64000000,4702222,11054520902
201809,64000000,4274348,10337132530
201810,64000000,5025442,12749055399
201811,64000000,4615635,11600400606
201812,64000000,4625018,11266447365
201901,64000000,5386015,13389388874
201902,64000000,4436565,10766351188
201903,64000000,4551844,11150133759
201904,64000000,5027671,12370325377
201905,64000000,4915785,12141968272
201906,64000000,4663873,10805824691
201907,64000000,5604400,12636489375
201908,64000000,5108626,11545084568
201909,64000000,5057443,11523037721
201910,64000000,5299227,13055530433
201911,64000000,4979247,12066422103
201912,64000000,5568232,12697335822
202001,64000000,5546778,12757991094
202002,64000000,4194800,8640535357
202003,64000000,4757623,8946991242
202004,64000000,4087630,7865488587
202005,64000000,4425947,8691631056
202006,64000000,5167669,10041214016
202007,64000000,5108989,10489163221
202008,64000000,5190008,10471702575
202009,64000000,4743002,10134123571
202010,64000000,4978170,11025156310
202011,64000000,5058071,11193617522
202012,64000000,5172932,11412913737
202101,64000000,4987323,10993358405
202102,64000000,4872051,10852398890
202103,64000000,5192219,10932071610
202104,64000000,4949445,10790667820
202105,64000000,4316316,9078554601
202106,64000000,2976276,5845650441
202107,64000000,3642857,7667214567
202108,64000000,4676809,9608687904
202109,64000000,4613287,9923655882
202110,64000000,4936726,10768237378
202111,64000000,4975125,11034881233
202112,64000000,5077732,11174710861
202201,64000000,4860663,11250128183
202202,64000000,4245291,9149294966
202203,64000000,5018187,10603871451
202204,64000000,4439477,9717167029
202205,64000000,4443613,8887161133
202206,64000000,4516634,8822240578
202207,64000000,5441880,10998231589
202208,64000000,5854676,11903008180
202209,64000000,5122702,10900872330
202210,64000000,5533369,12175588913
202211,64000000,5219304,12074134339
202212,64000000,5739208,12768195476
202301,64000000,6254442,14031521702
202302,64000000,4728719,10664705706
202303,64000000,5747720,12533884482
202304,64000000,5533293,12390671089
202305,64000000,5792853,12684941663
202306,64000000,5554953,11932796830
202307,64000000,6079814,12621288870
