年月,地區,信用卡處理中心處理筆數,信用卡處理中心處理金額[新台幣]
201401,10017000,325086,682249933
201402,10017000,287729,553610418
201403,10017000,307488,561412735
201404,10017000,295941,554262072
201405,10017000,309391,581167623
201406,10017000,322057,594053780
201407,10017000,339288,625840244
201408,10017000,326094,596015671
201409,10017000,332560,599891363
201410,10017000,321944,604433797
201411,10017000,288271,546692621
201412,10017000,335002,637185380
201501,10017000,310788,611242201
201502,10017000,303438,609655440
201503,10017000,307842,559675914
201504,10017000,301220,570054876
201505,10017000,310770,589576580
201506,10017000,343979,635467201
201507,10017000,338657,617332837
201508,10017000,341910,598749846
201509,10017000,324860,561985505
201510,10017000,328066,620074866
201511,10017000,327653,644217228
201512,10017000,326399,649122585
201601,10017000,244523,623294280
201602,10017000,225933,543427035
201603,10017000,240091,611969161
201604,10017000,231304,603362442
201605,10017000,264227,646419969
201606,10017000,257365,611743653
201607,10017000,257682,604608975
201608,10017000,275685,547543149
201609,10017000,224813,471664763
201610,10017000,232674,511695768
201611,10017000,215135,494259325
201612,10017000,220818,504463924
201701,10017000,232305,557836968
201702,10017000,189287,402694075
201703,10017000,227842,476933986
201704,10017000,206849,461710105
201705,10017000,242927,526171647
201706,10017000,221335,489791723
201707,10017000,247232,535649558
201708,10017000,248953,534282142
201709,10017000,223536,472039136
201710,10017000,240287,518171117
201711,10017000,218871,505973022
201712,10017000,225272,521554132
201801,10017000,244331,563233170
201802,10017000,235711,521744770
201803,10017000,242456,497464439
201804,10017000,251594,526220683
201805,10017000,265820,561937121
201806,10017000,247046,481051524
201807,10017000,284220,543636188
201808,10017000,280612,525181716
201809,10017000,246268,476003705
201810,10017000,272216,538363919
201811,10017000,247622,505437187
201812,10017000,245379,500263643
201901,10017000,290406,638252375
201902,10017000,221166,450256050
201903,10017000,235939,496238750
201904,10017000,263446,559240641
201905,10017000,255155,537786923
201906,10017000,244606,485316498
201907,10017000,292982,591591284
201908,10017000,271815,523203386
201909,10017000,266758,534987067
201910,10017000,262906,528569151
201911,10017000,241784,497276015
201912,10017000,273772,556660414
202001,10017000,283076,594954004
202002,10017000,215371,388714466
202003,10017000,254775,427019766
202004,10017000,232931,415170157
202005,10017000,259453,498574882
202006,10017000,296864,562553806
202007,10017000,283973,568074212
202008,10017000,289770,560614567
202009,10017000,259045,499584094
202010,10017000,265330,519307701
202011,10017000,261034,535929003
202012,10017000,257649,541518553
202101,10017000,265993,577662110
202102,10017000,259163,525664465
202103,10017000,275603,534859689
202104,10017000,265015,541760444
202105,10017000,250485,481360881
202106,10017000,187734,327613079
202107,10017000,213070,398304852
202108,10017000,268929,484508310
202109,10017000,261815,481479171
202110,10017000,259282,500673217
202111,10017000,261942,537187318
202112,10017000,264610,519008733
202201,10017000,283086,600564252
202202,10017000,228031,439582500
202203,10017000,281976,533187264
202204,10017000,234984,465947538
202205,10017000,249191,440367516
202206,10017000,278442,496678697
202207,10017000,313558,574406305
202208,10017000,324951,592078421
202209,10017000,277895,535761182
202210,10017000,287909,574024808
202211,10017000,275606,557902842
202212,10017000,299366,608194287
202301,10017000,326397,670264397
202302,10017000,256068,508740346
202303,10017000,316177,609279774
202304,10017000,308263,633771399
202305,10017000,332362,651435302
202306,10017000,324621,604560001
202307,10017000,360526,676703441
