年月,地區,信用卡處理中心處理筆數,信用卡處理中心處理金額[新台幣]
201401,09020000,73594,230559293
201402,09020000,68338,215350307
201403,09020000,77804,220208528
201404,09020000,82607,228700579
201405,09020000,90169,258648973
201406,09020000,98274,267747915
201407,09020000,103627,280188310
201408,09020000,100295,262125891
201409,09020000,97467,254764705
201410,09020000,109101,293949429
201411,09020000,102809,297357348
201412,09020000,111499,357148261
201501,09020000,112386,379504276
201502,09020000,108313,358122026
201503,09020000,104530,337417413
201504,09020000,114320,357730752
201505,09020000,119926,377555919
201506,09020000,122631,381857547
201507,09020000,125909,385238524
201508,09020000,134766,391874719
201509,09020000,115595,339727057
201510,09020000,130589,404449104
201511,09020000,136470,436659860
201512,09020000,136040,444081368
201601,09020000,134053,460807941
201602,09020000,104929,363273513
201603,09020000,115744,348890963
201604,09020000,121857,384588895
201605,09020000,141566,443806463
201606,09020000,131598,401279325
201607,09020000,132295,374664405
201608,09020000,140428,409047535
201609,09020000,100972,307261697
201610,09020000,128006,379109795
201611,09020000,124412,378582641
201612,09020000,127816,400892210
201701,09020000,129466,422232474
201702,09020000,95678,295820814
201703,09020000,120681,354860827
201704,09020000,116792,348750991
201705,09020000,132992,376853892
201706,09020000,123103,357017051
201707,09020000,129247,371471165
201708,09020000,128139,352019918
201709,09020000,108852,320697410
201710,09020000,134505,403422991
201711,09020000,132337,414988316
201712,09020000,129513,431421487
201801,09020000,126348,425829051
201802,09020000,109733,356915463
201803,09020000,117484,378793709
201804,09020000,137949,447098345
201805,09020000,139774,440456697
201806,09020000,133822,408611301
201807,09020000,150442,420745426
201808,09020000,148651,435090391
201809,09020000,129416,416795520
201810,09020000,152023,461338450
201811,09020000,140946,453593225
201812,09020000,135967,454443693
201901,09020000,149349,490182220
201902,09020000,119416,392997973
201903,09020000,142745,463618052
201904,09020000,154609,466797075
201905,09020000,160709,520511101
201906,09020000,149781,439384728
201907,09020000,162111,456024339
201908,09020000,149830,452622301
201909,09020000,129168,360024240
201910,09020000,145980,436859131
201911,09020000,138393,430260913
201912,09020000,141157,475200537
202001,09020000,126919,388373514
202002,09020000,55223,136305290
202003,09020000,61030,131107048
202004,09020000,61168,155303011
202005,09020000,64961,156369974
202006,09020000,88729,211934145
202007,09020000,105540,274260874
202008,09020000,116925,305469825
202009,09020000,114795,344449536
202010,09020000,123490,344387428
202011,09020000,102316,306477951
202012,09020000,94088,287775409
202101,09020000,87069,256341590
202102,09020000,82219,224165377
202103,09020000,97086,291065900
202104,09020000,97633,276780365
202105,09020000,85549,216182088
202106,09020000,44394,80706666
202107,09020000,49829,92020650
202108,09020000,61925,125551951
202109,09020000,67239,135869461
202110,09020000,71204,171648038
202111,09020000,84160,250423636
202112,09020000,85974,249534178
202201,09020000,82409,239425735
202202,09020000,70857,192605074
202203,09020000,80483,214430750
202204,09020000,85385,235032689
202205,09020000,74394,161594108
202206,09020000,84799,188817752
202207,09020000,102928,243304937
202208,09020000,118827,293728424
202209,09020000,102776,270111778
202210,09020000,115870,312725118
202211,09020000,102459,256130893
202212,09020000,93436,244182885
202301,09020000,92582,228866220
202302,09020000,77824,224250006
202303,09020000,90862,252153818
202304,09020000,111467,290885826
202305,09020000,117067,273265941
202306,09020000,117215,265289711
202307,09020000,118863,248909266
