年月,地區,信用卡處理中心處理筆數,信用卡處理中心處理金額[新台幣]
201401,09007000,3008,6514800
201402,09007000,2656,5290697
201403,09007000,3478,8048318
201404,09007000,3582,9502552
201405,09007000,3323,8744152
201406,09007000,4877,13270610
201407,09007000,4921,13898919
201408,09007000,3973,11391789
201409,09007000,3812,9680707
201410,09007000,4061,10372960
201411,09007000,3255,8024127
201412,09007000,3215,7454812
201501,09007000,2643,6640737
201502,09007000,2437,6391872
201503,09007000,2837,7163969
201504,09007000,4914,10867968
201505,09007000,4598,12566346
201506,09007000,5066,13945377
201507,09007000,4096,10988664
201508,09007000,3760,10288221
201509,09007000,4163,10945383
201510,09007000,4053,10632954
201511,09007000,3961,10065651
201512,09007000,3534,7799877
201601,09007000,3531,6302781
201602,09007000,3033,5757114
201603,09007000,4547,9265296
201604,09007000,4588,11752907
201605,09007000,6399,18735347
201606,09007000,6446,17476857
201607,09007000,6036,16300836
201608,09007000,5874,14506076
201609,09007000,4110,10216492
201610,09007000,4113,9046167
201611,09007000,4101,9151693
201612,09007000,3315,7145553
201701,09007000,3178,5954854
201702,09007000,2197,5276930
201703,09007000,3616,8786801
201704,09007000,4702,13424339
201705,09007000,7135,18397596
201706,09007000,6469,15469035
201707,09007000,7068,17532716
201708,09007000,6439,14324099
201709,09007000,5443,12003764
201710,09007000,4973,12243112
201711,09007000,4627,10667956
201712,09007000,3951,8504336
201801,09007000,3163,7501113
201802,09007000,3071,6121859
201803,09007000,4687,10214269
201804,09007000,6409,14252665
201805,09007000,8263,21683876
201806,09007000,8982,18120938
201807,09007000,9062,18457456
201808,09007000,8156,16335710
201809,09007000,6196,12390561
201810,09007000,6687,12612968
201811,09007000,6081,11185137
201812,09007000,5007,9142652
201901,09007000,4967,9340146
201902,09007000,4326,7815676
201903,09007000,6206,12046685
201904,09007000,8821,18122900
201905,09007000,12201,22686171
201906,09007000,10244,19804045
201907,09007000,10524,21302332
201908,09007000,8240,14900337
201909,09007000,8405,15393042
201910,09007000,8635,16054581
201911,09007000,6922,13200379
201912,09007000,6119,11189394
202001,09007000,5297,9507338
202002,09007000,3759,6154601
202003,09007000,4832,7761761
202004,09007000,4894,8820428
202005,09007000,7405,14558781
202006,09007000,14317,29471641
202007,09007000,16886,27384784
202008,09007000,16511,29782371
202009,09007000,17330,35717530
202010,09007000,14017,27492744
202011,09007000,10296,20695225
202012,09007000,6275,11885001
202101,09007000,6170,19668367
202102,09007000,6021,12397194
202103,09007000,11904,20719004
202104,09007000,17628,33999476
202105,09007000,10386,23300810
202106,09007000,989,6128456
202107,09007000,3410,6042516
202108,09007000,6759,13061922
202109,09007000,8325,17661828
202110,09007000,9401,17903875
202111,09007000,9203,17650145
202112,09007000,8233,23250925
202201,09007000,7751,20794113
202202,09007000,6421,13164629
202203,09007000,11293,20386693
202204,09007000,15082,31632886
202205,09007000,14310,34189509
202206,09007000,16299,31498864
202207,09007000,20088,35954277
202208,09007000,18516,37256019
202209,09007000,15883,30513543
202210,09007000,13656,23815366
202211,09007000,11521,21145329
202212,09007000,9097,31526636
202301,09007000,8140,19222309
202302,09007000,4450,9217170
202303,09007000,10026,19374133
202304,09007000,18730,35256868
202305,09007000,22024,48289142
202306,09007000,23417,50854768
202307,09007000,18761,33028200
