年月,地區,信用卡處理中心處理筆數,信用卡處理中心處理金額[新台幣]
201401,10016000,52655,122059081
201402,10016000,53920,117694711
201403,10016000,58342,129888390
201404,10016000,72283,176324993
201405,10016000,90066,220256899
201406,10016000,91881,227946570
201407,10016000,91738,241749783
201408,10016000,72981,174716282
201409,10016000,67880,155957148
201410,10016000,60299,133510714
201411,10016000,53250,113213545
201412,10016000,63213,135151648
201501,10016000,56108,124899941
201502,10016000,56903,131007993
201503,10016000,61187,137656119
201504,10016000,70366,169792515
201505,10016000,83096,205745394
201506,10016000,90467,225572467
201507,10016000,85739,216302571
201508,10016000,80299,195909274
201509,10016000,76994,176022274
201510,10016000,67341,153396335
201511,10016000,60008,132015403
201512,10016000,63431,138360113
201601,10016000,49440,122731160
201602,10016000,47942,126722098
201603,10016000,54137,136975690
201604,10016000,67809,183813501
201605,10016000,87781,240224799
201606,10016000,88109,227071205
201607,10016000,78994,215456765
201608,10016000,75767,205228093
201609,10016000,61137,149517543
201610,10016000,58042,138213480
201611,10016000,53154,132295089
201612,10016000,49207,113268035
201701,10016000,49422,125876801
201702,10016000,43585,100464548
201703,10016000,55559,140182398
201704,10016000,68414,184321148
201705,10016000,96458,264389867
201706,10016000,85769,232143812
201707,10016000,84663,238101305
201708,10016000,80261,216073392
201709,10016000,64420,163947190
201710,10016000,64372,159763348
201711,10016000,53605,129043188
201712,10016000,53099,120482769
201801,10016000,54170,126917263
201802,10016000,58293,141085599
201803,10016000,68746,171942403
201804,10016000,95999,250738802
201805,10016000,113253,306043669
201806,10016000,107916,270304021
201807,10016000,110689,283549836
201808,10016000,101211,251720802
201809,10016000,85156,208609487
201810,10016000,83546,198734864
201811,10016000,65822,144602509
201812,10016000,66934,155573305
201901,10016000,75117,178348953
201902,10016000,66595,156044839
201903,10016000,75722,196556979
201904,10016000,111716,292730935
201905,10016000,136562,358101099
201906,10016000,135992,341669451
201907,10016000,130903,338551883
201908,10016000,104092,255260171
201909,10016000,106456,262429210
201910,10016000,96538,215433804
201911,10016000,77293,181474725
201912,10016000,74032,166731816
202001,10016000,82615,178774710
202002,10016000,56929,114558760
202003,10016000,67023,135203013
202004,10016000,60302,119547559
202005,10016000,79154,183403587
202006,10016000,132898,347787547
202007,10016000,190199,486056015
202008,10016000,204276,505559337
202009,10016000,146049,376834843
202010,10016000,123065,310946873
202011,10016000,85203,208732898
202012,10016000,74563,177073120
202101,10016000,74683,187607658
202102,10016000,80652,215238019
202103,10016000,96693,265091705
202104,10016000,148382,426902602
202105,10016000,121982,304133541
202106,10016000,30701,33100881
202107,10016000,41282,65797409
202108,10016000,70707,148987068
202109,10016000,88230,207699492
202110,10016000,85166,198639693
202111,10016000,79057,191921640
202112,10016000,76436,205118114
202201,10016000,78270,202530069
202202,10016000,78891,191773026
202203,10016000,92886,246784326
202204,10016000,129637,345413690
202205,10016000,139227,311297008
202206,10016000,168241,387561391
202207,10016000,174221,440495986
202208,10016000,170456,408689416
202209,10016000,155269,382808607
202210,10016000,123629,298149682
202211,10016000,87699,189861824
202212,10016000,86466,201030143
202301,10016000,100486,245693564
202302,10016000,76690,191894928
202303,10016000,102295,248994552
202304,10016000,158329,412976061
202305,10016000,198881,478426683
202306,10016000,203124,472072364
202307,10016000,158180,372648225
