年月,地區,信用卡處理中心處理筆數,信用卡處理中心處理金額[新台幣]
201401,10002000,463482,1109401495
201402,10002000,467328,1036658599
201403,10002000,456693,982367281
201404,10002000,436248,969738751
201405,10002000,452883,1033933395
201406,10002000,495783,1078041230
201407,10002000,551372,1224115681
201408,10002000,539963,1187041189
201409,10002000,498990,1069376545
201410,10002000,500285,1106712316
201411,10002000,444429,1056427126
201412,10002000,520733,1151582927
201501,10002000,477461,1053200353
201502,10002000,511609,1144790910
201503,10002000,465682,977725622
201504,10002000,448315,951255106
201505,10002000,446897,981221195
201506,10002000,515816,1053016380
201507,10002000,541858,1128106559
201508,10002000,539952,1082695560
201509,10002000,467176,950815622
201510,10002000,492678,1078497975
201511,10002000,520290,1167095999
201512,10002000,514351,1110248288
201601,10002000,443474,1068384160
201602,10002000,435627,1034917169
201603,10002000,427135,951847270
201604,10002000,395630,885277132
201605,10002000,455215,1020269350
201606,10002000,454781,949135048
201607,10002000,484718,1024048686
201608,10002000,554020,1164783400
201609,10002000,414408,889230842
201610,10002000,458214,1017996115
201611,10002000,440359,1040335313
201612,10002000,452361,1028450731
201701,10002000,480380,1129540451
201702,10002000,415067,909244408
201703,10002000,471667,1014875617
201704,10002000,421985,913772437
201705,10002000,506246,1090987803
201706,10002000,438336,921966151
201707,10002000,536561,1136110200
201708,10002000,563744,1211728626
201709,10002000,462688,990318205
201710,10002000,516107,1216678208
201711,10002000,469793,1146006787
201712,10002000,486565,1128063542
201801,10002000,531286,1205458864
201802,10002000,512353,1196811226
201803,10002000,460512,1003909936
201804,10002000,483664,1065886069
201805,10002000,491423,1157780545
201806,10002000,469111,991559634
201807,10002000,581121,1254571853
201808,10002000,594781,1299652304
201809,10002000,468092,1021842767
201810,10002000,541582,1227656982
201811,10002000,492667,1173898961
201812,10002000,497244,1112827891
201901,10002000,610863,1400867346
201902,10002000,493735,1107247925
201903,10002000,484205,1051731803
201904,10002000,541020,1148656032
201905,10002000,518986,1167131540
201906,10002000,515603,1078943488
201907,10002000,682298,1442023156
201908,10002000,624307,1294621346
201909,10002000,576153,1199942191
201910,10002000,582040,1290700355
201911,10002000,545754,1257745693
201912,10002000,623351,1318340915
202001,10002000,645834,1413948391
202002,10002000,502647,928491355
202003,10002000,578176,950644754
202004,10002000,498376,813079134
202005,10002000,569812,1054400841
202006,10002000,711530,1361341205
202007,10002000,691318,1444460502
202008,10002000,720554,1451175723
202009,10002000,590833,1187046649
202010,10002000,647577,1396425122
202011,10002000,643626,1477633586
202012,10002000,640092,1338022124
202101,10002000,638694,1330257192
202102,10002000,667784,1400384136
202103,10002000,666787,1317925188
202104,10002000,640879,1309492678
202105,10002000,530632,922638538
202106,10002000,361766,497098091
202107,10002000,428830,672510409
202108,10002000,663444,1166843350
202109,10002000,616959,1151495206
202110,10002000,650438,1394550093
202111,10002000,688572,1596441472
202112,10002000,674090,1437532077
202201,10002000,655508,1394779952
202202,10002000,598180,1191187327
202203,10002000,680065,1329138819
202204,10002000,588562,1189273333
202205,10002000,568551,1018736956
202206,10002000,679840,1240916317
202207,10002000,852918,1728525604
202208,10002000,908803,1806572190
202209,10002000,686099,1432932334
202210,10002000,719399,1553345371
202211,10002000,677861,1538176036
202212,10002000,738116,1590034674
202301,10002000,856037,1909727727
202302,10002000,622082,1287089630
202303,10002000,732216,1405681424
202304,10002000,731279,1474804215
202305,10002000,761587,1494699509
202306,10002000,767892,1491443245
202307,10002000,875838,1730005397
