年月,地區,信用卡處理中心處理筆數,信用卡處理中心處理金額[新台幣]
201401,10009000,409817,805793751
201402,10009000,433876,790594654
201403,10009000,424118,736089079
201404,10009000,413745,747173669
201405,10009000,409997,746808157
201406,10009000,431541,790637147
201407,10009000,446218,830842950
201408,10009000,428834,775525202
201409,10009000,438004,772364821
201410,10009000,420823,732250921
201411,10009000,385916,689964524
201412,10009000,451394,791153365
201501,10009000,415338,729842003
201502,10009000,433752,795692938
201503,10009000,416263,701274459
201504,10009000,413736,706173084
201505,10009000,400213,711215275
201506,10009000,437271,757095721
201507,10009000,435526,767910806
201508,10009000,439732,734714645
201509,10009000,411162,671385605
201510,10009000,412266,713967592
201511,10009000,425591,730963560
201512,10009000,437452,735953538
201601,10009000,384402,739755474
201602,10009000,379827,740805065
201603,10009000,377933,667533118
201604,10009000,368250,655270589
201605,10009000,394025,723007735
201606,10009000,379888,686883792
201607,10009000,374831,690383502
201608,10009000,410472,769123702
201609,10009000,322566,622803810
201610,10009000,337045,656556995
201611,10009000,315462,635789654
201612,10009000,321998,663515884
201701,10009000,337028,759927221
201702,10009000,311883,606671167
201703,10009000,356624,681247232
201704,10009000,311379,632619365
201705,10009000,369939,726936055
201706,10009000,310726,621275037
201707,10009000,352085,701265523
201708,10009000,358987,735785649
201709,10009000,324797,659139281
201710,10009000,359996,712403512
201711,10009000,326630,679224886
201712,10009000,338286,694365227
201801,10009000,375352,802307475
201802,10009000,367910,774415456
201803,10009000,344696,689253385
201804,10009000,370498,740914321
201805,10009000,372748,774797239
201806,10009000,345652,687521000
201807,10009000,402108,795262800
201808,10009000,391236,774945948
201809,10009000,351327,692616957
201810,10009000,392799,778563410
201811,10009000,362428,695803322
201812,10009000,361042,709494987
201901,10009000,449695,930482413
201902,10009000,381451,742302256
201903,10009000,369327,709239018
201904,10009000,426472,826649599
201905,10009000,383698,780933427
201906,10009000,356032,708868657
201907,10009000,427072,836568430
201908,10009000,387928,780345926
201909,10009000,400900,753524190
201910,10009000,386137,762836803
201911,10009000,362109,725187536
201912,10009000,428543,806100788
202001,10009000,472012,934491509
202002,10009000,334470,585558601
202003,10009000,400465,649908532
202004,10009000,346425,567470779
202005,10009000,371955,635668444
202006,10009000,451797,748242709
202007,10009000,423064,750731499
202008,10009000,436946,773163300
202009,10009000,390353,681806600
202010,10009000,424044,703506644
202011,10009000,428111,752327970
202012,10009000,438196,775631685
202101,10009000,435932,845072280
202102,10009000,444598,782963279
202103,10009000,458563,800638321
202104,10009000,442116,784027750
202105,10009000,395432,722015828
202106,10009000,283063,498773640
202107,10009000,335211,619466657
202108,10009000,421463,756611375
202109,10009000,416138,747435223
202110,10009000,428817,765844071
202111,10009000,442576,790115832
202112,10009000,433286,783967895
202201,10009000,449882,906042449
202202,10009000,414968,724769665
202203,10009000,456554,800698841
202204,10009000,423779,754037570
202205,10009000,400658,685243006
202206,10009000,415561,694258071
202207,10009000,483939,827306625
202208,10009000,518254,898054969
202209,10009000,465736,802796038
202210,10009000,484852,831096209
202211,10009000,457739,814245876
202212,10009000,503793,895168970
202301,10009000,602084,1078687707
202302,10009000,425612,734915412
202303,10009000,512726,855158060
202304,10009000,506423,852707889
202305,10009000,523541,888704632
202306,10009000,509846,851050828
202307,10009000,539236,900742948
