年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10007000,百貨,博士,2500,4617933
201401,10007000,百貨,碩士,28862,49820870
201401,10007000,百貨,大學,134776,242507192
201401,10007000,百貨,專科,55083,103858336
201401,10007000,百貨,高中高職,70101,136345962
201401,10007000,百貨,其他,66852,128125405
201402,10007000,百貨,博士,1950,3139477
201402,10007000,百貨,碩士,23803,38711344
201402,10007000,百貨,大學,108955,185489130
201402,10007000,百貨,專科,43435,77551225
201402,10007000,百貨,高中高職,54187,101215348
201402,10007000,百貨,其他,53532,97089292
201403,10007000,百貨,博士,2071,3194725
201403,10007000,百貨,碩士,25303,41577385
201403,10007000,百貨,大學,120765,215038843
201403,10007000,百貨,專科,46822,84065475
201403,10007000,百貨,高中高職,60043,114272283
201403,10007000,百貨,其他,57747,105970028
201404,10007000,百貨,博士,2041,3240163
201404,10007000,百貨,碩士,25358,41961341
201404,10007000,百貨,大學,120267,206955421
201404,10007000,百貨,專科,46602,81448957
201404,10007000,百貨,高中高職,60772,116638677
201404,10007000,百貨,其他,57877,107892224
201405,10007000,百貨,博士,2112,3144137
201405,10007000,百貨,碩士,27038,41540888
201405,10007000,百貨,大學,125964,204165567
201405,10007000,百貨,專科,49272,81819395
201405,10007000,百貨,高中高職,62661,112132447
201405,10007000,百貨,其他,59850,103070583
201406,10007000,百貨,博士,1956,2870266
201406,10007000,百貨,碩士,27262,40242104
201406,10007000,百貨,大學,127263,194086064
201406,10007000,百貨,專科,48881,75884947
201406,10007000,百貨,高中高職,63484,105715126
201406,10007000,百貨,其他,60469,98908180
201407,10007000,百貨,博士,1881,3075787
201407,10007000,百貨,碩士,26628,38026429
201407,10007000,百貨,大學,126746,190560217
201407,10007000,百貨,專科,49597,74797690
201407,10007000,百貨,高中高職,64222,103247635
201407,10007000,百貨,其他,60736,95428971
201408,10007000,百貨,博士,1868,2781872
201408,10007000,百貨,碩士,27443,40233005
201408,10007000,百貨,大學,132055,196654693
201408,10007000,百貨,專科,50488,78322058
201408,10007000,百貨,高中高職,64099,104855249
201408,10007000,百貨,其他,61857,97820361
201409,10007000,百貨,博士,1680,3693267
201409,10007000,百貨,碩士,25050,48199492
201409,10007000,百貨,大學,128846,247190172
201409,10007000,百貨,專科,48080,93847917
201409,10007000,百貨,高中高職,62006,128603711
201409,10007000,百貨,其他,59023,122308055
201410,10007000,百貨,博士,1836,3311467
201410,10007000,百貨,碩士,28113,51411332
201410,10007000,百貨,大學,141164,260908132
201410,10007000,百貨,專科,53672,99238911
201410,10007000,百貨,高中高職,68122,135287813
201410,10007000,百貨,其他,65207,127228393
201411,10007000,百貨,博士,1760,3097111
201411,10007000,百貨,碩士,25993,40789932
201411,10007000,百貨,大學,123552,198158649
201411,10007000,百貨,專科,46820,79579784
201411,10007000,百貨,高中高職,58923,105477947
201411,10007000,百貨,其他,57194,98850324
201412,10007000,百貨,博士,2110,3845169
201412,10007000,百貨,碩士,31053,53261947
201412,10007000,百貨,大學,151512,251052470
201412,10007000,百貨,專科,57567,99674658
201412,10007000,百貨,高中高職,72323,132562954
201412,10007000,百貨,其他,70289,125741529
201501,10007000,百貨,博士,2084,3455808
201501,10007000,百貨,碩士,28093,45556036
201501,10007000,百貨,大學,130848,215844149
201501,10007000,百貨,專科,50372,85329217
201501,10007000,百貨,高中高職,63837,114691449
201501,10007000,百貨,其他,61400,108310430
201502,10007000,百貨,博士,2211,4193478
201502,10007000,百貨,碩士,30800,53177537
201502,10007000,百貨,大學,138905,242314551
201502,10007000,百貨,專科,54603,96177693
201502,10007000,百貨,高中高職,65540,125064223
201502,10007000,百貨,其他,65884,123257130
201503,10007000,百貨,博士,1703,2911831
201503,10007000,百貨,碩士,24962,42867422
201503,10007000,百貨,大學,122851,215647905
201503,10007000,百貨,專科,46648,80997329
201503,10007000,百貨,高中高職,58534,113391450
201503,10007000,百貨,其他,58540,108922978
201504,10007000,百貨,博士,1831,2921442
201504,10007000,百貨,碩士,27114,42559988
201504,10007000,百貨,大學,131536,215157095
201504,10007000,百貨,專科,51290,86277881
201504,10007000,百貨,高中高職,63083,112209179
201504,10007000,百貨,其他,61226,106136929
201505,10007000,百貨,博士,1953,2808744
201505,10007000,百貨,碩士,29024,43430041
201505,10007000,百貨,大學,137446,211566482
201505,10007000,百貨,專科,53063,82025562
201505,10007000,百貨,高中高職,64406,107247085
201505,10007000,百貨,其他,64140,105085760
201506,10007000,百貨,博士,2268,3760316
201506,10007000,百貨,碩士,32023,51450386
201506,10007000,百貨,大學,153252,250563866
201506,10007000,百貨,專科,59760,98784692
201506,10007000,百貨,高中高職,73266,132338725
201506,10007000,百貨,其他,73169,127170577
201507,10007000,百貨,博士,2526,4683066
201507,10007000,百貨,碩士,34458,55122281
201507,10007000,百貨,大學,162748,266640966
201507,10007000,百貨,專科,64238,104225419
201507,10007000,百貨,高中高職,77749,137236116
201507,10007000,百貨,其他,77753,137206563
201508,10007000,百貨,博士,2402,4293877
201508,10007000,百貨,碩士,32549,54542545
201508,10007000,百貨,大學,154161,259267986
201508,10007000,百貨,專科,57080,95165679
201508,10007000,百貨,高中高職,71822,129403851
201508,10007000,百貨,其他,71518,129337485
201509,10007000,百貨,博士,2121,4697641
201509,10007000,百貨,碩士,27043,59651172
201509,10007000,百貨,大學,136272,303253389
201509,10007000,百貨,專科,48143,105564113
201509,10007000,百貨,高中高職,63570,152618424
201509,10007000,百貨,其他,60460,139870711
201510,10007000,百貨,博士,2353,4979852
201510,10007000,百貨,碩士,32402,72873494
201510,10007000,百貨,大學,164521,366425047
201510,10007000,百貨,專科,57311,126008226
201510,10007000,百貨,高中高職,76669,184531139
201510,10007000,百貨,其他,73486,179312381
201511,10007000,百貨,博士,1897,3226692
201511,10007000,百貨,碩士,24434,43202370
201511,10007000,百貨,大學,121880,217089812
201511,10007000,百貨,專科,43491,78611272
201511,10007000,百貨,高中高職,56931,110285562
201511,10007000,百貨,其他,54846,105629747
201512,10007000,百貨,博士,2163,4260223
201512,10007000,百貨,碩士,29213,54013621
201512,10007000,百貨,大學,145857,260206913
201512,10007000,百貨,專科,51826,94181535
201512,10007000,百貨,高中高職,66335,133243295
201512,10007000,百貨,其他,64875,134141654
201601,10007000,百貨,博士,133,172343
201601,10007000,百貨,碩士,1601,1899397
201601,10007000,百貨,大學,11650,13403791
201601,10007000,百貨,專科,6678,7055033
201601,10007000,百貨,高中高職,11191,12873572
201601,10007000,百貨,其他,8235,13960245
201602,10007000,百貨,博士,128,206274
201602,10007000,百貨,碩士,1805,1677325
201602,10007000,百貨,大學,10826,11147359
201602,10007000,百貨,專科,6151,6929340
201602,10007000,百貨,高中高職,9274,10147027
201602,10007000,百貨,其他,7236,7533253
201603,10007000,百貨,博士,100,43614
201603,10007000,百貨,碩士,1272,1104987
201603,10007000,百貨,大學,9414,8216364
201603,10007000,百貨,專科,5359,4943736
201603,10007000,百貨,高中高職,8750,8680026
201603,10007000,百貨,其他,6937,6186559
201604,10007000,百貨,博士,137,122729
201604,10007000,百貨,碩士,1589,1957276
201604,10007000,百貨,大學,11211,12365206
201604,10007000,百貨,專科,6169,7129772
201604,10007000,百貨,高中高職,9891,12387906
201604,10007000,百貨,其他,7661,8670368
201605,10007000,百貨,博士,133,146042
201605,10007000,百貨,碩士,1772,1824810
201605,10007000,百貨,大學,12639,13325498
201605,10007000,百貨,專科,7001,7556425
201605,10007000,百貨,高中高職,11087,13000368
201605,10007000,百貨,其他,8589,8804719
201606,10007000,百貨,博士,125,124740
201606,10007000,百貨,碩士,1916,1604695
201606,10007000,百貨,大學,13286,12930229
201606,10007000,百貨,專科,7516,7346425
201606,10007000,百貨,高中高職,12344,12496748
201606,10007000,百貨,其他,9048,9055660
201607,10007000,百貨,博士,138,84858
201607,10007000,百貨,碩士,2099,1951075
201607,10007000,百貨,大學,13919,11952258
201607,10007000,百貨,專科,7870,7063982
201607,10007000,百貨,高中高職,12446,12474858
201607,10007000,百貨,其他,9380,8507757
201608,10007000,百貨,博士,123,86116
201608,10007000,百貨,碩士,1960,1696453
201608,10007000,百貨,大學,12857,11857602
201608,10007000,百貨,專科,7272,6690937
201608,10007000,百貨,高中高職,11955,12899108
201608,10007000,百貨,其他,9036,9235867
201609,10007000,百貨,博士,106,91044
201609,10007000,百貨,碩士,1634,1576735
201609,10007000,百貨,大學,11023,11374220
201609,10007000,百貨,專科,5991,6869329
201609,10007000,百貨,高中高職,9470,12013496
201609,10007000,百貨,其他,7399,8014399
201610,10007000,百貨,博士,112,78283
201610,10007000,百貨,碩士,1716,1652840
201610,10007000,百貨,大學,11512,12159770
201610,10007000,百貨,專科,5999,6550442
201610,10007000,百貨,高中高職,9549,10834595
201610,10007000,百貨,其他,8345,9258040
201611,10007000,百貨,博士,125,117609
201611,10007000,百貨,碩士,1454,1521215
201611,10007000,百貨,大學,9928,9002674
201611,10007000,百貨,專科,5594,4999185
201611,10007000,百貨,高中高職,8873,8026569
201611,10007000,百貨,其他,10661,10850218
