年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10007000,文教康樂,博士,3175,19883953
201401,10007000,文教康樂,碩士,43103,195618544
201401,10007000,文教康樂,大學,166597,654670651
201401,10007000,文教康樂,專科,52952,278131239
201401,10007000,文教康樂,高中高職,71414,357440300
201401,10007000,文教康樂,其他,59099,302599743
201402,10007000,文教康樂,博士,3029,21853022
201402,10007000,文教康樂,碩士,43873,192110409
201402,10007000,文教康樂,大學,182012,694300936
201402,10007000,文教康樂,專科,50774,301967744
201402,10007000,文教康樂,高中高職,74249,385740712
201402,10007000,文教康樂,其他,59101,309348449
201403,10007000,文教康樂,博士,3127,19129186
201403,10007000,文教康樂,碩士,46277,170278452
201403,10007000,文教康樂,大學,196437,610596642
201403,10007000,文教康樂,專科,50457,238742972
201403,10007000,文教康樂,高中高職,74985,332648585
201403,10007000,文教康樂,其他,60786,286228597
201404,10007000,文教康樂,博士,2882,18319102
201404,10007000,文教康樂,碩士,43556,174629443
201404,10007000,文教康樂,大學,183935,617652261
201404,10007000,文教康樂,專科,48174,250940162
201404,10007000,文教康樂,高中高職,71706,356805812
201404,10007000,文教康樂,其他,57731,315125623
201405,10007000,文教康樂,博士,3008,24098006
201405,10007000,文教康樂,碩士,43704,190813898
201405,10007000,文教康樂,大學,185935,674404941
201405,10007000,文教康樂,專科,48346,272121800
201405,10007000,文教康樂,高中高職,71936,381476072
201405,10007000,文教康樂,其他,58039,325198823
201406,10007000,文教康樂,博士,3299,32399780
201406,10007000,文教康樂,碩士,36056,216326909
201406,10007000,文教康樂,大學,129747,640444041
201406,10007000,文教康樂,專科,49411,272004818
201406,10007000,文教康樂,高中高職,59769,344598025
201406,10007000,文教康樂,其他,52734,322656383
201407,10007000,文教康樂,博士,3467,29099959
201407,10007000,文教康樂,碩士,38525,218154024
201407,10007000,文教康樂,大學,135937,689221148
201407,10007000,文教康樂,專科,54759,284044440
201407,10007000,文教康樂,高中高職,63374,350169662
201407,10007000,文教康樂,其他,54892,314697133
201408,10007000,文教康樂,博士,3388,28614175
201408,10007000,文教康樂,碩士,40327,235165133
201408,10007000,文教康樂,大學,144235,754820680
201408,10007000,文教康樂,專科,57705,334297664
201408,10007000,文教康樂,高中高職,67261,403472206
201408,10007000,文教康樂,其他,59346,333523993
201409,10007000,文教康樂,博士,3063,20083389
201409,10007000,文教康樂,碩士,35444,195407567
201409,10007000,文教康樂,大學,128547,689870859
201409,10007000,文教康樂,專科,51450,305659032
201409,10007000,文教康樂,高中高職,60552,398442168
201409,10007000,文教康樂,其他,52929,342860927
201410,10007000,文教康樂,博士,3134,18973113
201410,10007000,文教康樂,碩士,36466,172852488
201410,10007000,文教康樂,大學,131677,629457529
201410,10007000,文教康樂,專科,50952,271478001
201410,10007000,文教康樂,高中高職,61008,363228619
201410,10007000,文教康樂,其他,53838,308195950
201411,10007000,文教康樂,博士,3159,16870887
201411,10007000,文教康樂,碩士,37283,168283538
201411,10007000,文教康樂,大學,131065,582005358
201411,10007000,文教康樂,專科,50217,241928753
201411,10007000,文教康樂,高中高職,59377,319314702
201411,10007000,文教康樂,其他,53422,271606052
201412,10007000,文教康樂,博士,3225,17519339
201412,10007000,文教康樂,碩士,37776,178372422
201412,10007000,文教康樂,大學,134970,612335636
201412,10007000,文教康樂,專科,52274,249730702
201412,10007000,文教康樂,高中高職,62251,331641300
201412,10007000,文教康樂,其他,55524,295284742
201501,10007000,文教康樂,博士,3475,25336507
201501,10007000,文教康樂,碩士,39685,218954986
201501,10007000,文教康樂,大學,139555,695365795
201501,10007000,文教康樂,專科,55510,291556894
201501,10007000,文教康樂,高中高職,64241,359393407
201501,10007000,文教康樂,其他,56694,310401635
201502,10007000,文教康樂,博士,3404,23221726
201502,10007000,文教康樂,碩士,40523,215852752
201502,10007000,文教康樂,大學,143963,749072023
201502,10007000,文教康樂,專科,58625,361255158
201502,10007000,文教康樂,高中高職,68242,435659407
201502,10007000,文教康樂,其他,59808,341323793
201503,10007000,文教康樂,博士,3172,20455380
201503,10007000,文教康樂,碩士,37170,194126891
201503,10007000,文教康樂,大學,135820,665197695
201503,10007000,文教康樂,專科,52407,274461381
201503,10007000,文教康樂,高中高職,62667,381260896
201503,10007000,文教康樂,其他,56680,326242226
201504,10007000,文教康樂,博士,3435,22298109
201504,10007000,文教康樂,碩士,41187,192424112
201504,10007000,文教康樂,大學,149673,686005679
201504,10007000,文教康樂,專科,57534,291588121
201504,10007000,文教康樂,高中高職,68895,412548313
201504,10007000,文教康樂,其他,62409,356260046
201505,10007000,文教康樂,博士,3322,24696862
201505,10007000,文教康樂,碩士,39400,205649693
201505,10007000,文教康樂,大學,140858,711563603
201505,10007000,文教康樂,專科,53980,305977219
201505,10007000,文教康樂,高中高職,63694,400095992
201505,10007000,文教康樂,其他,57556,351802817
201506,10007000,文教康樂,博士,3738,31937540
201506,10007000,文教康樂,碩士,42450,227354412
201506,10007000,文教康樂,大學,150691,740050959
201506,10007000,文教康樂,專科,57728,317042393
201506,10007000,文教康樂,高中高職,66800,386701348
201506,10007000,文教康樂,其他,61454,344253011
201507,10007000,文教康樂,博士,4141,30934388
201507,10007000,文教康樂,碩士,46949,260024715
201507,10007000,文教康樂,大學,161731,814807552
201507,10007000,文教康樂,專科,62789,335649169
201507,10007000,文教康樂,高中高職,70878,397274630
201507,10007000,文教康樂,其他,65438,363165507
201508,10007000,文教康樂,博士,4028,30555400
201508,10007000,文教康樂,碩士,46255,243670574
201508,10007000,文教康樂,大學,162939,796492954
201508,10007000,文教康樂,專科,62507,354067286
201508,10007000,文教康樂,高中高職,70385,427748825
201508,10007000,文教康樂,其他,65109,353367142
201509,10007000,文教康樂,博士,3710,21331287
201509,10007000,文教康樂,碩士,42895,207052870
201509,10007000,文教康樂,大學,154021,726115692
201509,10007000,文教康樂,專科,58843,314139059
201509,10007000,文教康樂,高中高職,68040,420809013
201509,10007000,文教康樂,其他,62207,341908307
201510,10007000,文教康樂,博士,3774,20307789
201510,10007000,文教康樂,碩士,44561,199598077
201510,10007000,文教康樂,大學,156244,718326372
201510,10007000,文教康樂,專科,58149,297986050
201510,10007000,文教康樂,高中高職,67206,403765093
201510,10007000,文教康樂,其他,63466,349973568
201511,10007000,文教康樂,博士,3582,17295410
201511,10007000,文教康樂,碩士,41671,189656045
201511,10007000,文教康樂,大學,149039,659671997
201511,10007000,文教康樂,專科,56075,278071546
201511,10007000,文教康樂,高中高職,65956,360729260
201511,10007000,文教康樂,其他,60476,310377744
201512,10007000,文教康樂,博士,3414,17307798
201512,10007000,文教康樂,碩士,40997,175187783
201512,10007000,文教康樂,大學,143064,601462658
201512,10007000,文教康樂,專科,53177,244932611
201512,10007000,文教康樂,高中高職,62739,324003439
201512,10007000,文教康樂,其他,58268,270944542
