年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10007000,食,博士,11462,21718877
201401,10007000,食,碩士,109752,198218361
201401,10007000,食,大學,408509,817472503
201401,10007000,食,專科,184489,325788740
201401,10007000,食,高中高職,269061,505458207
201401,10007000,食,其他,235660,402220258
201402,10007000,食,博士,9364,13327843
201402,10007000,食,碩士,92121,133927446
201402,10007000,食,大學,326998,483093119
201402,10007000,食,專科,141352,216376700
201402,10007000,食,高中高職,195977,306106716
201402,10007000,食,其他,178047,258758282
201403,10007000,食,博士,10333,13099100
201403,10007000,食,碩士,100781,134931110
201403,10007000,食,大學,365846,499662443
201403,10007000,食,專科,160048,218137377
201403,10007000,食,高中高職,230100,330189675
201403,10007000,食,其他,203520,271845300
201404,10007000,食,博士,9472,12591429
201404,10007000,食,碩士,94941,127656446
201404,10007000,食,大學,342373,465171196
201404,10007000,食,專科,150775,209603343
201404,10007000,食,高中高職,216403,315915328
201404,10007000,食,其他,190756,254167497
201405,10007000,食,博士,10668,15003762
201405,10007000,食,碩士,106217,153012669
201405,10007000,食,大學,382237,558501831
201405,10007000,食,專科,168135,253030731
201405,10007000,食,高中高職,239342,368966782
201405,10007000,食,其他,210011,297487632
201406,10007000,食,博士,10961,14828913
201406,10007000,食,碩士,107294,144972699
201406,10007000,食,大學,387470,538668763
201406,10007000,食,專科,171226,242608263
201406,10007000,食,高中高職,244027,346749144
201406,10007000,食,其他,213360,287394317
201407,10007000,食,博士,11953,16443513
201407,10007000,食,碩士,118495,158698632
201407,10007000,食,大學,434741,602936123
201407,10007000,食,專科,194063,276142613
201407,10007000,食,高中高職,278153,401856886
201407,10007000,食,其他,241238,328552132
201408,10007000,食,博士,12975,17362165
201408,10007000,食,碩士,130882,187035810
201408,10007000,食,大學,472098,705744835
201408,10007000,食,專科,208254,313738239
201408,10007000,食,高中高職,297840,468081896
201408,10007000,食,其他,260085,387796061
201409,10007000,食,博士,11813,15094352
201409,10007000,食,碩士,113947,151714124
201409,10007000,食,大學,407419,562082969
201409,10007000,食,專科,178100,237411085
201409,10007000,食,高中高職,246792,346339438
201409,10007000,食,其他,217567,284827328
201410,10007000,食,博士,11760,14838909
201410,10007000,食,碩士,115727,164091003
201410,10007000,食,大學,408138,555151024
201410,10007000,食,專科,175961,243947737
201410,10007000,食,高中高職,242467,338724358
201410,10007000,食,其他,216065,280690737
201411,10007000,食,博士,12074,14568856
201411,10007000,食,碩士,119561,156394717
201411,10007000,食,大學,412491,552942969
201411,10007000,食,專科,174577,238429466
201411,10007000,食,高中高職,241794,334902359
201411,10007000,食,其他,215886,279577547
201412,10007000,食,博士,12995,17623310
201412,10007000,食,碩士,128876,193130336
201412,10007000,食,大學,452111,631341517
201412,10007000,食,專科,190341,261068330
201412,10007000,食,高中高職,263083,372196439
201412,10007000,食,其他,237741,322679902
201501,10007000,食,博士,13194,18744727
201501,10007000,食,碩士,128182,185811049
201501,10007000,食,大學,439492,650455615
201501,10007000,食,專科,188024,295023907
201501,10007000,食,高中高職,259103,409511541
201501,10007000,食,其他,233672,341640776
201502,10007000,食,博士,12663,19124480
201502,10007000,食,碩士,125584,197827605
201502,10007000,食,大學,429539,712062379
201502,10007000,食,專科,189459,325748846
201502,10007000,食,高中高職,257012,455711211
201502,10007000,食,其他,233968,383201646
201503,10007000,食,博士,12302,15124955
201503,10007000,食,碩士,118415,176015940
201503,10007000,食,大學,401044,553096492
201503,10007000,食,專科,168089,231203066
201503,10007000,食,高中高職,226754,336245104
201503,10007000,食,其他,214988,283090186
201504,10007000,食,博士,12691,15701598
201504,10007000,食,碩士,122982,159734945
201504,10007000,食,大學,415360,551895524
201504,10007000,食,專科,177005,250731431
201504,10007000,食,高中高職,236540,337460594
201504,10007000,食,其他,220569,287260544
201505,10007000,食,博士,14154,18189331
201505,10007000,食,碩士,138775,187940244
201505,10007000,食,大學,468819,652434127
201505,10007000,食,專科,201845,285763707
201505,10007000,食,高中高職,270808,405983862
201505,10007000,食,其他,248571,329857013
201506,10007000,食,博士,13836,17265446
201506,10007000,食,碩士,132890,168399955
201506,10007000,食,大學,454364,587853114
201506,10007000,食,專科,199200,276834421
201506,10007000,食,高中高職,264860,363594254
201506,10007000,食,其他,243826,302800846
201507,10007000,食,博士,14462,18404603
201507,10007000,食,碩士,143027,184300325
201507,10007000,食,大學,488515,638034504
201507,10007000,食,專科,210467,282105935
201507,10007000,食,高中高職,282888,395183588
201507,10007000,食,其他,256127,327426936
201508,10007000,食,博士,15575,19686656
201508,10007000,食,碩士,159227,215338715
201508,10007000,食,大學,556582,779922169
201508,10007000,食,專科,241224,351786214
201508,10007000,食,高中高職,339086,546019606
201508,10007000,食,其他,298546,425818327
201509,10007000,食,博士,13950,17334220
201509,10007000,食,碩士,137641,187624114
201509,10007000,食,大學,465295,636654890
201509,10007000,食,專科,194023,281335125
201509,10007000,食,高中高職,263243,395193251
201509,10007000,食,其他,240366,326396784
201510,10007000,食,博士,13918,17396775
201510,10007000,食,碩士,137891,188258719
201510,10007000,食,大學,464405,621887177
201510,10007000,食,專科,190634,259493341
201510,10007000,食,高中高職,260385,369691284
201510,10007000,食,其他,237973,307182074
201511,10007000,食,博士,13466,16787128
201511,10007000,食,碩士,131570,186136470
201511,10007000,食,大學,443565,593880225
201511,10007000,食,專科,182810,254450498
201511,10007000,食,高中高職,249779,361195936
201511,10007000,食,其他,225312,301092683
201512,10007000,食,博士,13455,17254876
201512,10007000,食,碩士,133116,197645960
201512,10007000,食,大學,450525,617699222
201512,10007000,食,專科,185203,256936078
201512,10007000,食,高中高職,252311,361042761
201512,10007000,食,其他,228758,305951490
201601,10007000,食,博士,1219,1560773
201601,10007000,食,碩士,13343,16693306
201601,10007000,食,大學,66370,86940855
201601,10007000,食,專科,43636,57654151
201601,10007000,食,高中高職,70273,95570060
201601,10007000,食,其他,49369,65278407
201602,10007000,食,博士,1289,1675411
201602,10007000,食,碩士,14043,18370658
201602,10007000,食,大學,62752,80960454
201602,10007000,食,專科,38821,51014221
201602,10007000,食,高中高職,61379,82283244
201602,10007000,食,其他,44701,58882846
201603,10007000,食,博士,1073,1131819
201603,10007000,食,碩士,11153,12035624
201603,10007000,食,大學,55936,57268409
201603,10007000,食,專科,33878,34953497
201603,10007000,食,高中高職,55592,58371356
201603,10007000,食,其他,41019,41496350
201604,10007000,食,博士,1124,1168768
201604,10007000,食,碩士,12107,13092599
201604,10007000,食,大學,58422,62736387
201604,10007000,食,專科,35501,36951478
201604,10007000,食,高中高職,56214,60686871
201604,10007000,食,其他,41909,43811778
201605,10007000,食,博士,1204,1346799
201605,10007000,食,碩士,12811,14039329
201605,10007000,食,大學,62230,69177080
201605,10007000,食,專科,38352,41976244
201605,10007000,食,高中高職,60469,66992908
201605,10007000,食,其他,44912,48804260
201606,10007000,食,博士,1292,1428045
201606,10007000,食,碩士,13436,13951488
201606,10007000,食,大學,65043,68171929
