年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10007000,其他,博士,3331,18713999
201401,10007000,其他,碩士,38330,176539834
201401,10007000,其他,大學,175260,741665674
201401,10007000,其他,專科,79562,370345126
201401,10007000,其他,高中高職,114521,565242218
201401,10007000,其他,其他,88906,418806411
201402,10007000,其他,博士,2506,13147984
201402,10007000,其他,碩士,30503,131048205
201402,10007000,其他,大學,141383,545464837
201402,10007000,其他,專科,62734,271998614
201402,10007000,其他,高中高職,89371,435186290
201402,10007000,其他,其他,70878,318984342
201403,10007000,其他,博士,2801,13286246
201403,10007000,其他,碩士,33906,151942777
201403,10007000,其他,大學,159537,651275689
201403,10007000,其他,專科,71540,320045420
201403,10007000,其他,高中高職,104353,509160526
201403,10007000,其他,其他,80573,365929718
201404,10007000,其他,博士,2608,14667618
201404,10007000,其他,碩士,31885,148727572
201404,10007000,其他,大學,150687,625634057
201404,10007000,其他,專科,68397,314202893
201404,10007000,其他,高中高職,98293,490590140
201404,10007000,其他,其他,75808,356187750
201405,10007000,其他,博士,2726,14565273
201405,10007000,其他,碩士,34315,149806733
201405,10007000,其他,大學,161281,643902191
201405,10007000,其他,專科,72196,324142062
201405,10007000,其他,高中高職,103591,510548562
201405,10007000,其他,其他,80004,360421896
201406,10007000,其他,博士,2844,13608658
201406,10007000,其他,碩士,35358,147506251
201406,10007000,其他,大學,162576,618155267
201406,10007000,其他,專科,73290,314242839
201406,10007000,其他,高中高職,104325,490147670
201406,10007000,其他,其他,80197,352745351
201407,10007000,其他,博士,3096,16044647
201407,10007000,其他,碩士,36619,156624863
201407,10007000,其他,大學,167668,637676296
201407,10007000,其他,專科,74432,324654675
201407,10007000,其他,高中高職,105350,489684257
201407,10007000,其他,其他,82127,363063286
201408,10007000,其他,博士,3199,14911851
201408,10007000,其他,碩士,39521,162269761
201408,10007000,其他,大學,173205,649678896
201408,10007000,其他,專科,75263,315233386
201408,10007000,其他,高中高職,106097,492334209
201408,10007000,其他,其他,83985,363730875
201409,10007000,其他,博士,3053,12803562
201409,10007000,其他,碩士,37928,155197536
201409,10007000,其他,大學,169582,656107069
201409,10007000,其他,專科,73586,323958145
201409,10007000,其他,高中高職,105099,516797987
201409,10007000,其他,其他,82353,371208172
201410,10007000,其他,博士,3247,14952864
201410,10007000,其他,碩士,41328,165811668
201410,10007000,其他,大學,180853,718123512
201410,10007000,其他,專科,78188,355758164
201410,10007000,其他,高中高職,110817,543170485
201410,10007000,其他,其他,86203,389239312
201411,10007000,其他,博士,3076,12930610
201411,10007000,其他,碩士,39562,164773702
201411,10007000,其他,大學,173674,676136613
201411,10007000,其他,專科,73646,330366581
201411,10007000,其他,高中高職,104301,515460560
201411,10007000,其他,其他,82541,378196757
201412,10007000,其他,博士,3464,17452821
201412,10007000,其他,碩士,42789,191080193
201412,10007000,其他,大學,183484,766879592
201412,10007000,其他,專科,78962,378931219
201412,10007000,其他,高中高職,110371,580865987
201412,10007000,其他,其他,88772,428957811
201501,10007000,其他,博士,3459,15940756
201501,10007000,其他,碩士,43193,174837151
201501,10007000,其他,大學,183670,738106792
201501,10007000,其他,專科,78378,361692236
201501,10007000,其他,高中高職,110110,539893848
201501,10007000,其他,其他,87188,414558115
201502,10007000,其他,博士,3075,12551489
201502,10007000,其他,碩士,39276,161733825
201502,10007000,其他,大學,163018,655788242
201502,10007000,其他,專科,69349,310046385
201502,10007000,其他,高中高職,95203,472729430
201502,10007000,其他,其他,77962,357286890
201503,10007000,其他,博士,3059,15839542
201503,10007000,其他,碩士,39211,166849088
201503,10007000,其他,大學,170701,687987022
201503,10007000,其他,專科,72190,335576278
201503,10007000,其他,高中高職,102303,513564584
201503,10007000,其他,其他,82399,393059940
201504,10007000,其他,博士,3030,13969503
201504,10007000,其他,碩士,38561,161251490
201504,10007000,其他,大學,167550,682102675
201504,10007000,其他,專科,70531,327261273
201504,10007000,其他,高中高職,99850,518340218
201504,10007000,其他,其他,80251,377772657
201505,10007000,其他,博士,3281,14051392
201505,10007000,其他,碩士,41265,168931534
201505,10007000,其他,大學,177996,720224679
201505,10007000,其他,專科,74858,341927651
