年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10020000,百貨,博士,745,2199023
201401,10020000,百貨,碩士,5836,16439691
201401,10020000,百貨,大學,27257,80518684
201401,10020000,百貨,專科,15313,46815593
201401,10020000,百貨,高中高職,17760,58600332
201401,10020000,百貨,其他,13858,43130496
201402,10020000,百貨,博士,574,1412747
201402,10020000,百貨,碩士,4505,11451311
201402,10020000,百貨,大學,20859,55929522
201402,10020000,百貨,專科,11512,32238826
201402,10020000,百貨,高中高職,13002,39141358
201402,10020000,百貨,其他,10898,31497671
201403,10020000,百貨,博士,431,1325240
201403,10020000,百貨,碩士,4097,11639625
201403,10020000,百貨,大學,19437,63478515
201403,10020000,百貨,專科,11017,40504602
201403,10020000,百貨,高中高職,12329,50034509
201403,10020000,百貨,其他,10304,34263077
201404,10020000,百貨,博士,529,1730539
201404,10020000,百貨,碩士,4247,11971184
201404,10020000,百貨,大學,21197,61642420
201404,10020000,百貨,專科,11974,41000877
201404,10020000,百貨,高中高職,13508,48288332
201404,10020000,百貨,其他,10641,32500732
201405,10020000,百貨,博士,563,1578478
201405,10020000,百貨,碩士,4663,12447441
201405,10020000,百貨,大學,22247,60639040
201405,10020000,百貨,專科,11843,35895050
201405,10020000,百貨,高中高職,13413,43351173
201405,10020000,百貨,其他,11455,34415311
201406,10020000,百貨,博士,625,1710025
201406,10020000,百貨,碩士,4402,10965879
201406,10020000,百貨,大學,21282,54529769
201406,10020000,百貨,專科,11839,32679943
201406,10020000,百貨,高中高職,13563,41663855
201406,10020000,百貨,其他,11492,32898793
201407,10020000,百貨,博士,537,1344843
201407,10020000,百貨,碩士,4695,11125466
201407,10020000,百貨,大學,21335,51354575
201407,10020000,百貨,專科,11747,29904239
201407,10020000,百貨,高中高職,13062,36234482
201407,10020000,百貨,其他,11159,29052508
201408,10020000,百貨,博士,585,1344528
201408,10020000,百貨,碩士,5023,11358075
201408,10020000,百貨,大學,22969,54878352
201408,10020000,百貨,專科,12219,29056660
201408,10020000,百貨,高中高職,13489,37400532
201408,10020000,百貨,其他,11383,29915312
201409,10020000,百貨,博士,670,2724387
201409,10020000,百貨,碩士,5027,17461934
201409,10020000,百貨,大學,23933,87084438
201409,10020000,百貨,專科,14060,62902887
201409,10020000,百貨,高中高職,16110,76800619
201409,10020000,百貨,其他,11966,47326544
201410,10020000,百貨,博士,761,2727480
201410,10020000,百貨,碩士,6539,20256262
201410,10020000,百貨,大學,33253,110068459
201410,10020000,百貨,專科,19571,70658165
201410,10020000,百貨,高中高職,23016,86300273
201410,10020000,百貨,其他,16871,57405215
201411,10020000,百貨,博士,604,1594041
201411,10020000,百貨,碩士,5000,13520229
