年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10020000,住,博士,498,2029929
201401,10020000,住,碩士,3481,14092291
201401,10020000,住,大學,12889,56704400
201401,10020000,住,專科,7408,34945310
201401,10020000,住,高中高職,8306,39344150
201401,10020000,住,其他,6767,31820745
201402,10020000,住,博士,416,1564538
201402,10020000,住,碩士,2670,9245849
201402,10020000,住,大學,10065,39350151
201402,10020000,住,專科,5689,23362201
201402,10020000,住,高中高職,6164,26753538
201402,10020000,住,其他,5333,23495910
201403,10020000,住,博士,376,1120016
201403,10020000,住,碩士,2599,10193695
201403,10020000,住,大學,9545,41518210
201403,10020000,住,專科,5405,24552370
201403,10020000,住,高中高職,6144,29249616
201403,10020000,住,其他,5197,25173333
201404,10020000,住,博士,334,1522975
201404,10020000,住,碩士,2411,9847941
201404,10020000,住,大學,9301,44740805
201404,10020000,住,專科,5176,28271580
201404,10020000,住,高中高職,5966,29295008
201404,10020000,住,其他,4915,26173182
201405,10020000,住,博士,394,1071030
201405,10020000,住,碩士,2656,10639886
201405,10020000,住,大學,10184,46937196
201405,10020000,住,專科,5842,27626925
201405,10020000,住,高中高職,6347,28492891
201405,10020000,住,其他,5527,26432857
201406,10020000,住,博士,386,1382535
201406,10020000,住,碩士,2823,12986273
201406,10020000,住,大學,9989,42592235
201406,10020000,住,專科,5623,27580069
201406,10020000,住,高中高職,6428,30552878
201406,10020000,住,其他,5320,24542884
201407,10020000,住,博士,418,2145052
201407,10020000,住,碩士,3066,11183221
201407,10020000,住,大學,11041,53043429
201407,10020000,住,專科,6233,29750258
201407,10020000,住,高中高職,6785,36040897
201407,10020000,住,其他,5748,28502544
201408,10020000,住,博士,420,1397736
201408,10020000,住,碩士,3066,11303689
201408,10020000,住,大學,11323,47812246
201408,10020000,住,專科,6256,28369836
201408,10020000,住,高中高職,6676,30741007
201408,10020000,住,其他,5986,26958665
201409,10020000,住,博士,390,1595754
201409,10020000,住,碩士,2548,9180536
201409,10020000,住,大學,9883,43604977
201409,10020000,住,專科,5474,25048741
201409,10020000,住,高中高職,6132,28583295
201409,10020000,住,其他,5446,25626681
201410,10020000,住,博士,406,1662153
201410,10020000,住,碩士,2597,10288792
201410,10020000,住,大學,10189,44046096
201410,10020000,住,專科,5518,25437719
201410,10020000,住,高中高職,6333,27264596
201410,10020000,住,其他,5488,27367661
201411,10020000,住,博士,405,1241550
201411,10020000,住,碩士,2559,10847076
201411,10020000,住,大學,10153,44819070
201411,10020000,住,專科,5749,26668356
201411,10020000,住,高中高職,6371,28825597
201411,10020000,住,其他,5585,28895958
201412,10020000,住,博士,424,1729457
201412,10020000,住,碩士,2706,11126431
201412,10020000,住,大學,11030,47799418
201412,10020000,住,專科,6225,30393440
201412,10020000,住,高中高職,7014,32422692
201412,10020000,住,其他,5945,29803333
201501,10020000,住,博士,495,2161772
201501,10020000,住,碩士,3339,13487994
201501,10020000,住,大學,12702,52662696
201501,10020000,住,專科,6889,30791184
201501,10020000,住,高中高職,7882,33127779
201501,10020000,住,其他,6493,29002167
201502,10020000,住,博士,468,1346342
201502,10020000,住,碩士,3887,13717770
201502,10020000,住,大學,13801,56279380
201502,10020000,住,專科,7317,30433272
201502,10020000,住,高中高職,7714,33761059
201502,10020000,住,其他,6870,30800983
201503,10020000,住,博士,366,1055452
201503,10020000,住,碩士,2938,11594063
201503,10020000,住,大學,11103,43666417
201503,10020000,住,專科,5949,25248206
201503,10020000,住,高中高職,6594,28576623
201503,10020000,住,其他,5778,24724666
201504,10020000,住,博士,387,942974
201504,10020000,住,碩士,2843,11725392
201504,10020000,住,大學,11269,51226687
201504,10020000,住,專科,6098,30702628
201504,10020000,住,高中高職,6763,33070599
201504,10020000,住,其他,5821,31115437
201505,10020000,住,博士,380,1286464
201505,10020000,住,碩士,2930,11325828
201505,10020000,住,大學,11082,49091138
201505,10020000,住,專科,6123,28321164
201505,10020000,住,高中高職,6714,33193473
201505,10020000,住,其他,5905,30595965
201506,10020000,住,博士,403,1398529
201506,10020000,住,碩士,2874,11811978
201506,10020000,住,大學,11621,54096172
201506,10020000,住,專科,5997,28719585
201506,10020000,住,高中高職,6785,35613960
201506,10020000,住,其他,5750,29176608
201507,10020000,住,博士,488,1580503
201507,10020000,住,碩士,3544,13763334
201507,10020000,住,大學,12471,54051867
201507,10020000,住,專科,6776,32266737
201507,10020000,住,高中高職,7471,38651122
201507,10020000,住,其他,6602,33159708
201508,10020000,住,博士,502,1537696
201508,10020000,住,碩士,3446,13155299
201508,10020000,住,大學,12676,49867653
201508,10020000,住,專科,6824,30877197
201508,10020000,住,高中高職,7507,32438558
201508,10020000,住,其他,6604,30547436
201509,10020000,住,博士,372,1247266
201509,10020000,住,碩士,2998,11299813
201509,10020000,住,大學,11519,45826908
201509,10020000,住,專科,6279,25806840
201509,10020000,住,高中高職,7096,30508650
201509,10020000,住,其他,5885,28600789
201510,10020000,住,博士,399,1275769
201510,10020000,住,碩士,3143,11294932
201510,10020000,住,大學,11981,52301949
201510,10020000,住,專科,6346,30323808
201510,10020000,住,高中高職,6997,30921037
201510,10020000,住,其他,5994,28402688
201511,10020000,住,博士,356,1064800
201511,10020000,住,碩士,3101,12854900
201511,10020000,住,大學,11572,52594063
201511,10020000,住,專科,6195,29147267
201511,10020000,住,高中高職,6747,33594937
201511,10020000,住,其他,5887,30633331
201512,10020000,住,博士,447,1486806
201512,10020000,住,碩士,3522,14895930
201512,10020000,住,大學,12641,56466438
201512,10020000,住,專科,6761,31276551
201512,10020000,住,高中高職,7538,34233294
201512,10020000,住,其他,6533,33007176
201601,10020000,住,博士,454,1698926
201601,10020000,住,碩士,3332,14444275
201601,10020000,住,大學,12755,61105528
201601,10020000,住,專科,6863,33135030
201601,10020000,住,高中高職,7791,38160702
201601,10020000,住,其他,6632,33970720
201602,10020000,住,博士,475,1650410
201602,10020000,住,碩士,4002,16058533
201602,10020000,住,大學,13579,59926101
201602,10020000,住,專科,6817,31644318
201602,10020000,住,高中高職,7197,36525245
