年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10010000,文教康樂,博士,42,162707
201401,10010000,文教康樂,碩士,339,1256647
201401,10010000,文教康樂,大學,1892,6914649
201401,10010000,文教康樂,專科,987,3889389
201401,10010000,文教康樂,高中高職,1004,4706709
201401,10010000,文教康樂,其他,1176,4371718
201402,10010000,文教康樂,博士,49,162687
201402,10010000,文教康樂,碩士,319,956073
201402,10010000,文教康樂,大學,2006,6695419
201402,10010000,文教康樂,專科,1083,3604069
201402,10010000,文教康樂,高中高職,1105,4180473
201402,10010000,文教康樂,其他,1324,3845462
201403,10010000,文教康樂,博士,67,180669
201403,10010000,文教康樂,碩士,441,1549790
201403,10010000,文教康樂,大學,2614,8718113
201403,10010000,文教康樂,專科,1467,5075844
201403,10010000,文教康樂,高中高職,1533,6014111
201403,10010000,文教康樂,其他,1740,6402244
201404,10010000,文教康樂,博士,66,246112
201404,10010000,文教康樂,碩士,426,1199003
201404,10010000,文教康樂,大學,2348,7701377
201404,10010000,文教康樂,專科,1306,4480300
201404,10010000,文教康樂,高中高職,1203,4976063
201404,10010000,文教康樂,其他,1362,4826922
201405,10010000,文教康樂,博士,46,104322
201405,10010000,文教康樂,碩士,378,1279604
201405,10010000,文教康樂,大學,2062,8226148
201405,10010000,文教康樂,專科,1136,4428980
201405,10010000,文教康樂,高中高職,1143,5400731
201405,10010000,文教康樂,其他,1208,4848780
201406,10010000,文教康樂,博士,54,167307
201406,10010000,文教康樂,碩士,358,1148743
201406,10010000,文教康樂,大學,1948,6870293
201406,10010000,文教康樂,專科,1103,4192640
201406,10010000,文教康樂,高中高職,1049,4114412
201406,10010000,文教康樂,其他,1168,4303483
201407,10010000,文教康樂,博士,55,193856
201407,10010000,文教康樂,碩士,414,1340753
201407,10010000,文教康樂,大學,2094,7492308
201407,10010000,文教康樂,專科,1121,3806385
201407,10010000,文教康樂,高中高職,1099,4663892
201407,10010000,文教康樂,其他,1139,3823913
201408,10010000,文教康樂,博士,60,203180
201408,10010000,文教康樂,碩士,436,1767361
