年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10010000,住,博士,61,365273
201401,10010000,住,碩士,445,2135692
201401,10010000,住,大學,1527,9083852
201401,10010000,住,專科,765,4954429
201401,10010000,住,高中高職,1001,6961747
201401,10010000,住,其他,799,5010883
201402,10010000,住,博士,56,445165
201402,10010000,住,碩士,354,1904258
201402,10010000,住,大學,1250,6990894
201402,10010000,住,專科,737,4293722
201402,10010000,住,高中高職,923,5606669
201402,10010000,住,其他,789,5165795
201403,10010000,住,博士,38,169919
201403,10010000,住,碩士,398,1908836
201403,10010000,住,大學,1371,7686060
201403,10010000,住,專科,720,4134071
201403,10010000,住,高中高職,958,6529702
201403,10010000,住,其他,827,5452398
201404,10010000,住,博士,37,219142
201404,10010000,住,碩士,344,2102577
201404,10010000,住,大學,1273,7026302
201404,10010000,住,專科,773,4933960
201404,10010000,住,高中高職,980,6619709
201404,10010000,住,其他,745,4090172
201405,10010000,住,博士,34,141733
201405,10010000,住,碩士,299,1630220
201405,10010000,住,大學,1308,7311842
201405,10010000,住,專科,674,4203656
201405,10010000,住,高中高職,935,7107518
201405,10010000,住,其他,680,4733852
201406,10010000,住,博士,55,794275
201406,10010000,住,碩士,359,1672752
201406,10010000,住,大學,1254,7511360
201406,10010000,住,專科,690,4221266
201406,10010000,住,高中高職,908,6694617
201406,10010000,住,其他,772,4967423
201407,10010000,住,博士,51,202612
201407,10010000,住,碩士,537,2849945
201407,10010000,住,大學,1750,10808078
201407,10010000,住,專科,912,5986892
201407,10010000,住,高中高職,1075,7896791
201407,10010000,住,其他,995,7839469
201408,10010000,住,博士,51,371848
201408,10010000,住,碩士,536,2394436
201408,10010000,住,大學,1563,7656020
201408,10010000,住,專科,825,4522024
201408,10010000,住,高中高職,977,6626691
201408,10010000,住,其他,914,5925551
201409,10010000,住,博士,51,260055
201409,10010000,住,碩士,289,1283731
201409,10010000,住,大學,1194,6389243
201409,10010000,住,專科,621,3570788
201409,10010000,住,高中高職,846,6363238
201409,10010000,住,其他,700,4264068
201410,10010000,住,博士,46,253496
201410,10010000,住,碩士,362,1546983
201410,10010000,住,大學,1275,7271854
201410,10010000,住,專科,712,3794410
201410,10010000,住,高中高職,837,5749067
201410,10010000,住,其他,751,4967032
201411,10010000,住,博士,34,91652
201411,10010000,住,碩士,318,1793794
201411,10010000,住,大學,1338,7376590
201411,10010000,住,專科,685,4579901
201411,10010000,住,高中高職,863,5834454
201411,10010000,住,其他,771,5523695
201412,10010000,住,博士,56,163841
201412,10010000,住,碩士,401,3307924
201412,10010000,住,大學,1403,11240234
201412,10010000,住,專科,775,6080943
201412,10010000,住,高中高職,896,6447933
201412,10010000,住,其他,840,6981228
201501,10010000,住,博士,56,268306
201501,10010000,住,碩士,451,2676369
201501,10010000,住,大學,1667,10438070
201501,10010000,住,專科,886,6711640
201501,10010000,住,高中高職,1157,8338879
201501,10010000,住,其他,1094,8360221
201502,10010000,住,博士,61,281862
201502,10010000,住,碩士,554,2766523
201502,10010000,住,大學,1604,9596453
201502,10010000,住,專科,910,6058335
201502,10010000,住,高中高職,1034,7339892
201502,10010000,住,其他,918,6176057
201503,10010000,住,博士,45,230433
201503,10010000,住,碩士,389,2350704
201503,10010000,住,大學,1475,8724474
201503,10010000,住,專科,810,5558811
201503,10010000,住,高中高職,999,6706003
201503,10010000,住,其他,913,6708381
