年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10010000,其他,博士,122,654156
201401,10010000,其他,碩士,850,3131151
201401,10010000,其他,大學,4400,17842266
201401,10010000,其他,專科,3178,12710902
201401,10010000,其他,高中高職,4541,18926720
201401,10010000,其他,其他,3267,12734625
201402,10010000,其他,博士,110,650192
201402,10010000,其他,碩士,701,2696532
201402,10010000,其他,大學,3654,14619300
201402,10010000,其他,專科,2616,10565648
201402,10010000,其他,高中高職,3571,15177148
201402,10010000,其他,其他,2669,10150846
201403,10010000,其他,博士,124,631961
201403,10010000,其他,碩士,860,2945320
201403,10010000,其他,大學,4459,17589469
201403,10010000,其他,專科,3123,11828617
201403,10010000,其他,高中高職,4311,18350177
201403,10010000,其他,其他,3170,12657344
201404,10010000,其他,博士,87,1183556
201404,10010000,其他,碩士,827,3294998
201404,10010000,其他,大學,4325,16364239
201404,10010000,其他,專科,3186,11750821
201404,10010000,其他,高中高職,4335,18496578
201404,10010000,其他,其他,3176,12145194
201405,10010000,其他,博士,91,493504
201405,10010000,其他,碩士,860,3563718
201405,10010000,其他,大學,4611,17927380
201405,10010000,其他,專科,3509,12581764
201405,10010000,其他,高中高職,4785,18578725
201405,10010000,其他,其他,3580,13970120
201406,10010000,其他,博士,129,920526
201406,10010000,其他,碩士,861,3385633
201406,10010000,其他,大學,4565,17699374
201406,10010000,其他,專科,3421,12383618
201406,10010000,其他,高中高職,4564,17334726
201406,10010000,其他,其他,3512,12322083
201407,10010000,其他,博士,138,855161
201407,10010000,其他,碩士,954,4042050
201407,10010000,其他,大學,4927,18467165
201407,10010000,其他,專科,3498,12862250
201407,10010000,其他,高中高職,4722,19748872
201407,10010000,其他,其他,3388,12564548
201408,10010000,其他,博士,127,880641
201408,10010000,其他,碩士,995,3589319
201408,10010000,其他,大學,4724,17433218
201408,10010000,其他,專科,3417,11733447
201408,10010000,其他,高中高職,4627,17751693
201408,10010000,其他,其他,3487,12143604
201409,10010000,其他,博士,127,677555
201409,10010000,其他,碩士,830,3121985
201409,10010000,其他,大學,4663,17110137
201409,10010000,其他,專科,3388,13241120
201409,10010000,其他,高中高職,4615,17397317
201409,10010000,其他,其他,3451,13302284
201410,10010000,其他,博士,131,526103
201410,10010000,其他,碩士,949,4812672
201410,10010000,其他,大學,5001,20745685
201410,10010000,其他,專科,3552,13360131
201410,10010000,其他,高中高職,4753,20942445
201410,10010000,其他,其他,3471,12632154
201411,10010000,其他,博士,138,1057307
201411,10010000,其他,碩士,861,4165651
201411,10010000,其他,大學,4994,20774109
201411,10010000,其他,專科,3509,12715716
201411,10010000,其他,高中高職,5020,20862258
201411,10010000,其他,其他,3498,13391185
201412,10010000,其他,博士,123,536113
201412,10010000,其他,碩士,967,3631201
201412,10010000,其他,大學,5167,20153103
201412,10010000,其他,專科,3867,13284222
201412,10010000,其他,高中高職,5215,20782961
201412,10010000,其他,其他,3913,14658177
201501,10010000,其他,博士,149,415668
201501,10010000,其他,碩士,957,3535784
201501,10010000,其他,大學,5266,21769393
201501,10010000,其他,專科,3774,13813442
201501,10010000,其他,高中高職,5054,20359938
201501,10010000,其他,其他,3697,14403146
201502,10010000,其他,博士,145,709810
201502,10010000,其他,碩士,926,4003175
201502,10010000,其他,大學,4817,17869438
201502,10010000,其他,專科,3124,11313334
201502,10010000,其他,高中高職,4280,16904560
201502,10010000,其他,其他,3318,11827548
201503,10010000,其他,博士,99,316433
201503,10010000,其他,碩士,846,2964161
201503,10010000,其他,大學,4899,16332391
201503,10010000,其他,專科,3243,10981736
201503,10010000,其他,高中高職,4590,17002764
201503,10010000,其他,其他,3416,11474484
201504,10010000,其他,博士,102,447810
201504,10010000,其他,碩士,868,2860837
201504,10010000,其他,大學,4709,15953833
201504,10010000,其他,專科,3233,11085768
201504,10010000,其他,高中高職,4452,16169305
201504,10010000,其他,其他,3417,11940467
201505,10010000,其他,博士,131,689197
201505,10010000,其他,碩士,933,3177820
201505,10010000,其他,大學,5094,17596210
201505,10010000,其他,專科,3448,11159926
201505,10010000,其他,高中高職,4919,17932087
201505,10010000,其他,其他,3547,11608797
201506,10010000,其他,博士,129,647775
201506,10010000,其他,碩士,949,3386548
201506,10010000,其他,大學,5096,18390498
201506,10010000,其他,專科,3433,12269965
201506,10010000,其他,高中高職,4834,18222324
201506,10010000,其他,其他,3623,11725802
201507,10010000,其他,博士,128,509227
201507,10010000,其他,碩士,970,3892778
201507,10010000,其他,大學,5161,17133400
201507,10010000,其他,專科,3513,11766815
201507,10010000,其他,高中高職,4929,17841143
201507,10010000,其他,其他,3610,13020587
201508,10010000,其他,博士,146,502688
201508,10010000,其他,碩士,1050,3761287
201508,10010000,其他,大學,5379,17704217
201508,10010000,其他,專科,3611,10554444
201508,10010000,其他,高中高職,5137,17463527
201508,10010000,其他,其他,3866,12054388
201509,10010000,其他,博士,122,529549
201509,10010000,其他,碩士,942,2941161
