年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10018000,衣,博士,141,332583
201401,10018000,衣,碩士,2047,6417760
201401,10018000,衣,大學,7674,24090475
201401,10018000,衣,專科,3793,12405067
201401,10018000,衣,高中高職,6223,21262011
201401,10018000,衣,其他,5114,16236905
201402,10018000,衣,博士,103,283715
201402,10018000,衣,碩士,1350,3975742
201402,10018000,衣,大學,4831,14201204
201402,10018000,衣,專科,2206,6716613
201402,10018000,衣,高中高職,3214,10007776
201402,10018000,衣,其他,2923,8686300
201403,10018000,衣,博士,109,287490
201403,10018000,衣,碩士,1475,4450260
201403,10018000,衣,大學,5194,14772178
201403,10018000,衣,專科,2239,6629564
201403,10018000,衣,高中高職,3462,10843662
201403,10018000,衣,其他,3121,8726454
201404,10018000,衣,博士,78,206380
201404,10018000,衣,碩士,1522,4250385
201404,10018000,衣,大學,5385,14895624
201404,10018000,衣,專科,2397,6979849
201404,10018000,衣,高中高職,3613,9959083
201404,10018000,衣,其他,3270,9969453
201405,10018000,衣,博士,143,351912
201405,10018000,衣,碩士,1828,5219494
201405,10018000,衣,大學,6165,16327172
201405,10018000,衣,專科,2897,8208429
201405,10018000,衣,高中高職,4300,13107222
201405,10018000,衣,其他,3692,10903583
201406,10018000,衣,博士,132,311421
201406,10018000,衣,碩士,1819,4716771
201406,10018000,衣,大學,6030,15086674
201406,10018000,衣,專科,2649,7344827
201406,10018000,衣,高中高職,3992,11326542
201406,10018000,衣,其他,3706,9367128
201407,10018000,衣,博士,147,441832
201407,10018000,衣,碩士,1945,5195877
201407,10018000,衣,大學,6419,16377862
201407,10018000,衣,專科,2865,7290709
201407,10018000,衣,高中高職,4224,11633848
201407,10018000,衣,其他,3805,9387426
201408,10018000,衣,博士,152,299875
201408,10018000,衣,碩士,2068,5265209
201408,10018000,衣,大學,6564,15735758
201408,10018000,衣,專科,2929,7595990
201408,10018000,衣,高中高職,4377,11896021
201408,10018000,衣,其他,3924,9501089
201409,10018000,衣,博士,122,296948
201409,10018000,衣,碩士,1682,4909548
201409,10018000,衣,大學,5658,14877383
201409,10018000,衣,專科,2520,7230819
201409,10018000,衣,高中高職,3818,10634999
201409,10018000,衣,其他,3378,9084885
201410,10018000,衣,博士,124,233534
201410,10018000,衣,碩士,1741,5047278
201410,10018000,衣,大學,6039,16464181
201410,10018000,衣,專科,2363,7078733
201410,10018000,衣,高中高職,3770,11655025
201410,10018000,衣,其他,3568,9750651
201411,10018000,衣,博士,117,399999
201411,10018000,衣,碩士,1807,5523342
201411,10018000,衣,大學,6000,17768137
201411,10018000,衣,專科,2414,7720300
201411,10018000,衣,高中高職,3818,11834436
201411,10018000,衣,其他,3539,11515382
201412,10018000,衣,博士,138,422748
201412,10018000,衣,碩士,1790,5481495
201412,10018000,衣,大學,6288,19180811
201412,10018000,衣,專科,2677,8619667
201412,10018000,衣,高中高職,4188,14108617
201412,10018000,衣,其他,3800,12001949
201501,10018000,衣,博士,150,354955
201501,10018000,衣,碩士,1850,5723734
201501,10018000,衣,大學,6304,19711701
201501,10018000,衣,專科,2791,9280556
201501,10018000,衣,高中高職,4291,14760443
201501,10018000,衣,其他,3676,12106303
201502,10018000,衣,博士,141,336947
201502,10018000,衣,碩士,1986,5913769
201502,10018000,衣,大學,6944,19966553
201502,10018000,衣,專科,3278,9862961
201502,10018000,衣,高中高職,5151,16301614
201502,10018000,衣,其他,4128,12469502
201503,10018000,衣,博士,128,293096
201503,10018000,衣,碩士,1627,4248575
201503,10018000,衣,大學,5571,15187928
201503,10018000,衣,專科,2382,7239667
201503,10018000,衣,高中高職,3414,10367387
201503,10018000,衣,其他,3326,9436085
201504,10018000,衣,博士,147,299180
201504,10018000,衣,碩士,1728,4260061
201504,10018000,衣,大學,5682,15026542
201504,10018000,衣,專科,2391,7030525
201504,10018000,衣,高中高職,3351,10371193
201504,10018000,衣,其他,3211,8393964
201505,10018000,衣,博士,125,315420
201505,10018000,衣,碩士,1583,4628843
201505,10018000,衣,大學,5597,15700848
201505,10018000,衣,專科,2389,7556028
201505,10018000,衣,高中高職,3566,11959207
201505,10018000,衣,其他,3327,10100368
201506,10018000,衣,博士,94,274155
201506,10018000,衣,碩士,1512,4406603
201506,10018000,衣,大學,5163,14482308
201506,10018000,衣,專科,2152,6523418
201506,10018000,衣,高中高職,3128,9574546
201506,10018000,衣,其他,3060,9101531
