年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10018000,住,博士,455,3692166
201401,10018000,住,碩士,4332,30249490
201401,10018000,住,大學,8751,60941693
201401,10018000,住,專科,2882,21359964
201401,10018000,住,高中高職,3064,26095167
201401,10018000,住,其他,4401,32205472
201402,10018000,住,博士,423,2546916
201402,10018000,住,碩士,3631,20117564
201402,10018000,住,大學,7232,45055301
201402,10018000,住,專科,2594,16068504
201402,10018000,住,高中高職,2779,19177651
201402,10018000,住,其他,3880,23632792
201403,10018000,住,博士,378,1634858
201403,10018000,住,碩士,3734,23862924
201403,10018000,住,大學,7353,45124681
201403,10018000,住,專科,2400,15996105
201403,10018000,住,高中高職,2721,20994507
201403,10018000,住,其他,3814,23881231
201404,10018000,住,博士,403,1979098
201404,10018000,住,碩士,3568,23551832
201404,10018000,住,大學,7501,49688452
201404,10018000,住,專科,2570,18182111
201404,10018000,住,高中高職,2724,23040758
201404,10018000,住,其他,3773,27058304
201405,10018000,住,博士,412,2620041
201405,10018000,住,碩士,3997,23523094
201405,10018000,住,大學,7759,46759147
201405,10018000,住,專科,2608,16734350
201405,10018000,住,高中高職,2883,19990602
201405,10018000,住,其他,3988,24071043
201406,10018000,住,博士,417,2071982
201406,10018000,住,碩士,3861,25627561
201406,10018000,住,大學,8095,50351357
201406,10018000,住,專科,2869,20517458
201406,10018000,住,高中高職,3062,24141561
201406,10018000,住,其他,4289,28516898
201407,10018000,住,博士,456,3079744
201407,10018000,住,碩士,4401,28356561
201407,10018000,住,大學,8956,60893464
201407,10018000,住,專科,3279,22658951
201407,10018000,住,高中高職,3309,26256287
201407,10018000,住,其他,4483,30139960
201408,10018000,住,博士,461,2493968
201408,10018000,住,碩士,4378,27639332
201408,10018000,住,大學,8962,52988296
201408,10018000,住,專科,3142,20454730
201408,10018000,住,高中高職,3279,23172600
201408,10018000,住,其他,4575,29623791
201409,10018000,住,博士,413,2206146
201409,10018000,住,碩士,3681,23530482
201409,10018000,住,大學,7429,47197930
201409,10018000,住,專科,2462,15497323
201409,10018000,住,高中高職,2740,20841440
201409,10018000,住,其他,3844,24703701
201410,10018000,住,博士,375,1932143
201410,10018000,住,碩士,3560,20447451
201410,10018000,住,大學,7625,45861329
201410,10018000,住,專科,2576,17138958
201410,10018000,住,高中高職,2703,20514784
201410,10018000,住,其他,3945,25038775
201411,10018000,住,博士,432,2174069
201411,10018000,住,碩士,3976,27513790
201411,10018000,住,大學,8079,53922493
201411,10018000,住,專科,2688,17661076
201411,10018000,住,高中高職,2808,23355450
201411,10018000,住,其他,4060,27053854
201412,10018000,住,博士,470,3201262
201412,10018000,住,碩士,4036,29241526
201412,10018000,住,大學,7732,53764394
201412,10018000,住,專科,2549,17365481
201412,10018000,住,高中高職,3058,23751266
201412,10018000,住,其他,4046,28070730
201501,10018000,住,博士,423,3122928
201501,10018000,住,碩士,4143,29026445
201501,10018000,住,大學,8550,59078844
201501,10018000,住,專科,2893,21626423
201501,10018000,住,高中高職,3141,24225556
201501,10018000,住,其他,4717,33563242
201502,10018000,住,博士,420,2209804
201502,10018000,住,碩士,3858,23909896
201502,10018000,住,大學,8028,52084314
201502,10018000,住,專科,2768,19154850
201502,10018000,住,高中高職,2984,21847782
201502,10018000,住,其他,4376,30486273
201503,10018000,住,博士,351,1714874
201503,10018000,住,碩士,3530,22377564
201503,10018000,住,大學,7411,47203030
201503,10018000,住,專科,2473,16076526
201503,10018000,住,高中高職,2781,20118973
201503,10018000,住,其他,3893,25559656
201504,10018000,住,博士,391,1863359
201504,10018000,住,碩士,3827,26742585
201504,10018000,住,大學,7970,53685893
201504,10018000,住,專科,2627,16785947
201504,10018000,住,高中高職,2973,24674917
201504,10018000,住,其他,4010,26976376
201505,10018000,住,博士,424,2268897
201505,10018000,住,碩士,4110,27764241
201505,10018000,住,大學,8406,54092341
201505,10018000,住,專科,2801,17409491
201505,10018000,住,高中高職,3110,22637741
201505,10018000,住,其他,4276,26281891
201506,10018000,住,博士,389,2676944
201506,10018000,住,碩士,4028,25338808
201506,10018000,住,大學,8501,55672536
201506,10018000,住,專科,3038,19109764
201506,10018000,住,高中高職,3305,26166030
201506,10018000,住,其他,4285,27650359
201507,10018000,住,博士,516,3501588
201507,10018000,住,碩士,4228,29572760
201507,10018000,住,大學,9371,56096293
201507,10018000,住,專科,3242,19608092
201507,10018000,住,高中高職,3596,25753277
201507,10018000,住,其他,4776,31418946
201508,10018000,住,博士,445,2992490
201508,10018000,住,碩士,4380,29907314
201508,10018000,住,大學,9072,50182503
201508,10018000,住,專科,3081,19129782
201508,10018000,住,高中高職,3326,21532309
201508,10018000,住,其他,4681,26233630
201509,10018000,住,博士,390,1911409
201509,10018000,住,碩士,3904,24944106
201509,10018000,住,大學,8051,48209761
201509,10018000,住,專科,2711,15948699
201509,10018000,住,高中高職,2900,20629048
201509,10018000,住,其他,4055,26549547
201510,10018000,住,博士,420,3026912
201510,10018000,住,碩士,3813,24945624
201510,10018000,住,大學,7971,52815079
201510,10018000,住,專科,2631,15862024
201510,10018000,住,高中高職,3023,19814180
201510,10018000,住,其他,4165,28996692
201511,10018000,住,博士,393,2779742
201511,10018000,住,碩士,4063,30584800
201511,10018000,住,大學,8810,61321579
201511,10018000,住,專科,2822,19250175
201511,10018000,住,高中高職,3076,22116786
201511,10018000,住,其他,4323,29377116
201512,10018000,住,博士,491,2591501
201512,10018000,住,碩士,4599,34788431
201512,10018000,住,大學,8888,55093133
201512,10018000,住,專科,2972,18922034
201512,10018000,住,高中高職,3329,22536251
201512,10018000,住,其他,4620,28377483
201601,10018000,住,博士,1335,5879833
201601,10018000,住,碩士,12030,55666255
201601,10018000,住,大學,22714,111754528
201601,10018000,住,專科,7114,39166368
201601,10018000,住,高中高職,7643,44099881
201601,10018000,住,其他,10778,56469024
201602,10018000,住,博士,1187,4733037
201602,10018000,住,碩士,10944,46341513
201602,10018000,住,大學,20803,89547680
201602,10018000,住,專科,6730,30778107
201602,10018000,住,高中高職,6975,36292185
201602,10018000,住,其他,9747,46943929
201603,10018000,住,博士,1064,4135748
201603,10018000,住,碩士,9752,39028862
201603,10018000,住,大學,18717,71855730
201603,10018000,住,專科,5805,23945953
201603,10018000,住,高中高職,6069,27636533
201603,10018000,住,其他,8365,33462768
201604,10018000,住,博士,1106,4351955
201604,10018000,住,碩士,9909,38857560
201604,10018000,住,大學,19605,82886831
201604,10018000,住,專科,5842,27512321
201604,10018000,住,高中高職,6230,31107795
201604,10018000,住,其他,8253,39846263
201605,10018000,住,博士,1059,4457218
201605,10018000,住,碩士,10146,43001676
201605,10018000,住,大學,19589,81815491
201605,10018000,住,專科,5708,25853822
201605,10018000,住,高中高職,6173,31424292
201605,10018000,住,其他,8213,35674357
201606,10018000,住,博士,1097,5247525
201606,10018000,住,碩士,11104,44473857
201606,10018000,住,大學,21381,91067567
201606,10018000,住,專科,6694,30567322
201606,10018000,住,高中高職,6779,34718010
201606,10018000,住,其他,10002,47149009
201607,10018000,住,博士,1248,5742904
201607,10018000,住,碩士,11527,47786880
201607,10018000,住,大學,22185,91734664
201607,10018000,住,專科,6827,31755671
201607,10018000,住,高中高職,7233,35490079
201607,10018000,住,其他,9751,42366263
201608,10018000,住,博士,1231,5699581
201608,10018000,住,碩士,10817,39537454
201608,10018000,住,大學,21673,87304574
201608,10018000,住,專科,6561,30483694
201608,10018000,住,高中高職,6853,32677550
201608,10018000,住,其他,9466,37933013
201609,10018000,住,博士,1166,3962967
201609,10018000,住,碩士,10465,42065830
201609,10018000,住,大學,19528,81790204
201609,10018000,住,專科,5866,27034197
201609,10018000,住,高中高職,6250,30492792
201609,10018000,住,其他,8682,38080743
201610,10018000,住,博士,1307,5228549
201610,10018000,住,碩士,11534,48035754
201610,10018000,住,大學,22520,93828311
201610,10018000,住,專科,6665,29834237
201610,10018000,住,高中高職,7005,35257854
201610,10018000,住,其他,9543,40186092
201611,10018000,住,博士,1230,4431025
201611,10018000,住,碩士,11067,51679165
201611,10018000,住,大學,21362,94845401
201611,10018000,住,專科,6692,30878646
201611,10018000,住,高中高職,6691,34537991
201611,10018000,住,其他,9831,49146744
201612,10018000,住,博士,1309,6020555
201612,10018000,住,碩士,11893,53618374
201612,10018000,住,大學,22070,98294916
201612,10018000,住,專科,6654,30361024
201612,10018000,住,高中高職,6953,36078505
201612,10018000,住,其他,10157,52274199
201701,10018000,住,博士,1379,7209675
201701,10018000,住,碩士,11410,53989983
201701,10018000,住,大學,21381,105632304
201701,10018000,住,專科,6952,38227418
201701,10018000,住,高中高職,7036,37648776
201701,10018000,住,其他,10188,57368368
201702,10018000,住,博士,1216,4856625
201702,10018000,住,碩士,10997,43032551
201702,10018000,住,大學,19965,78236884
201702,10018000,住,專科,5910,26440326
201702,10018000,住,高中高職,6190,27699229
201702,10018000,住,其他,9462,37863572
201703,10018000,住,博士,1158,4173492
201703,10018000,住,碩士,9952,36554109
201703,10018000,住,大學,19230,77110302
201703,10018000,住,專科,6082,27004306
201703,10018000,住,高中高職,6271,29332991
201703,10018000,住,其他,9080,39646971
201704,10018000,住,博士,1171,4773932
201704,10018000,住,碩士,10676,46994987
201704,10018000,住,大學,20717,94692420
201704,10018000,住,專科,6235,29069468
201704,10018000,住,高中高職,6663,37012924
201704,10018000,住,其他,9382,44988441
201705,10018000,住,博士,1169,3869549
201705,10018000,住,碩士,10652,45713280
201705,10018000,住,大學,20735,87266010
201705,10018000,住,專科,6298,31025739
201705,10018000,住,高中高職,6903,36797602
201705,10018000,住,其他,9538,42309817
201706,10018000,住,博士,1160,4024282
201706,10018000,住,碩士,9768,39459205
