年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10018000,其他,博士,915,5279424
201401,10018000,其他,碩士,8658,49451503
201401,10018000,其他,大學,22367,112844141
201401,10018000,其他,專科,8536,40817587
201401,10018000,其他,高中高職,10867,55272683
201401,10018000,其他,其他,11359,58755688
201402,10018000,其他,博士,622,3583344
201402,10018000,其他,碩士,6617,34233606
201402,10018000,其他,大學,17534,83273358
201402,10018000,其他,專科,6262,30117881
201402,10018000,其他,高中高職,8414,42037960
201402,10018000,其他,其他,8837,39779489
201403,10018000,其他,博士,743,4707964
201403,10018000,其他,碩士,7580,41228282
201403,10018000,其他,大學,19639,93892948
201403,10018000,其他,專科,7478,35459886
201403,10018000,其他,高中高職,9568,47667375
201403,10018000,其他,其他,10056,47110002
201404,10018000,其他,博士,661,3629969
201404,10018000,其他,碩士,7049,42754228
201404,10018000,其他,大學,18757,101110863
201404,10018000,其他,專科,6980,35488806
201404,10018000,其他,高中高職,9021,45219994
201404,10018000,其他,其他,9435,43984716
201405,10018000,其他,博士,758,4817139
201405,10018000,其他,碩士,7394,40374019
201405,10018000,其他,大學,19297,96147152
201405,10018000,其他,專科,7325,37353256
201405,10018000,其他,高中高職,9445,51029936
201405,10018000,其他,其他,9796,48232919
201406,10018000,其他,博士,724,4609078
201406,10018000,其他,碩士,7688,45257128
201406,10018000,其他,大學,19280,94781321
201406,10018000,其他,專科,7495,32451603
201406,10018000,其他,高中高職,9546,46576235
201406,10018000,其他,其他,9979,45064552
201407,10018000,其他,博士,791,4716269
201407,10018000,其他,碩士,7660,42144389
201407,10018000,其他,大學,19890,94488475
201407,10018000,其他,專科,7636,37944692
201407,10018000,其他,高中高職,9921,47953803
201407,10018000,其他,其他,9996,44539433
201408,10018000,其他,博士,757,4021629
201408,10018000,其他,碩士,7757,38212484
201408,10018000,其他,大學,19225,83707448
201408,10018000,其他,專科,7091,32426752
201408,10018000,其他,高中高職,8979,44868950
201408,10018000,其他,其他,9521,40435590
201409,10018000,其他,博士,699,4370160
201409,10018000,其他,碩士,7385,41068622
201409,10018000,其他,大學,18868,92517722
201409,10018000,其他,專科,6781,34185205
201409,10018000,其他,高中高職,8641,45210164
201409,10018000,其他,其他,9338,44864785
201410,10018000,其他,博士,721,4381782
201410,10018000,其他,碩士,7900,45835297
201410,10018000,其他,大學,19946,109334490
201410,10018000,其他,專科,7067,33998558
201410,10018000,其他,高中高職,9524,51246946
201410,10018000,其他,其他,9780,47752842
201411,10018000,其他,博士,695,3913310
201411,10018000,其他,碩士,7559,42900271
201411,10018000,其他,大學,18989,100249776
201411,10018000,其他,專科,6472,30836625
201411,10018000,其他,高中高職,8932,47892493
201411,10018000,其他,其他,9020,43848982
201412,10018000,其他,博士,765,4814884
201412,10018000,其他,碩士,8781,52579518
201412,10018000,其他,大學,21697,116815736
201412,10018000,其他,專科,7834,40097744
201412,10018000,其他,高中高職,9747,51917405
201412,10018000,其他,其他,10287,51741261
201501,10018000,其他,博士,673,3934004
201501,10018000,其他,碩士,7478,44614961
201501,10018000,其他,大學,19255,101124491
201501,10018000,其他,專科,6941,36473336
201501,10018000,其他,高中高職,9288,50862547
201501,10018000,其他,其他,9258,47704068
201502,10018000,其他,博士,601,3286401
201502,10018000,其他,碩士,6895,38561829
201502,10018000,其他,大學,16672,88870160
201502,10018000,其他,專科,6040,30016662
201502,10018000,其他,高中高職,8016,43110450
201502,10018000,其他,其他,7990,39053860
201503,10018000,其他,博士,696,3611250
201503,10018000,其他,碩士,7347,41187627
201503,10018000,其他,大學,18252,91626242
201503,10018000,其他,專科,6723,32867187
201503,10018000,其他,高中高職,8693,47162593
201503,10018000,其他,其他,8940,44248963
201504,10018000,其他,博士,617,3476946
201504,10018000,其他,碩士,7021,42586103
201504,10018000,其他,大學,17381,89515897
201504,10018000,其他,專科,6391,33116652
201504,10018000,其他,高中高職,8358,44540678
201504,10018000,其他,其他,8519,43279266
201505,10018000,其他,博士,724,4305956
201505,10018000,其他,碩士,7629,41313392
201505,10018000,其他,大學,18628,95461795
201505,10018000,其他,專科,6755,33558976
201505,10018000,其他,高中高職,8701,45465685
201505,10018000,其他,其他,9142,43485808
201506,10018000,其他,博士,750,4793874
201506,10018000,其他,碩士,7486,43355386
201506,10018000,其他,大學,18772,93931241
201506,10018000,其他,專科,6951,35024950
201506,10018000,其他,高中高職,8895,46729620
201506,10018000,其他,其他,9096,46435473
201507,10018000,其他,博士,804,4899837
201507,10018000,其他,碩士,7574,40880001
201507,10018000,其他,大學,19435,96942790
201507,10018000,其他,專科,6926,36134392
201507,10018000,其他,高中高職,9113,48717470
201507,10018000,其他,其他,9396,43922070
201508,10018000,其他,博士,728,3931869
201508,10018000,其他,碩士,7951,37852005
201508,10018000,其他,大學,19257,88909741
201508,10018000,其他,專科,6953,33912971
201508,10018000,其他,高中高職,9085,43772470
201508,10018000,其他,其他,9352,43142007
201509,10018000,其他,博士,737,4361304
201509,10018000,其他,碩士,7433,38845375
201509,10018000,其他,大學,18379,85277431
201509,10018000,其他,專科,6594,31843310
201509,10018000,其他,高中高職,8628,43192086
201509,10018000,其他,其他,9162,41861993
201510,10018000,其他,博士,765,4501491
201510,10018000,其他,碩士,8438,50853834
201510,10018000,其他,大學,20592,115947264
201510,10018000,其他,專科,7088,36559395
201510,10018000,其他,高中高職,9537,56734310
201510,10018000,其他,其他,9794,50791250
201511,10018000,其他,博士,746,4965970
201511,10018000,其他,碩士,7510,45330656
201511,10018000,其他,大學,18292,100106374
201511,10018000,其他,專科,6436,33439093
201511,10018000,其他,高中高職,8427,46824285
201511,10018000,其他,其他,8702,43877656
201512,10018000,其他,博士,944,4836730
201512,10018000,其他,碩士,8710,51808293
201512,10018000,其他,大學,21285,117247564
201512,10018000,其他,專科,7652,39427377
201512,10018000,其他,高中高職,9336,55013108
201512,10018000,其他,其他,10094,51905062
201601,10018000,其他,博士,1277,8168123
201601,10018000,其他,碩士,12776,70090722
201601,10018000,其他,大學,30278,158260839
201601,10018000,其他,專科,10199,55304306
201601,10018000,其他,高中高職,14063,78154117
201601,10018000,其他,其他,14658,76575106
201602,10018000,其他,博士,1076,5802696
201602,10018000,其他,碩士,11065,58843574
201602,10018000,其他,大學,25947,128404787
201602,10018000,其他,專科,8573,47251130
201602,10018000,其他,高中高職,11585,62578237
201602,10018000,其他,其他,12435,61655030
201603,10018000,其他,博士,1183,8037489
201603,10018000,其他,碩士,12267,66535884
201603,10018000,其他,大學,29345,142641258
201603,10018000,其他,專科,9398,49529200
201603,10018000,其他,高中高職,13374,70904778
201603,10018000,其他,其他,13918,67250734
201604,10018000,其他,博士,1165,6415507
201604,10018000,其他,碩士,12110,64120741
201604,10018000,其他,大學,28266,141055270
201604,10018000,其他,專科,9270,51641102
201604,10018000,其他,高中高職,12516,66039763
201604,10018000,其他,其他,13576,66234189
201605,10018000,其他,博士,1379,7559354
201605,10018000,其他,碩士,13969,66682897
201605,10018000,其他,大學,32270,143602280
201605,10018000,其他,專科,10112,53410093
201605,10018000,其他,高中高職,13970,72918662
201605,10018000,其他,其他,15384,71846088
201606,10018000,其他,博士,1541,8618006
201606,10018000,其他,碩士,16085,73085230
201606,10018000,其他,大學,36762,152653464
201606,10018000,其他,專科,11514,56305394
201606,10018000,其他,高中高職,15860,73995316
201606,10018000,其他,其他,18123,76627444
201607,10018000,其他,博士,1545,8270970
201607,10018000,其他,碩士,16708,74072881
201607,10018000,其他,大學,37528,152866022
201607,10018000,其他,專科,11375,53574450
201607,10018000,其他,高中高職,15748,71861027
201607,10018000,其他,其他,17486,66874778
201608,10018000,其他,博士,1645,7936831
201608,10018000,其他,碩士,17072,74187800
201608,10018000,其他,大學,39277,150448672
201608,10018000,其他,專科,11937,55704538
201608,10018000,其他,高中高職,16453,72387649
201608,10018000,其他,其他,18701,75844298
201609,10018000,其他,博士,1510,7158750
201609,10018000,其他,碩士,16037,69330722
201609,10018000,其他,大學,36209,151448886
201609,10018000,其他,專科,10622,51080544
201609,10018000,其他,高中高職,14688,68960294
201609,10018000,其他,其他,17357,71278762
201610,10018000,其他,博士,1895,8754173
201610,10018000,其他,碩士,19589,80326736
201610,10018000,其他,大學,44230,165017924
201610,10018000,其他,專科,13025,53802810
201610,10018000,其他,高中高職,17548,81179943
201610,10018000,其他,其他,20623,78441663
