年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10004000,衣,博士,67,221914
201401,10004000,衣,碩士,1150,3222397
201401,10004000,衣,大學,4450,14491875
201401,10004000,衣,專科,2378,8988603
201401,10004000,衣,高中高職,3607,13336696
201401,10004000,衣,其他,3083,10231236
201402,10004000,衣,博士,51,164759
201402,10004000,衣,碩士,820,2476706
201402,10004000,衣,大學,3014,8795431
201402,10004000,衣,專科,1410,4694786
201402,10004000,衣,高中高職,2089,7207681
201402,10004000,衣,其他,1979,6009043
201403,10004000,衣,博士,65,197611
201403,10004000,衣,碩士,838,2515960
201403,10004000,衣,大學,3431,10009742
201403,10004000,衣,專科,1589,5489332
201403,10004000,衣,高中高職,2375,7869038
201403,10004000,衣,其他,2180,6455299
201404,10004000,衣,博士,54,141169
201404,10004000,衣,碩士,934,2792843
201404,10004000,衣,大學,3521,10278136
201404,10004000,衣,專科,1604,5299099
201404,10004000,衣,高中高職,2434,8456110
201404,10004000,衣,其他,2182,6403548
201405,10004000,衣,博士,71,168503
201405,10004000,衣,碩士,1065,2921624
201405,10004000,衣,大學,3991,11373827
201405,10004000,衣,專科,1921,6060929
201405,10004000,衣,高中高職,2949,9716164
201405,10004000,衣,其他,2536,7494021
201406,10004000,衣,博士,96,277848
201406,10004000,衣,碩士,913,2406766
201406,10004000,衣,大學,3613,10146736
201406,10004000,衣,專科,1634,5233033
201406,10004000,衣,高中高職,2530,8256062
201406,10004000,衣,其他,2269,6726448
201407,10004000,衣,博士,64,183335
201407,10004000,衣,碩士,953,2744645
201407,10004000,衣,大學,3681,9856384
201407,10004000,衣,專科,1763,5650849
201407,10004000,衣,高中高職,2458,7725627
201407,10004000,衣,其他,2210,5976999
201408,10004000,衣,博士,90,190215
201408,10004000,衣,碩士,1151,2891757
201408,10004000,衣,大學,4080,10141901
201408,10004000,衣,專科,1825,4927873
201408,10004000,衣,高中高職,2691,7990057
201408,10004000,衣,其他,2400,6155299
201409,10004000,衣,博士,70,234063
201409,10004000,衣,碩士,991,2826112
201409,10004000,衣,大學,3687,10989562
201409,10004000,衣,專科,1665,5425269
201409,10004000,衣,高中高職,2450,8142072
201409,10004000,衣,其他,2345,7064727
201410,10004000,衣,博士,62,171040
201410,10004000,衣,碩士,939,2755133
201410,10004000,衣,大學,3666,10107017
201410,10004000,衣,專科,1596,4964499
201410,10004000,衣,高中高職,2452,8199580
201410,10004000,衣,其他,2289,6940819
201411,10004000,衣,博士,71,172230
201411,10004000,衣,碩士,1028,2925794
201411,10004000,衣,大學,3363,10335167
201411,10004000,衣,專科,1521,5500344
201411,10004000,衣,高中高職,2238,8680140
201411,10004000,衣,其他,2074,6859210
201412,10004000,衣,博士,60,153211
201412,10004000,衣,碩士,1041,2952853
201412,10004000,衣,大學,3814,11647644
201412,10004000,衣,專科,1798,6579769
201412,10004000,衣,高中高職,2790,10083999
201412,10004000,衣,其他,2385,7481193
201501,10004000,衣,博士,74,215820
201501,10004000,衣,碩士,927,2726721
201501,10004000,衣,大學,3483,11169245
201501,10004000,衣,專科,1632,6124080
201501,10004000,衣,高中高職,2434,9624142
201501,10004000,衣,其他,2195,7634950
201502,10004000,衣,博士,59,159027
201502,10004000,衣,碩士,1070,3212569
201502,10004000,衣,大學,3952,12015084
201502,10004000,衣,專科,1986,7010371
201502,10004000,衣,高中高職,2856,9962151
201502,10004000,衣,其他,2499,7823603
201503,10004000,衣,博士,82,205062
201503,10004000,衣,碩士,1072,3039926
201503,10004000,衣,大學,3681,10849277
201503,10004000,衣,專科,1567,5321449
201503,10004000,衣,高中高職,2349,7796137
201503,10004000,衣,其他,2238,7029816
201504,10004000,衣,博士,55,151198
201504,10004000,衣,碩士,927,2445771
201504,10004000,衣,大學,3287,9456104
201504,10004000,衣,專科,1460,4690399
201504,10004000,衣,高中高職,2239,7957652
201504,10004000,衣,其他,1983,6181605
201505,10004000,衣,博士,68,213109
201505,10004000,衣,碩士,918,2751804
201505,10004000,衣,大學,3278,10541285
201505,10004000,衣,專科,1529,5012502
201505,10004000,衣,高中高職,2343,8677315
201505,10004000,衣,其他,2043,6406671
201506,10004000,衣,博士,55,153937
201506,10004000,衣,碩士,823,2380437
201506,10004000,衣,大學,2859,8916043
201506,10004000,衣,專科,1237,4328761
201506,10004000,衣,高中高職,1977,7256044
201506,10004000,衣,其他,1813,5496390
201507,10004000,衣,博士,68,164690
201507,10004000,衣,碩士,824,2650488
201507,10004000,衣,大學,3033,8994886
201507,10004000,衣,專科,1355,4621876
201507,10004000,衣,高中高職,1965,7074673
201507,10004000,衣,其他,1950,5897968
201508,10004000,衣,博士,65,206493
201508,10004000,衣,碩士,921,2534047
201508,10004000,衣,大學,3067,9120645
201508,10004000,衣,專科,1351,4509584
201508,10004000,衣,高中高職,1935,6598119
201508,10004000,衣,其他,1914,5600196
201509,10004000,衣,博士,65,168918
201509,10004000,衣,碩士,838,2565780
201509,10004000,衣,大學,3013,9547235
201509,10004000,衣,專科,1320,4568560
201509,10004000,衣,高中高職,1938,7151115
201509,10004000,衣,其他,1840,5629265
201510,10004000,衣,博士,69,210962
201510,10004000,衣,碩士,921,3095581
201510,10004000,衣,大學,2950,10218814
201510,10004000,衣,專科,1254,4537956
201510,10004000,衣,高中高職,2087,8215692
201510,10004000,衣,其他,1840,6534299
201511,10004000,衣,博士,52,210606
201511,10004000,衣,碩士,858,2515033
201511,10004000,衣,大學,2794,9524465
