年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10004000,百貨,博士,19,51808
201401,10004000,百貨,碩士,208,480236
201401,10004000,百貨,大學,947,2779627
201401,10004000,百貨,專科,397,1065586
201401,10004000,百貨,高中高職,471,1718979
201401,10004000,百貨,其他,281,1605177
201402,10004000,百貨,博士,10,24160
201402,10004000,百貨,碩士,190,1210488
201402,10004000,百貨,大學,756,2379990
201402,10004000,百貨,專科,327,946573
201402,10004000,百貨,高中高職,303,705836
201402,10004000,百貨,其他,219,987458
201403,10004000,百貨,博士,10,50830
201403,10004000,百貨,碩士,220,802624
201403,10004000,百貨,大學,771,1317757
201403,10004000,百貨,專科,359,431675
201403,10004000,百貨,高中高職,351,531749
201403,10004000,百貨,其他,196,634390
201404,10004000,百貨,博士,7,13916
201404,10004000,百貨,碩士,182,654449
201404,10004000,百貨,大學,800,1529622
201404,10004000,百貨,專科,334,924610
201404,10004000,百貨,高中高職,324,412921
201404,10004000,百貨,其他,187,803004
201405,10004000,百貨,博士,16,98505
201405,10004000,百貨,碩士,240,1497693
201405,10004000,百貨,大學,939,2552664
201405,10004000,百貨,專科,378,1129683
201405,10004000,百貨,高中高職,408,1317714
201405,10004000,百貨,其他,232,1002886
201406,10004000,百貨,博士,14,145563
201406,10004000,百貨,碩士,266,998491
201406,10004000,百貨,大學,1065,2043386
201406,10004000,百貨,專科,484,1044426
201406,10004000,百貨,高中高職,468,1006909
201406,10004000,百貨,其他,229,583775
201407,10004000,百貨,博士,17,15938
201407,10004000,百貨,碩士,326,1425158
201407,10004000,百貨,大學,1198,3132304
201407,10004000,百貨,專科,494,882741
201407,10004000,百貨,高中高職,472,878217
201407,10004000,百貨,其他,274,1014053
201408,10004000,百貨,博士,47,292034
201408,10004000,百貨,碩士,317,1443447
201408,10004000,百貨,大學,1203,3727131
201408,10004000,百貨,專科,527,1555694
201408,10004000,百貨,高中高職,471,1323759
201408,10004000,百貨,其他,287,1460297
201409,10004000,百貨,博士,7,15718
201409,10004000,百貨,碩士,289,1005699
201409,10004000,百貨,大學,1065,2922276
201409,10004000,百貨,專科,471,1100556
201409,10004000,百貨,高中高職,511,1464928
201409,10004000,百貨,其他,290,1799929
201410,10004000,百貨,博士,20,72736
201410,10004000,百貨,碩士,295,973831
201410,10004000,百貨,大學,1278,2359616
201410,10004000,百貨,專科,575,866370
201410,10004000,百貨,高中高職,556,808442
201410,10004000,百貨,其他,291,1412068
201411,10004000,百貨,博士,18,38161
