年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10004000,其他,博士,253,1732774
201401,10004000,其他,碩士,3026,19674154
201401,10004000,其他,大學,9447,54690148
201401,10004000,其他,專科,4165,23232444
201401,10004000,其他,高中高職,5697,32325841
201401,10004000,其他,其他,4873,26401278
201402,10004000,其他,博士,197,1288797
201402,10004000,其他,碩士,2222,12833217
201402,10004000,其他,大學,7430,44668768
201402,10004000,其他,專科,3199,22665209
201402,10004000,其他,高中高職,4231,31415973
201402,10004000,其他,其他,3499,20736448
201403,10004000,其他,博士,257,1406950
201403,10004000,其他,碩士,2632,15623838
201403,10004000,其他,大學,8718,45503274
201403,10004000,其他,專科,3462,18147413
201403,10004000,其他,高中高職,5085,28275348
201403,10004000,其他,其他,4131,22006981
201404,10004000,其他,博士,209,1225670
201404,10004000,其他,碩士,2433,15309932
201404,10004000,其他,大學,8004,46070714
201404,10004000,其他,專科,3473,19140554
201404,10004000,其他,高中高職,4701,26858570
201404,10004000,其他,其他,3830,20718599
201405,10004000,其他,博士,245,2118508
201405,10004000,其他,碩士,2695,16414061
201405,10004000,其他,大學,8566,44235598
201405,10004000,其他,專科,3790,18905333
201405,10004000,其他,高中高職,5055,28843262
201405,10004000,其他,其他,4202,22814939
201406,10004000,其他,博士,234,1126949
201406,10004000,其他,碩士,2881,20058065
201406,10004000,其他,大學,8971,47359242
201406,10004000,其他,專科,3681,20155218
201406,10004000,其他,高中高職,4870,25718264
201406,10004000,其他,其他,4232,21346195
201407,10004000,其他,博士,729,3611770
201407,10004000,其他,碩士,6614,31079868
201407,10004000,其他,大學,22443,89150372
201407,10004000,其他,專科,13264,52968285
201407,10004000,其他,高中高職,14828,59318133
201407,10004000,其他,其他,9768,39907811
201408,10004000,其他,博士,327,2521334
201408,10004000,其他,碩士,3457,18133836
201408,10004000,其他,大學,10552,50838078
201408,10004000,其他,專科,4787,24166714
201408,10004000,其他,高中高職,5834,31620074
201408,10004000,其他,其他,4888,25253380
201409,10004000,其他,博士,264,2491445
201409,10004000,其他,碩士,3064,19203108
201409,10004000,其他,大學,8993,52155430
201409,10004000,其他,專科,3520,25133101
201409,10004000,其他,高中高職,4879,34141874
201409,10004000,其他,其他,4311,24460890
201410,10004000,其他,博士,252,1329676
201410,10004000,其他,碩士,3003,16299590
201410,10004000,其他,大學,8988,50094447
201410,10004000,其他,專科,3776,19496387
201410,10004000,其他,高中高職,5023,28214473
201410,10004000,其他,其他,4276,22118647
201411,10004000,其他,博士,292,1815527
201411,10004000,其他,碩士,2959,17518176
201411,10004000,其他,大學,8586,45915183
201411,10004000,其他,專科,3347,18253884
201411,10004000,其他,高中高職,4646,26462309
201411,10004000,其他,其他,4159,21483075
201412,10004000,其他,博士,291,1743760
