年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10015000,衣,博士,115,351504
201401,10015000,衣,碩士,1317,3770162
201401,10015000,衣,大學,6338,18747576
201401,10015000,衣,專科,5009,15873871
201401,10015000,衣,高中高職,6207,18896583
201401,10015000,衣,其他,4801,13403419
201402,10015000,衣,博士,101,294324
201402,10015000,衣,碩士,830,2237121
201402,10015000,衣,大學,4218,11177525
201402,10015000,衣,專科,2889,8080419
201402,10015000,衣,高中高職,3432,9585283
201402,10015000,衣,其他,2990,7545766
201403,10015000,衣,博士,85,218257
201403,10015000,衣,碩士,842,2065164
201403,10015000,衣,大學,4257,10757707
201403,10015000,衣,專科,2792,7708369
201403,10015000,衣,高中高職,3697,10068131
201403,10015000,衣,其他,2999,7764293
201404,10015000,衣,博士,77,298204
201404,10015000,衣,碩士,778,2276088
201404,10015000,衣,大學,4150,10479314
201404,10015000,衣,專科,2749,7300275
201404,10015000,衣,高中高職,3553,9791299
201404,10015000,衣,其他,2816,6922435
201405,10015000,衣,博士,106,269719
201405,10015000,衣,碩士,905,2378935
201405,10015000,衣,大學,4738,11863773
201405,10015000,衣,專科,3160,8575916
201405,10015000,衣,高中高職,4271,11815897
201405,10015000,衣,其他,3338,8046148
201406,10015000,衣,博士,98,221472
201406,10015000,衣,碩士,922,2117677
201406,10015000,衣,大學,4637,11251165
201406,10015000,衣,專科,3147,8591739
201406,10015000,衣,高中高職,4055,10729040
201406,10015000,衣,其他,3321,7916096
201407,10015000,衣,博士,119,281838
201407,10015000,衣,碩士,1047,2472119
201407,10015000,衣,大學,5017,11645249
201407,10015000,衣,專科,3423,8436581
201407,10015000,衣,高中高職,4001,10149467
201407,10015000,衣,其他,3191,7387663
201408,10015000,衣,博士,119,263870
201408,10015000,衣,碩士,1220,2992722
201408,10015000,衣,大學,5294,12445457
201408,10015000,衣,專科,3643,9105257
201408,10015000,衣,高中高職,4220,10539093
201408,10015000,衣,其他,3437,7889267
201409,10015000,衣,博士,76,165226
201409,10015000,衣,碩士,720,2190170
201409,10015000,衣,大學,4031,9862262
201409,10015000,衣,專科,2660,7144479
201409,10015000,衣,高中高職,3438,8966821
201409,10015000,衣,其他,2811,6962780
201410,10015000,衣,博士,80,236334
201410,10015000,衣,碩士,941,2336548
201410,10015000,衣,大學,4647,12253986
201410,10015000,衣,專科,3142,8406387
201410,10015000,衣,高中高職,3984,11487057
201410,10015000,衣,其他,3270,8283595
201411,10015000,衣,博士,68,243183
201411,10015000,衣,碩士,808,2388969
201411,10015000,衣,大學,4102,11616623
201411,10015000,衣,專科,2655,7838275
201411,10015000,衣,高中高職,3608,10718878
201411,10015000,衣,其他,2892,7943553
201412,10015000,衣,博士,76,177167
201412,10015000,衣,碩士,966,2964814
201412,10015000,衣,大學,4743,13318553
201412,10015000,衣,專科,3280,9947099
201412,10015000,衣,高中高職,4473,13331162
201412,10015000,衣,其他,3677,10214117
201501,10015000,衣,博士,102,253912
201501,10015000,衣,碩士,1029,3208344
201501,10015000,衣,大學,5076,14315334
201501,10015000,衣,專科,3717,11424805
201501,10015000,衣,高中高職,4628,14303338
201501,10015000,衣,其他,3466,9810426
201502,10015000,衣,博士,113,282362
201502,10015000,衣,碩士,1403,3714192
201502,10015000,衣,大學,6426,17878031
201502,10015000,衣,專科,4404,12377511
201502,10015000,衣,高中高職,5493,16162519
201502,10015000,衣,其他,4513,12045969
201503,10015000,衣,博士,87,269391
201503,10015000,衣,碩士,824,2340045
201503,10015000,衣,大學,4008,10324211
201503,10015000,衣,專科,2725,7783136
201503,10015000,衣,高中高職,3509,9971391
201503,10015000,衣,其他,3070,7929073
201504,10015000,衣,博士,79,170822
201504,10015000,衣,碩士,863,2004327
201504,10015000,衣,大學,4150,11028731
201504,10015000,衣,專科,2694,8013833
201504,10015000,衣,高中高職,3518,9862297
201504,10015000,衣,其他,3018,7559895
201505,10015000,衣,博士,92,225537
201505,10015000,衣,碩士,1102,2839232
201505,10015000,衣,大學,4795,11970563
201505,10015000,衣,專科,3187,8915467
201505,10015000,衣,高中高職,4034,11327620
201505,10015000,衣,其他,3464,8799943
201506,10015000,衣,博士,102,224570
201506,10015000,衣,碩士,1014,2476093
201506,10015000,衣,大學,4901,11847744
201506,10015000,衣,專科,3196,8643774
201506,10015000,衣,高中高職,4218,10795535
201506,10015000,衣,其他,3457,8542109
201507,10015000,衣,博士,115,270406
201507,10015000,衣,碩士,1196,2796994
201507,10015000,衣,大學,5347,12903085
201507,10015000,衣,專科,3272,8154513
201507,10015000,衣,高中高職,4108,10301024
201507,10015000,衣,其他,3514,8004161
201508,10015000,衣,博士,102,239533
201508,10015000,衣,碩士,1092,2829145
201508,10015000,衣,大學,5092,11778825
201508,10015000,衣,專科,3318,8272786
201508,10015000,衣,高中高職,3987,9703108
201508,10015000,衣,其他,3527,7893283
201509,10015000,衣,博士,77,181046
201509,10015000,衣,碩士,893,2182799
201509,10015000,衣,大學,4325,10694137
201509,10015000,衣,專科,2843,7707943
201509,10015000,衣,高中高職,3667,10164634
201509,10015000,衣,其他,3116,7676130
201510,10015000,衣,博士,61,231781
201510,10015000,衣,碩士,1049,2744020
201510,10015000,衣,大學,5243,13246389
201510,10015000,衣,專科,3320,9073788
201510,10015000,衣,高中高職,4194,11808727
201510,10015000,衣,其他,3688,9435372
201511,10015000,衣,博士,78,216915
201511,10015000,衣,碩士,896,2242431
201511,10015000,衣,大學,4527,11874048
201511,10015000,衣,專科,2890,8591591
201511,10015000,衣,高中高職,3711,10776704
201511,10015000,衣,其他,3142,8278383
201512,10015000,衣,博士,91,238127
201512,10015000,衣,碩士,952,2338354
201512,10015000,衣,大學,4686,12689979
201512,10015000,衣,專科,2952,8450405
201512,10015000,衣,高中高職,4050,11492120
201512,10015000,衣,其他,3455,9072208
201601,10015000,衣,博士,86,246118
201601,10015000,衣,碩士,1026,3075996
201601,10015000,衣,大學,5427,15619407
201601,10015000,衣,專科,3937,12253604
201601,10015000,衣,高中高職,4693,14352476
201601,10015000,衣,其他,3807,10595357
201602,10015000,衣,博士,84,205780
201602,10015000,衣,碩士,1197,3214634
201602,10015000,衣,大學,5624,15144875
201602,10015000,衣,專科,3756,10783128
201602,10015000,衣,高中高職,4616,13431803
201602,10015000,衣,其他,4064,11131374
201603,10015000,衣,博士,52,137009
201603,10015000,衣,碩士,632,1847439
201603,10015000,衣,大學,3571,9443917
201603,10015000,衣,專科,2211,6588788
201603,10015000,衣,高中高職,2944,8467363
201603,10015000,衣,其他,2513,6656438
201604,10015000,衣,博士,73,244714
201604,10015000,衣,碩士,851,2107724
201604,10015000,衣,大學,4610,11525862
201604,10015000,衣,專科,2927,7787805
201604,10015000,衣,高中高職,3663,9692962
201604,10015000,衣,其他,3192,7876095
201605,10015000,衣,博士,70,134552
201605,10015000,衣,碩士,850,2186541
