年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10015000,百貨,博士,211,540985
201401,10015000,百貨,碩士,1920,5609862
201401,10015000,百貨,大學,9542,30054972
201401,10015000,百貨,專科,5111,14568535
201401,10015000,百貨,高中高職,6410,22415036
201401,10015000,百貨,其他,5323,15505564
201402,10015000,百貨,博士,155,453031
201402,10015000,百貨,碩士,1441,3579144
201402,10015000,百貨,大學,6864,18923992
201402,10015000,百貨,專科,3700,9810905
201402,10015000,百貨,高中高職,4429,13431175
201402,10015000,百貨,其他,3820,10245987
201403,10015000,百貨,博士,132,356259
201403,10015000,百貨,碩士,1210,3119602
201403,10015000,百貨,大學,5985,13468775
201403,10015000,百貨,專科,3326,7991019
201403,10015000,百貨,高中高職,3892,10490900
201403,10015000,百貨,其他,3305,7692746
201404,10015000,百貨,博士,145,418434
201404,10015000,百貨,碩士,1608,6187112
201404,10015000,百貨,大學,8079,28718240
201404,10015000,百貨,專科,4260,14798971
201404,10015000,百貨,高中高職,5207,20058695
201404,10015000,百貨,其他,4305,13198904
201405,10015000,百貨,博士,203,766827
201405,10015000,百貨,碩士,1721,5326975
201405,10015000,百貨,大學,8295,21947599
201405,10015000,百貨,專科,4687,12815609
201405,10015000,百貨,高中高職,5311,16295320
201405,10015000,百貨,其他,4566,12129357
201406,10015000,百貨,博士,170,534419
201406,10015000,百貨,碩士,1626,4668120
201406,10015000,百貨,大學,7978,20416191
201406,10015000,百貨,專科,4416,12191308
201406,10015000,百貨,高中高職,5434,16388227
201406,10015000,百貨,其他,4354,10484653
201407,10015000,百貨,博士,178,486447
201407,10015000,百貨,碩士,1715,3859753
201407,10015000,百貨,大學,7890,16953957
201407,10015000,百貨,專科,4470,10244976
201407,10015000,百貨,高中高職,5012,12388917
201407,10015000,百貨,其他,4503,9992094
201408,10015000,百貨,博士,193,450439
201408,10015000,百貨,碩士,1709,4140994
201408,10015000,百貨,大學,8479,18346969
201408,10015000,百貨,專科,4557,10224860
201408,10015000,百貨,高中高職,5250,12665819
201408,10015000,百貨,其他,4406,9448746
201409,10015000,百貨,博士,134,379523
201409,10015000,百貨,碩士,1266,3245175
201409,10015000,百貨,大學,6308,13091766
201409,10015000,百貨,專科,3341,7666496
201409,10015000,百貨,高中高職,3884,8937788
201409,10015000,百貨,其他,3669,7899716
201410,10015000,百貨,博士,233,1233517
201410,10015000,百貨,碩士,2613,12097881
201410,10015000,百貨,大學,13086,56326424
201410,10015000,百貨,專科,7261,35282604
201410,10015000,百貨,高中高職,8550,45461118
201410,10015000,百貨,其他,6884,29931998
201411,10015000,百貨,博士,278,1146957
201411,10015000,百貨,碩士,2329,7221770
201411,10015000,百貨,大學,11052,33155688
201411,10015000,百貨,專科,6064,18922167
201411,10015000,百貨,高中高職,7394,23498996
201411,10015000,百貨,其他,6050,18047344
201412,10015000,百貨,博士,188,462133
201412,10015000,百貨,碩士,1834,4514378
201412,10015000,百貨,大學,9156,21105309
201412,10015000,百貨,專科,4962,11987097
201412,10015000,百貨,高中高職,6051,15912865
201412,10015000,百貨,其他,5292,11977332
201501,10015000,百貨,博士,200,788965
201501,10015000,百貨,碩士,1700,4926499
201501,10015000,百貨,大學,8106,23467659
201501,10015000,百貨,專科,4589,13215680
201501,10015000,百貨,高中高職,5513,18239879
201501,10015000,百貨,其他,4626,12523022
201502,10015000,百貨,博士,224,621516
201502,10015000,百貨,碩士,2008,5895641
201502,10015000,百貨,大學,9719,28634991
201502,10015000,百貨,專科,5062,14386794
201502,10015000,百貨,高中高職,6114,20143930
201502,10015000,百貨,其他,5595,16360825
201503,10015000,百貨,博士,117,297776
201503,10015000,百貨,碩士,1206,3215435
201503,10015000,百貨,大學,5981,14739606
201503,10015000,百貨,專科,3263,9251994
201503,10015000,百貨,高中高職,3877,11166061
201503,10015000,百貨,其他,3707,8843739
201504,10015000,百貨,博士,178,632272
201504,10015000,百貨,碩士,1816,6277978
201504,10015000,百貨,大學,9217,29396663
201504,10015000,百貨,專科,4740,15324149
201504,10015000,百貨,高中高職,5771,20271032
201504,10015000,百貨,其他,5417,16255992
201505,10015000,百貨,博士,236,750405
201505,10015000,百貨,碩士,2199,5254085
201505,10015000,百貨,大學,10417,25513761
201505,10015000,百貨,專科,5472,13484246
201505,10015000,百貨,高中高職,6277,16655897
201505,10015000,百貨,其他,6100,14961482
201506,10015000,百貨,博士,186,406541
201506,10015000,百貨,碩士,1980,5828231
201506,10015000,百貨,大學,9593,22229755
201506,10015000,百貨,專科,5000,12910677
201506,10015000,百貨,高中高職,5923,16331914
201506,10015000,百貨,其他,5504,11799452
201507,10015000,百貨,博士,219,578629
201507,10015000,百貨,碩士,2069,4465895
201507,10015000,百貨,大學,9292,19150058
201507,10015000,百貨,專科,4827,11256580
201507,10015000,百貨,高中高職,5659,13120541
201507,10015000,百貨,其他,5270,11008531
201508,10015000,百貨,博士,193,398564
201508,10015000,百貨,碩士,1832,3960809
201508,10015000,百貨,大學,8773,17607687
201508,10015000,百貨,專科,4593,10086700
201508,10015000,百貨,高中高職,5152,11758063
201508,10015000,百貨,其他,4879,9874070
201509,10015000,百貨,博士,140,255046
201509,10015000,百貨,碩士,1420,2783843
201509,10015000,百貨,大學,7014,13879645
201509,10015000,百貨,專科,3718,7326908
201509,10015000,百貨,高中高職,4173,9278458
201509,10015000,百貨,其他,3966,7730703
201510,10015000,百貨,博士,261,1119763
201510,10015000,百貨,碩士,3046,12550002
201510,10015000,百貨,大學,15620,65555405
201510,10015000,百貨,專科,8535,36346006
201510,10015000,百貨,高中高職,9990,51223681
201510,10015000,百貨,其他,8601,34502813
201511,10015000,百貨,博士,269,915066
201511,10015000,百貨,碩士,2378,7078696
201511,10015000,百貨,大學,11598,31860013
201511,10015000,百貨,專科,6043,17047641
201511,10015000,百貨,高中高職,6982,21739220
201511,10015000,百貨,其他,6583,18518836
201512,10015000,百貨,博士,185,412332
201512,10015000,百貨,碩士,1897,4278379
201512,10015000,百貨,大學,9132,18726715
201512,10015000,百貨,專科,4717,10462304
201512,10015000,百貨,高中高職,5449,12877023
201512,10015000,百貨,其他,5228,11044565
201601,10015000,百貨,博士,228,698725
201601,10015000,百貨,碩士,2207,4990726
201601,10015000,百貨,大學,10995,27461467
201601,10015000,百貨,專科,5380,13277570
201601,10015000,百貨,高中高職,6559,18596998
201601,10015000,百貨,其他,5854,15096261
201602,10015000,百貨,博士,169,443886
201602,10015000,百貨,碩士,2215,6332583
201602,10015000,百貨,大學,10560,26821643
201602,10015000,百貨,專科,5010,13611572
201602,10015000,百貨,高中高職,5989,16666835
201602,10015000,百貨,其他,5734,14376674
201603,10015000,百貨,博士,119,247575
201603,10015000,百貨,碩士,1190,2612762
201603,10015000,百貨,大學,6532,14393796
201603,10015000,百貨,專科,3157,7299718
201603,10015000,百貨,高中高職,3712,9713230
201603,10015000,百貨,其他,3742,7948476
201604,10015000,百貨,博士,178,488066
201604,10015000,百貨,碩士,1917,7415306
201604,10015000,百貨,大學,9529,31836749
201604,10015000,百貨,專科,4392,14304639
201604,10015000,百貨,高中高職,5227,19759442
201604,10015000,百貨,其他,4958,14477860
201605,10015000,百貨,博士,215,529643
201605,10015000,百貨,碩士,2045,5093761
201605,10015000,百貨,大學,10440,24330365
201605,10015000,百貨,專科,4891,11429173
201605,10015000,百貨,高中高職,5968,15483285
201605,10015000,百貨,其他,5744,12722382
201606,10015000,百貨,博士,229,540115
201606,10015000,百貨,碩士,2198,5790875
201606,10015000,百貨,大學,11195,26628426
201606,10015000,百貨,專科,5411,13706497
201606,10015000,百貨,高中高職,6443,17528157
201606,10015000,百貨,其他,6090,14014461
201607,10015000,百貨,博士,210,403470
201607,10015000,百貨,碩士,2061,4591410
201607,10015000,百貨,大學,10157,21082232
201607,10015000,百貨,專科,4997,10585826
201607,10015000,百貨,高中高職,5390,12654946
201607,10015000,百貨,其他,5495,11271879
201608,10015000,百貨,博士,201,401077
201608,10015000,百貨,碩士,2063,4202034
201608,10015000,百貨,大學,9889,21506227
201608,10015000,百貨,專科,4910,10839584
201608,10015000,百貨,高中高職,5545,12639324
201608,10015000,百貨,其他,5470,11341853
201609,10015000,百貨,博士,147,292805
201609,10015000,百貨,碩士,1375,2530077
201609,10015000,百貨,大學,7221,14225576
201609,10015000,百貨,專科,3377,7479153
201609,10015000,百貨,高中高職,4004,8803309
201609,10015000,百貨,其他,4230,7915748
201610,10015000,百貨,博士,230,930550
201610,10015000,百貨,碩士,2607,10648774
201610,10015000,百貨,大學,13395,57167170
201610,10015000,百貨,專科,6471,28524464
201610,10015000,百貨,高中高職,7647,38918021
201610,10015000,百貨,其他,6602,26369503
201611,10015000,百貨,博士,284,931257
201611,10015000,百貨,碩士,2617,7068720
201611,10015000,百貨,大學,12668,33977125
201611,10015000,百貨,專科,6458,18838475
201611,10015000,百貨,高中高職,8079,24621381
201611,10015000,百貨,其他,6923,19530558
201612,10015000,百貨,博士,207,453591
201612,10015000,百貨,碩士,2078,4523676
201612,10015000,百貨,大學,10384,22814722
201612,10015000,百貨,專科,5097,12922211
201612,10015000,百貨,高中高職,6012,15807506
201612,10015000,百貨,其他,5509,11506351
201701,10015000,百貨,博士,221,533248
201701,10015000,百貨,碩士,2470,5900483
201701,10015000,百貨,大學,11313,28300316
201701,10015000,百貨,專科,5680,14599457
201701,10015000,百貨,高中高職,6587,18860288
201701,10015000,百貨,其他,6328,15232722
201702,10015000,百貨,博士,165,564145
201702,10015000,百貨,碩士,1534,4050822
201702,10015000,百貨,大學,7498,18097417
201702,10015000,百貨,專科,3655,9429082
201702,10015000,百貨,高中高職,4399,12766215
201702,10015000,百貨,其他,4511,10104991
201703,10015000,百貨,博士,114,273521
201703,10015000,百貨,碩士,1272,2845900
201703,10015000,百貨,大學,6546,15585122
201703,10015000,百貨,專科,3240,7988584
201703,10015000,百貨,高中高職,4073,12976496
201703,10015000,百貨,其他,3990,8729328
201704,10015000,百貨,博士,176,718023
201704,10015000,百貨,碩士,1812,5827986
201704,10015000,百貨,大學,9464,31101634
201704,10015000,百貨,專科,4388,13565748
201704,10015000,百貨,高中高職,5535,21100696
201704,10015000,百貨,其他,5026,13289478
201705,10015000,百貨,博士,205,679520
201705,10015000,百貨,碩士,1974,4541607
201705,10015000,百貨,大學,9919,25037341
201705,10015000,百貨,專科,4730,12113241
201705,10015000,百貨,高中高職,5795,15700861
201705,10015000,百貨,其他,5549,12879808
201706,10015000,百貨,博士,172,392894
