年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10015000,住,博士,621,2665016
201401,10015000,住,碩士,4803,21064148
201401,10015000,住,大學,14291,81486922
201401,10015000,住,專科,7307,40725919
201401,10015000,住,高中高職,7516,45830786
201401,10015000,住,其他,7741,49979211
201402,10015000,住,博士,420,1811629
201402,10015000,住,碩士,3670,17976063
201402,10015000,住,大學,12497,66050719
201402,10015000,住,專科,6482,33408665
201402,10015000,住,高中高職,7147,43775163
201402,10015000,住,其他,6895,40585380
201403,10015000,住,博士,370,2450644
201403,10015000,住,碩士,3576,19425165
201403,10015000,住,大學,12314,75055473
201403,10015000,住,專科,6150,36216077
201403,10015000,住,高中高職,6432,41102064
201403,10015000,住,其他,6771,48542773
201404,10015000,住,博士,400,1918768
201404,10015000,住,碩士,4039,23351315
201404,10015000,住,大學,12906,87066788
201404,10015000,住,專科,6468,41658370
201404,10015000,住,高中高職,6651,43566487
201404,10015000,住,其他,6916,54701979
201405,10015000,住,博士,543,2125310
201405,10015000,住,碩士,5000,24909034
201405,10015000,住,大學,15575,94965961
201405,10015000,住,專科,8000,52361015
201405,10015000,住,高中高職,7562,50285825
201405,10015000,住,其他,8192,57986195
201406,10015000,住,博士,587,2114121
201406,10015000,住,碩士,5190,23715159
201406,10015000,住,大學,16061,90156885
201406,10015000,住,專科,8460,49360093
201406,10015000,住,高中高職,8278,48923111
201406,10015000,住,其他,8964,66606384
201407,10015000,住,博士,715,3277542
201407,10015000,住,碩士,6848,37677362
201407,10015000,住,大學,19738,118788786
201407,10015000,住,專科,10857,72410151
201407,10015000,住,高中高職,10287,67657414
201407,10015000,住,其他,10431,69524825
201408,10015000,住,博士,741,3278084
201408,10015000,住,碩士,6957,34348237
201408,10015000,住,大學,20660,112498167
201408,10015000,住,專科,10837,64159214
201408,10015000,住,高中高職,10481,61513711
201408,10015000,住,其他,11040,65625515
201409,10015000,住,博士,471,1856052
201409,10015000,住,碩士,4193,20834065
201409,10015000,住,大學,13921,76303384
201409,10015000,住,專科,7041,41417322
201409,10015000,住,高中高職,7054,39300072
201409,10015000,住,其他,7751,51835278
201410,10015000,住,博士,443,1785526
201410,10015000,住,碩士,4350,21602061
201410,10015000,住,大學,14104,76642290
201410,10015000,住,專科,7104,44505915
201410,10015000,住,高中高職,7324,43072769
201410,10015000,住,其他,7534,49749478
201411,10015000,住,博士,448,2414627
201411,10015000,住,碩士,4683,27119817
201411,10015000,住,大學,14840,90832238
201411,10015000,住,專科,7140,46394086
201411,10015000,住,高中高職,7163,47711644
201411,10015000,住,其他,7637,55610956
201412,10015000,住,博士,470,2126918
201412,10015000,住,碩士,4174,21876907
201412,10015000,住,大學,13109,70372777
201412,10015000,住,專科,6536,38070682
201412,10015000,住,高中高職,6684,39960047
201412,10015000,住,其他,7349,48872868
201501,10015000,住,博士,531,3508844
201501,10015000,住,碩士,4586,21895852
201501,10015000,住,大學,14033,69962461
201501,10015000,住,專科,7050,37808192
201501,10015000,住,高中高職,7388,41068983
201501,10015000,住,其他,7449,50646563
201502,10015000,住,博士,629,2663639
201502,10015000,住,碩士,5838,29329724
201502,10015000,住,大學,16786,87601598
201502,10015000,住,專科,8465,44120450
201502,10015000,住,高中高職,8702,48235125
201502,10015000,住,其他,9099,56729802
201503,10015000,住,博士,320,1241063
201503,10015000,住,碩士,3408,17383543
201503,10015000,住,大學,11672,60495773
201503,10015000,住,專科,5916,34611376
201503,10015000,住,高中高職,6319,34985455
201503,10015000,住,其他,6640,42783994
201504,10015000,住,博士,405,1998028
201504,10015000,住,碩士,4409,23257897
201504,10015000,住,大學,13952,81071631
201504,10015000,住,專科,6839,43731849
201504,10015000,住,高中高職,7000,43914722
201504,10015000,住,其他,7300,49186804
201505,10015000,住,博士,456,2158629
201505,10015000,住,碩士,4448,22144477
201505,10015000,住,大學,13907,85371534
201505,10015000,住,專科,6758,42844856
201505,10015000,住,高中高職,6930,47760865
201505,10015000,住,其他,7270,55965124
201506,10015000,住,博士,481,2013367
201506,10015000,住,碩士,5018,24564848
201506,10015000,住,大學,15709,85949884
201506,10015000,住,專科,7859,46466941
201506,10015000,住,高中高職,7633,47935390
201506,10015000,住,其他,8260,59667609
201507,10015000,住,博士,726,3746739
201507,10015000,住,碩士,6727,36373620
201507,10015000,住,大學,19655,115596340
201507,10015000,住,專科,10344,66326565
201507,10015000,住,高中高職,9537,63544092
201507,10015000,住,其他,10238,72882187
201508,10015000,住,博士,634,2979818
201508,10015000,住,碩士,5972,28998240
201508,10015000,住,大學,17532,91326920
201508,10015000,住,專科,8939,49596784
201508,10015000,住,高中高職,8551,49164680
201508,10015000,住,其他,9114,57776745
201509,10015000,住,博士,408,1680681
201509,10015000,住,碩士,4511,20892108
201509,10015000,住,大學,14040,71251150
201509,10015000,住,專科,7020,42396528
201509,10015000,住,高中高職,6851,38683206
201509,10015000,住,其他,7400,54356916
201510,10015000,住,博士,476,2673783
201510,10015000,住,碩士,4428,23564229
201510,10015000,住,大學,14711,81494833
201510,10015000,住,專科,7208,42321170
201510,10015000,住,高中高職,6996,46848085
201510,10015000,住,其他,7416,54098607
201511,10015000,住,博士,416,2712768
201511,10015000,住,碩士,4891,29137600
201511,10015000,住,大學,15807,95897529
201511,10015000,住,專科,7291,45728235
201511,10015000,住,高中高職,7316,48176680
201511,10015000,住,其他,8069,59672801
201512,10015000,住,博士,457,2589956
201512,10015000,住,碩士,4505,24086527
201512,10015000,住,大學,14307,76287294
201512,10015000,住,專科,6624,36414010
201512,10015000,住,高中高職,6801,38458871
201512,10015000,住,其他,7602,49664404
201601,10015000,住,博士,618,3115650
201601,10015000,住,碩士,5352,26946603
201601,10015000,住,大學,15753,84831511
201601,10015000,住,專科,8002,43354032
201601,10015000,住,高中高職,7743,45302169
201601,10015000,住,其他,8173,50744770
201602,10015000,住,博士,566,2598698
201602,10015000,住,碩士,4945,25369183
201602,10015000,住,大學,15411,83199591
201602,10015000,住,專科,7876,41710035
201602,10015000,住,高中高職,7998,47149514
201602,10015000,住,其他,7989,53645665
201603,10015000,住,博士,342,1186578
201603,10015000,住,碩士,3258,14941045
201603,10015000,住,大學,11516,58353413
201603,10015000,住,專科,5573,31207286
201603,10015000,住,高中高職,5670,34771026
201603,10015000,住,其他,5979,35612024
201604,10015000,住,博士,439,2019557
201604,10015000,住,碩士,4494,20112320
201604,10015000,住,大學,13459,70620246
201604,10015000,住,專科,6361,37210736
201604,10015000,住,高中高職,6138,37459927
201604,10015000,住,其他,6502,39983438
201605,10015000,住,博士,430,2074684
201605,10015000,住,碩士,4405,23648055
201605,10015000,住,大學,13917,78655727
201605,10015000,住,專科,6416,39539620
201605,10015000,住,高中高職,6226,43272745
201605,10015000,住,其他,6390,43312658
201606,10015000,住,博士,512,1846637
201606,10015000,住,碩士,5573,26052092
201606,10015000,住,大學,16626,83103155
201606,10015000,住,專科,7792,43216566
201606,10015000,住,高中高職,7485,43770698
201606,10015000,住,其他,8460,51729173
201607,10015000,住,博士,631,3395665
201607,10015000,住,碩士,6584,31425795
201607,10015000,住,大學,18570,102009426
201607,10015000,住,專科,9058,51543773
201607,10015000,住,高中高職,8328,50891678
201607,10015000,住,其他,8745,55472122
201608,10015000,住,博士,686,3407621
201608,10015000,住,碩士,6367,29607030
201608,10015000,住,大學,18350,91625671
201608,10015000,住,專科,8765,45930396
201608,10015000,住,高中高職,8297,46969432
