年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10015000,其他,博士,328,1831963
201401,10015000,其他,碩士,2415,11792257
201401,10015000,其他,大學,9694,47085906
201401,10015000,其他,專科,6027,31832396
201401,10015000,其他,高中高職,7531,38826778
201401,10015000,其他,其他,6751,31874143
201402,10015000,其他,博士,283,1220139
201402,10015000,其他,碩士,1791,8109147
201402,10015000,其他,大學,7764,34915717
201402,10015000,其他,專科,4561,21992357
201402,10015000,其他,高中高職,5997,29062687
201402,10015000,其他,其他,5374,23460116
201403,10015000,其他,博士,292,1126816
201403,10015000,其他,碩士,1894,8482704
201403,10015000,其他,大學,8271,39524051
201403,10015000,其他,專科,5341,25309719
201403,10015000,其他,高中高職,6533,31909764
201403,10015000,其他,其他,5829,25779704
201404,10015000,其他,博士,262,1055729
201404,10015000,其他,碩士,1792,8401589
201404,10015000,其他,大學,7567,35923276
201404,10015000,其他,專科,4972,23987450
201404,10015000,其他,高中高職,6321,32283233
201404,10015000,其他,其他,5374,23873582
201405,10015000,其他,博士,306,1249615
201405,10015000,其他,碩士,2031,8964803
201405,10015000,其他,大學,8562,40252010
201405,10015000,其他,專科,5317,27087661
201405,10015000,其他,高中高職,6871,33888542
201405,10015000,其他,其他,5950,26899834
201406,10015000,其他,博士,308,1218331
201406,10015000,其他,碩士,2035,8102899
201406,10015000,其他,大學,8460,33403827
201406,10015000,其他,專科,5158,23391340
201406,10015000,其他,高中高職,6629,32259823
201406,10015000,其他,其他,5585,25826517
201407,10015000,其他,博士,308,1376340
201407,10015000,其他,碩士,2198,10145594
201407,10015000,其他,大學,8636,36811764
201407,10015000,其他,專科,5387,27044629
201407,10015000,其他,高中高職,6863,33022339
201407,10015000,其他,其他,5951,26201476
201408,10015000,其他,博士,296,1104611
201408,10015000,其他,碩士,2326,9097095
201408,10015000,其他,大學,8899,34177925
201408,10015000,其他,專科,5352,27068603
201408,10015000,其他,高中高職,6655,31229242
201408,10015000,其他,其他,5959,25693970
201409,10015000,其他,博士,292,1016694
201409,10015000,其他,碩士,1864,8094369
201409,10015000,其他,大學,8260,34669999
201409,10015000,其他,專科,5203,24910231
201409,10015000,其他,高中高職,6454,31436602
201409,10015000,其他,其他,5799,26185992
201410,10015000,其他,博士,301,1422171
201410,10015000,其他,碩士,2096,8318478
201410,10015000,其他,大學,8939,39395990
201410,10015000,其他,專科,5514,24668356
201410,10015000,其他,高中高職,6780,33131617
201410,10015000,其他,其他,6095,29008194
201411,10015000,其他,博士,274,958263
201411,10015000,其他,碩士,1942,8357684
201411,10015000,其他,大學,8025,37687132
201411,10015000,其他,專科,5078,25047003
201411,10015000,其他,高中高職,6249,31433901
201411,10015000,其他,其他,5423,26349497
201412,10015000,其他,博士,321,1695203
201412,10015000,其他,碩士,2125,10615491
201412,10015000,其他,大學,8996,46009201
201412,10015000,其他,專科,5509,28685473
201412,10015000,其他,高中高職,6957,36166589
201412,10015000,其他,其他,6037,28864330
201501,10015000,其他,博士,348,1687571
201501,10015000,其他,碩士,2181,9613765
201501,10015000,其他,大學,8934,43410777
201501,10015000,其他,專科,5590,28706157
201501,10015000,其他,高中高職,6683,36542188
201501,10015000,其他,其他,5835,27596022
201502,10015000,其他,博士,321,1399215
201502,10015000,其他,碩士,2121,9068985
201502,10015000,其他,大學,8246,38067750
201502,10015000,其他,專科,4813,25377084
201502,10015000,其他,高中高職,5787,30595041
201502,10015000,其他,其他,5592,26219579
201503,10015000,其他,博士,304,1038380
201503,10015000,其他,碩士,1934,8081316
201503,10015000,其他,大學,7940,36672210
201503,10015000,其他,專科,5096,24061815
201503,10015000,其他,高中高職,6212,33346280
201503,10015000,其他,其他,5706,25888572
201504,10015000,其他,博士,289,1230265
201504,10015000,其他,碩士,2005,9839666
201504,10015000,其他,大學,8140,39781540
201504,10015000,其他,專科,5033,25462908
201504,10015000,其他,高中高職,6358,33469621
201504,10015000,其他,其他,5535,24561347
201505,10015000,其他,博士,285,1089341
201505,10015000,其他,碩士,2147,8998606
201505,10015000,其他,大學,8621,41817873
201505,10015000,其他,專科,5192,27434686
201505,10015000,其他,高中高職,6422,32767723
201505,10015000,其他,其他,5696,28203322
201506,10015000,其他,博士,326,1690126
201506,10015000,其他,碩士,2146,8712664
201506,10015000,其他,大學,8944,40618816
201506,10015000,其他,專科,5400,27961089
201506,10015000,其他,高中高職,6855,35807216
201506,10015000,其他,其他,6064,28559942
201507,10015000,其他,博士,365,2041053
201507,10015000,其他,碩士,2597,10499659
201507,10015000,其他,大學,9530,41948372
201507,10015000,其他,專科,5564,25716041
201507,10015000,其他,高中高職,6943,34598448
201507,10015000,其他,其他,6182,28626487
201508,10015000,其他,博士,318,1266898
201508,10015000,其他,碩士,2371,10156086
201508,10015000,其他,大學,9092,38272545
201508,10015000,其他,專科,5457,25597799
201508,10015000,其他,高中高職,6742,33014252
201508,10015000,其他,其他,6188,27583645
201509,10015000,其他,博士,306,1234303
201509,10015000,其他,碩士,2215,8987149
201509,10015000,其他,大學,8530,34856097
201509,10015000,其他,專科,5285,24580713
201509,10015000,其他,高中高職,6783,32811006
201509,10015000,其他,其他,5945,25309689
201510,10015000,其他,博士,319,1477096
201510,10015000,其他,碩士,2348,9775947
201510,10015000,其他,大學,9871,48471346
201510,10015000,其他,專科,5907,29457683
201510,10015000,其他,高中高職,7356,39808498
201510,10015000,其他,其他,6570,32410116
201511,10015000,其他,博士,317,1652000
201511,10015000,其他,碩士,2228,9917341
201511,10015000,其他,大學,9132,43442854
201511,10015000,其他,專科,5634,29139040
201511,10015000,其他,高中高職,6974,36909836
201511,10015000,其他,其他,6095,31242667
201512,10015000,其他,博士,333,1713216
201512,10015000,其他,碩士,2566,12557436
201512,10015000,其他,大學,10093,46366004
201512,10015000,其他,專科,5992,30341640
201512,10015000,其他,高中高職,7563,39929409
201512,10015000,其他,其他,6591,31684566
201601,10015000,其他,博士,319,1837531
201601,10015000,其他,碩士,2141,11755515
201601,10015000,其他,大學,8790,48247508
201601,10015000,其他,專科,5500,30849523
201601,10015000,其他,高中高職,6783,39320767
201601,10015000,其他,其他,5967,29230333
201602,10015000,其他,博士,310,1836329
201602,10015000,其他,碩士,1884,9550250
201602,10015000,其他,大學,8232,41679347
201602,10015000,其他,專科,4901,26713144
201602,10015000,其他,高中高職,5808,32921963
201602,10015000,其他,其他,5550,28899924
201603,10015000,其他,博士,294,1633465
201603,10015000,其他,碩士,1828,8266323
201603,10015000,其他,大學,8415,43346988
201603,10015000,其他,專科,5021,25629379
201603,10015000,其他,高中高職,6397,34728032
201603,10015000,其他,其他,5753,27589232
201604,10015000,其他,博士,278,1172568
201604,10015000,其他,碩士,1824,8831285
201604,10015000,其他,大學,8064,41407844
201604,10015000,其他,專科,4799,25803827
201604,10015000,其他,高中高職,5956,33977303
201604,10015000,其他,其他,5581,27871147
201605,10015000,其他,博士,327,1409115
201605,10015000,其他,碩士,2026,10846661
201605,10015000,其他,大學,8918,42934320
201605,10015000,其他,專科,5446,27654982
201605,10015000,其他,高中高職,6631,37557556
201605,10015000,其他,其他,6005,28465511
201606,10015000,其他,博士,351,1692564
201606,10015000,其他,碩士,2727,10882778
201606,10015000,其他,大學,10924,43725138
201606,10015000,其他,專科,6329,29267335
201606,10015000,其他,高中高職,7812,39505889
201606,10015000,其他,其他,7320,29326248
201607,10015000,其他,博士,385,1681993
201607,10015000,其他,碩士,2684,10480308
201607,10015000,其他,大學,10992,44714007
201607,10015000,其他,專科,6175,29668084
201607,10015000,其他,高中高職,7563,35991438
201607,10015000,其他,其他,6996,28836264
201608,10015000,其他,博士,418,2239628
201608,10015000,其他,碩士,2773,11450537
201608,10015000,其他,大學,11461,44663208
201608,10015000,其他,專科,6183,28849053
201608,10015000,其他,高中高職,7947,36116199
201608,10015000,其他,其他,7762,31712842
201609,10015000,其他,博士,338,1544262
201609,10015000,其他,碩士,2265,10049866
201609,10015000,其他,大學,10072,44422438
201609,10015000,其他,專科,5646,27242997
201609,10015000,其他,高中高職,7036,34523531
201609,10015000,其他,其他,6799,30481299
201610,10015000,其他,博士,368,1415268
201610,10015000,其他,碩士,2882,10584794
201610,10015000,其他,大學,12029,49644469
201610,10015000,其他,專科,6614,29635295
201610,10015000,其他,高中高職,8338,41344638
201610,10015000,其他,其他,7952,31816626
201611,10015000,其他,博士,372,1352963
201611,10015000,其他,碩士,2645,12032413
201611,10015000,其他,大學,11461,48623333
201611,10015000,其他,專科,6461,30282364
201611,10015000,其他,高中高職,8193,38910806
201611,10015000,其他,其他,7733,31623316
201612,10015000,其他,博士,405,1519761
201612,10015000,其他,碩士,3097,13893486
201612,10015000,其他,大學,12622,54135082
201612,10015000,其他,專科,7081,34455195
201612,10015000,其他,高中高職,8681,42833629
201612,10015000,其他,其他,8237,36233857
201701,10015000,其他,博士,416,2379783
201701,10015000,其他,碩士,2659,10800901
201701,10015000,其他,大學,10900,45646381
201701,10015000,其他,專科,6128,30124417
201701,10015000,其他,高中高職,7399,37866170
201701,10015000,其他,其他,7426,34989399
201702,10015000,其他,博士,374,2188509
201702,10015000,其他,碩士,2509,8772152
201702,10015000,其他,大學,9647,37703466
201702,10015000,其他,專科,5369,24106982
201702,10015000,其他,高中高職,6635,32228496
201702,10015000,其他,其他,6739,28074018
201703,10015000,其他,博士,371,1584579
201703,10015000,其他,碩士,2454,8912916
201703,10015000,其他,大學,10048,43054011
201703,10015000,其他,專科,5769,27529203
201703,10015000,其他,高中高職,7394,34497882
201703,10015000,其他,其他,6829,30369068
201704,10015000,其他,博士,329,1380428
201704,10015000,其他,碩士,2578,9412350
201704,10015000,其他,大學,10212,42773995
201704,10015000,其他,專科,5537,27735937
201704,10015000,其他,高中高職,7133,35904908
201704,10015000,其他,其他,6925,30342612
201705,10015000,其他,博士,349,1383212
201705,10015000,其他,碩士,2582,11062224
201705,10015000,其他,大學,10774,43497453
201705,10015000,其他,專科,5827,28704459
201705,10015000,其他,高中高職,7426,36487826
201705,10015000,其他,其他,6785,28856344
201706,10015000,其他,博士,349,1657285
201706,10015000,其他,碩士,2702,9573380
201706,10015000,其他,大學,10640,42845959
201706,10015000,其他,專科,5553,24315488
201706,10015000,其他,高中高職,7446,35463020
201706,10015000,其他,其他,6797,27470962
201707,10015000,其他,博士,409,1953425
201707,10015000,其他,碩士,2922,10077768
201707,10015000,其他,大學,11548,44386947
201707,10015000,其他,專科,5799,26505805
201707,10015000,其他,高中高職,7484,33870261
201707,10015000,其他,其他,7041,26879902
201708,10015000,其他,博士,383,1689274
201708,10015000,其他,碩士,3061,10479155
201708,10015000,其他,大學,11962,46726839
201708,10015000,其他,專科,6348,28741956
201708,10015000,其他,高中高職,7960,34603983
201708,10015000,其他,其他,7356,27987923
201709,10015000,其他,博士,367,1433073
201709,10015000,其他,碩士,3334,10140761
201709,10015000,其他,大學,13415,48541579
201709,10015000,其他,專科,6117,26864990
201709,10015000,其他,高中高職,7950,36875786
201709,10015000,其他,其他,7552,30495487
201710,10015000,其他,博士,394,1481171
201710,10015000,其他,碩士,2834,10611613
201710,10015000,其他,大學,11559,44340286
201710,10015000,其他,專科,6039,27031464
201710,10015000,其他,高中高職,7934,37151235
201710,10015000,其他,其他,7216,28582336
201711,10015000,其他,博士,387,1379663
201711,10015000,其他,碩士,2585,10284078
201711,10015000,其他,大學,11472,51625024
201711,10015000,其他,專科,6099,32056217
201711,10015000,其他,高中高職,7936,43065628
201711,10015000,其他,其他,7083,32956070
201712,10015000,其他,博士,404,1435088
201712,10015000,其他,碩士,2971,15037211
201712,10015000,其他,大學,12373,54288034
201712,10015000,其他,專科,6334,33274111
201712,10015000,其他,高中高職,8469,45270516
201712,10015000,其他,其他,7793,34633445
201801,10015000,其他,博士,391,2085676
201801,10015000,其他,碩士,2639,9696642
201801,10015000,其他,大學,11462,51132360
201801,10015000,其他,專科,5881,28824852
201801,10015000,其他,高中高職,7884,38410517
201801,10015000,其他,其他,6817,28170379
201802,10015000,其他,博士,325,1359820
201802,10015000,其他,碩士,2656,9858621
201802,10015000,其他,大學,10177,40893317
201802,10015000,其他,專科,5001,23905932
201802,10015000,其他,高中高職,6539,31581747
201802,10015000,其他,其他,6735,29897125
201803,10015000,其他,博士,419,1531910
201803,10015000,其他,碩士,2557,9319156
201803,10015000,其他,大學,11537,48401721
201803,10015000,其他,專科,5996,27942878
201803,10015000,其他,高中高職,7968,37634802
201803,10015000,其他,其他,7790,32397798
201804,10015000,其他,博士,377,1430709
201804,10015000,其他,碩士,2756,9208432
201804,10015000,其他,大學,11395,46282364
201804,10015000,其他,專科,5600,27231683
201804,10015000,其他,高中高職,7407,33875494
201804,10015000,其他,其他,7204,28850668
201805,10015000,其他,博士,424,1886631
201805,10015000,其他,碩士,2743,10190022
201805,10015000,其他,大學,12260,52455194
201805,10015000,其他,專科,6177,30816169
201805,10015000,其他,高中高職,8387,40528219
201805,10015000,其他,其他,7990,33706914
201806,10015000,其他,博士,403,1376686
201806,10015000,其他,碩士,2766,9772701
201806,10015000,其他,大學,11905,48759604
201806,10015000,其他,專科,5975,27687501
201806,10015000,其他,高中高職,7722,36251735
201806,10015000,其他,其他,7566,29787859
201807,10015000,其他,博士,421,1799918
201807,10015000,其他,碩士,3067,10443488
201807,10015000,其他,大學,12347,48204851
201807,10015000,其他,專科,6152,28265578
201807,10015000,其他,高中高職,8078,35975615
201807,10015000,其他,其他,7856,29282547
201808,10015000,其他,博士,371,1060876
201808,10015000,其他,碩士,2903,11141765
201808,10015000,其他,大學,11855,43748614
201808,10015000,其他,專科,5822,25959175
201808,10015000,其他,高中高職,7950,36196208
201808,10015000,其他,其他,7178,28172484
201809,10015000,其他,博士,368,1655306
