年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10015000,行,博士,935,1094128
201401,10015000,行,碩士,7460,8200611
201401,10015000,行,大學,28395,29697974
201401,10015000,行,專科,18286,21299728
201401,10015000,行,高中高職,26076,34255930
201401,10015000,行,其他,24064,30633323
201402,10015000,行,博士,889,1068097
201402,10015000,行,碩士,7223,7842296
201402,10015000,行,大學,29358,31756766
201402,10015000,行,專科,19488,21663034
201402,10015000,行,高中高職,28888,36884875
201402,10015000,行,其他,25467,30830283
201403,10015000,行,博士,907,998423
201403,10015000,行,碩士,7380,7326425
201403,10015000,行,大學,30121,30253615
201403,10015000,行,專科,18988,20597871
201403,10015000,行,高中高職,27755,35289461
201403,10015000,行,其他,24780,30053418
201404,10015000,行,博士,890,1032217
201404,10015000,行,碩士,7076,7366412
201404,10015000,行,大學,28684,29624820
201404,10015000,行,專科,18468,19553112
201404,10015000,行,高中高職,26755,34110475
201404,10015000,行,其他,24101,28695511
201405,10015000,行,博士,904,1030187
201405,10015000,行,碩士,7850,8166826
201405,10015000,行,大學,30617,30814094
201405,10015000,行,專科,19411,21520309
201405,10015000,行,高中高職,27104,34322175
201405,10015000,行,其他,24656,30302270
201406,10015000,行,博士,971,1122143
201406,10015000,行,碩士,8381,9007003
201406,10015000,行,大學,33437,34808485
201406,10015000,行,專科,20396,23373392
201406,10015000,行,高中高職,28848,37887696
201406,10015000,行,其他,26188,32553174
201407,10015000,行,博士,1159,1502535
201407,10015000,行,碩士,10084,11583691
201407,10015000,行,大學,38506,41347606
201407,10015000,行,專科,24246,27765571
201407,10015000,行,高中高職,32683,41728604
201407,10015000,行,其他,29006,36367393
201408,10015000,行,博士,1203,1492814
201408,10015000,行,碩士,11512,12821123
201408,10015000,行,大學,42083,44676965
201408,10015000,行,專科,25652,28994135
201408,10015000,行,高中高職,35370,45168390
201408,10015000,行,其他,31429,38515262
201409,10015000,行,博士,916,1024928
201409,10015000,行,碩士,7972,8073474
201409,10015000,行,大學,33131,33625383
201409,10015000,行,專科,20081,21572233
201409,10015000,行,高中高職,28409,33887690
201409,10015000,行,其他,25648,30028164
201410,10015000,行,博士,981,1321704
201410,10015000,行,碩士,8309,8246832
201410,10015000,行,大學,34130,32954760
201410,10015000,行,專科,20431,21044765
201410,10015000,行,高中高職,28792,34455618
201410,10015000,行,其他,25953,29128761
201411,10015000,行,博士,855,963721
201411,10015000,行,碩士,6998,6741360
201411,10015000,行,大學,29440,28456492
201411,10015000,行,專科,18329,18318628
201411,10015000,行,高中高職,25909,29670472
201411,10015000,行,其他,23484,26086960
201412,10015000,行,博士,901,855377
201412,10015000,行,碩士,7210,6491003
201412,10015000,行,大學,29539,26717606
201412,10015000,行,專科,18690,17220373
201412,10015000,行,高中高職,25966,28318036
201412,10015000,行,其他,24203,25763634
201501,10015000,行,博士,989,915967
201501,10015000,行,碩士,8026,7051766
201501,10015000,行,大學,31944,27370526
201501,10015000,行,專科,19299,17542729
201501,10015000,行,高中高職,26848,27146021
201501,10015000,行,其他,24714,24388225
201502,10015000,行,博士,995,975844
201502,10015000,行,碩士,8461,7409463
201502,10015000,行,大學,32395,28185211
201502,10015000,行,專科,20554,18229916
201502,10015000,行,高中高職,29094,28005541
201502,10015000,行,其他,26021,25865473
201503,10015000,行,博士,834,676199
201503,10015000,行,碩士,6675,5459650
201503,10015000,行,大學,29111,24347818
201503,10015000,行,專科,18197,15735691
201503,10015000,行,高中高職,25788,25155856
201503,10015000,行,其他,24164,23197723
201504,10015000,行,博士,891,800349
201504,10015000,行,碩士,7630,6434676
201504,10015000,行,大學,31255,26781325
201504,10015000,行,專科,19089,16754720
201504,10015000,行,高中高職,26674,26263856
201504,10015000,行,其他,24539,23733442
201505,10015000,行,博士,900,792645
201505,10015000,行,碩士,7519,6403489
201505,10015000,行,大學,31209,27193987
201505,10015000,行,專科,18738,17594857
201505,10015000,行,高中高職,26359,26365289
201505,10015000,行,其他,24499,24259474
201506,10015000,行,博士,998,908974
201506,10015000,行,碩士,8222,7154846
201506,10015000,行,大學,34315,30533209
201506,10015000,行,專科,20247,18642032
201506,10015000,行,高中高職,28960,30322991
201506,10015000,行,其他,26341,26923439
201507,10015000,行,博士,1043,1091980
201507,10015000,行,碩士,9868,9257945
201507,10015000,行,大學,38618,35055151
201507,10015000,行,專科,23622,22165954
201507,10015000,行,高中高職,31916,33421465
201507,10015000,行,其他,28633,28632931
201508,10015000,行,博士,1024,968121
201508,10015000,行,碩士,9266,8208575
201508,10015000,行,大學,35966,31542748
201508,10015000,行,專科,21732,19572657
201508,10015000,行,高中高職,29790,27887746
201508,10015000,行,其他,27082,25350068
201509,10015000,行,博士,956,823446
201509,10015000,行,碩士,8270,6788855
201509,10015000,行,大學,33589,28201268
201509,10015000,行,專科,20280,18201396
201509,10015000,行,高中高職,27732,27143762
201509,10015000,行,其他,25755,24234325
201510,10015000,行,博士,934,777336
201510,10015000,行,碩士,7997,6557642
201510,10015000,行,大學,33067,28013025
201510,10015000,行,專科,19910,18428587
201510,10015000,行,高中高職,27459,25811023
201510,10015000,行,其他,25147,23073617
201511,10015000,行,博士,928,894008
201511,10015000,行,碩士,7446,6067027
201511,10015000,行,大學,31186,25775349
201511,10015000,行,專科,19011,15985717
201511,10015000,行,高中高職,26451,25857238
201511,10015000,行,其他,24162,22762919
201512,10015000,行,博士,925,770669
201512,10015000,行,碩士,7274,6356115
201512,10015000,行,大學,30019,24086588
201512,10015000,行,專科,18406,16114408
201512,10015000,行,高中高職,25648,22797586
201512,10015000,行,其他,23613,20680662
201601,10015000,行,博士,782,784290
201601,10015000,行,碩士,6007,6185567
201601,10015000,行,大學,22902,20631122
201601,10015000,行,專科,14052,12808899
201601,10015000,行,高中高職,18279,17981846
201601,10015000,行,其他,17276,15865488
201602,10015000,行,博士,702,893508
201602,10015000,行,碩士,6202,5948247
201602,10015000,行,大學,23683,20475920
201602,10015000,行,專科,15057,12498515
201602,10015000,行,高中高職,20404,17413853
201602,10015000,行,其他,17873,15018108
201603,10015000,行,博士,728,603704
201603,10015000,行,碩士,5222,4983069
201603,10015000,行,大學,21396,18892142
201603,10015000,行,專科,12694,11781055
201603,10015000,行,高中高職,17113,17127686
201603,10015000,行,其他,16431,14671995
