年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,64000000,行,博士,11324,15354191
201401,64000000,行,碩士,88121,104173884
201401,64000000,行,大學,365138,390299063
201401,64000000,行,專科,185431,212347870
201401,64000000,行,高中高職,284134,343398067
201401,64000000,行,其他,246075,291694491
201402,64000000,行,博士,10027,12880025
201402,64000000,行,碩士,80818,95221063
201402,64000000,行,大學,331419,352761410
201402,64000000,行,專科,166842,188417124
201402,64000000,行,高中高職,253944,302506642
201402,64000000,行,其他,221637,259593524
201403,64000000,行,博士,11447,15304513
201403,64000000,行,碩士,90827,106793898
201403,64000000,行,大學,371936,389441768
201403,64000000,行,專科,185848,209813154
201403,64000000,行,高中高職,283583,341362250
201403,64000000,行,其他,248782,290405262
201404,64000000,行,博士,10889,14697323
201404,64000000,行,碩士,87186,102499418
201404,64000000,行,大學,358709,378325967
201404,64000000,行,專科,180420,203188845
201404,64000000,行,高中高職,274139,331362542
201404,64000000,行,其他,238875,283753924
201405,64000000,行,博士,12053,16702680
201405,64000000,行,碩士,92432,108950599
201405,64000000,行,大學,382017,403375324
201405,64000000,行,專科,192037,217135583
201405,64000000,行,高中高職,291004,351430938
201405,64000000,行,其他,252822,301346196
201406,64000000,行,博士,11591,15485270
201406,64000000,行,碩士,91116,111141249
201406,64000000,行,大學,377784,405504236
201406,64000000,行,專科,190353,220588175
201406,64000000,行,高中高職,289426,351567836
201406,64000000,行,其他,249553,297000413
201407,64000000,行,博士,11579,16328889
201407,64000000,行,碩士,93930,113947904
201407,64000000,行,大學,387361,421078731
201407,64000000,行,專科,195810,226252293
201407,64000000,行,高中高職,294094,360860721
201407,64000000,行,其他,254928,306010415
201408,64000000,行,博士,11559,14950934
201408,64000000,行,碩士,94673,112172976
201408,64000000,行,大學,388631,406805641
201408,64000000,行,專科,194959,219019506
201408,64000000,行,高中高職,291757,346835478
201408,64000000,行,其他,254099,293881416
201409,64000000,行,博士,11278,16327542
201409,64000000,行,碩士,90894,106574423
201409,64000000,行,大學,373884,383329054
201409,64000000,行,專科,185630,202842876
201409,64000000,行,高中高職,280784,332045892
201409,64000000,行,其他,245385,278964872
201410,64000000,行,博士,12200,15324577
201410,64000000,行,碩士,96389,106698615
201410,64000000,行,大學,392641,388479577
201410,64000000,行,專科,193528,201957739
201410,64000000,行,高中高職,288403,324679042
201410,64000000,行,其他,256777,283503750
201411,64000000,行,博士,11768,15387207
201411,64000000,行,碩士,93154,101087161
201411,64000000,行,大學,378565,364270801
201411,64000000,行,專科,185205,184518596
201411,64000000,行,高中高職,274828,297357100
201411,64000000,行,其他,246677,259517847
201412,64000000,行,博士,12295,14337762
201412,64000000,行,碩士,97710,104139030
201412,64000000,行,大學,395597,359809309
201412,64000000,行,專科,194604,186808624
201412,64000000,行,高中高職,286694,295585976
201412,64000000,行,其他,255929,257202233
201501,64000000,行,博士,11433,13091795
201501,64000000,行,碩士,94473,94741315
201501,64000000,行,大學,380324,331084275
201501,64000000,行,專科,185274,169337163
201501,64000000,行,高中高職,273211,258840138
201501,64000000,行,其他,238226,224645662
201502,64000000,行,博士,10625,12142028
201502,64000000,行,碩士,90998,90153177
201502,64000000,行,大學,354488,308414950
201502,64000000,行,專科,173114,153025074
201502,64000000,行,高中高職,254574,235530490
201502,64000000,行,其他,221867,208742834
201503,64000000,行,博士,11949,13473868
201503,64000000,行,碩士,97168,98410934
201503,64000000,行,大學,390624,345969454
201503,64000000,行,專科,188969,171373677
201503,64000000,行,高中高職,278431,270973392
201503,64000000,行,其他,245385,242014372
201504,64000000,行,博士,11611,13622315
201504,64000000,行,碩士,95942,98224893
201504,64000000,行,大學,384170,340908509
201504,64000000,行,專科,183809,167640791
201504,64000000,行,高中高職,270539,259880867
201504,64000000,行,其他,237807,233954964
201505,64000000,行,博士,12361,14238234
201505,64000000,行,碩士,101319,105189341
201505,64000000,行,大學,404416,366630691
201505,64000000,行,專科,193269,181566070
201505,64000000,行,高中高職,286608,283312387
201505,64000000,行,其他,248735,245631489
201506,64000000,行,博士,12260,14449674
201506,64000000,行,碩士,100680,105892270
201506,64000000,行,大學,406440,368764665
201506,64000000,行,專科,196188,188553411
201506,64000000,行,高中高職,289914,292322318
201506,64000000,行,其他,251010,255681782
201507,64000000,行,博士,12252,15189124
201507,64000000,行,碩士,103219,109991386
201507,64000000,行,大學,417434,386541845
201507,64000000,行,專科,200493,191276155
201507,64000000,行,高中高職,294506,294060313
201507,64000000,行,其他,252809,255201257
201508,64000000,行,博士,11765,13964324
201508,64000000,行,碩士,101734,103312799
201508,64000000,行,大學,408701,351204324
201508,64000000,行,專科,193424,169890238
201508,64000000,行,高中高職,283833,259385946
201508,64000000,行,其他,244637,226916742
201509,64000000,行,博士,12122,13011887
201509,64000000,行,碩士,101570,100351056
201509,64000000,行,大學,407923,343020002
201509,64000000,行,專科,193145,167639849
201509,64000000,行,高中高職,281888,255322957
201509,64000000,行,其他,245845,229405826
201510,64000000,行,博士,12627,14740690
201510,64000000,行,碩士,105969,104882750
201510,64000000,行,大學,420757,359553909
201510,64000000,行,專科,197176,169812347
201510,64000000,行,高中高職,289437,264693335
201510,64000000,行,其他,253997,235113841
201511,64000000,行,博士,12933,15112613
201511,64000000,行,碩士,104665,101225405
201511,64000000,行,大學,416479,346369148
201511,64000000,行,專科,194124,164817885
201511,64000000,行,高中高職,283624,253914194
201511,64000000,行,其他,247705,229915519
201512,64000000,行,博士,12951,14621209
201512,64000000,行,碩士,105754,101398756
201512,64000000,行,大學,422412,343839903
201512,64000000,行,專科,197445,167594984
201512,64000000,行,高中高職,285360,249224510
201512,64000000,行,其他,248480,223301210
201601,64000000,行,博士,10280,11958020
201601,64000000,行,碩士,81488,82466304
201601,64000000,行,大學,318170,276380614
201601,64000000,行,專科,154303,131356806
201601,64000000,行,高中高職,215130,192021589
201601,64000000,行,其他,188692,173964915
201602,64000000,行,博士,8550,8129344
201602,64000000,行,碩士,72208,67736353
201602,64000000,行,大學,276339,222462677
201602,64000000,行,專科,132935,109238610
201602,64000000,行,高中高職,186178,158007816
201602,64000000,行,其他,163493,143556647
201603,64000000,行,博士,10264,11670395
201603,64000000,行,碩士,79474,81884764
201603,64000000,行,大學,310216,269155235
201603,64000000,行,專科,146778,132030806
201603,64000000,行,高中高職,203271,186791357
201603,64000000,行,其他,182821,165891908
201604,64000000,行,博士,10004,10814394
201604,64000000,行,碩士,79415,79622132
201604,64000000,行,大學,310317,270347444
201604,64000000,行,專科,146157,130649739
201604,64000000,行,高中高職,202916,185284585
201604,64000000,行,其他,181780,163095523
201605,64000000,行,博士,10612,12041856
201605,64000000,行,碩士,82961,85389687
201605,64000000,行,大學,324573,286518675
201605,64000000,行,專科,151903,138662082
201605,64000000,行,高中高職,210943,198810656
201605,64000000,行,其他,189719,177754359
201606,64000000,行,博士,10559,12805513
201606,64000000,行,碩士,84313,90724999
201606,64000000,行,大學,333867,310447579
201606,64000000,行,專科,155575,146973168
201606,64000000,行,高中高職,219235,218741475
201606,64000000,行,其他,198109,196202207
201607,64000000,行,博士,10500,11788197
201607,64000000,行,碩士,83537,91369697
201607,64000000,行,大學,329608,300540720
201607,64000000,行,專科,154283,148740720
201607,64000000,行,高中高職,215116,207949963
201607,64000000,行,其他,187449,181154102
201608,64000000,行,博士,12082,13055095
201608,64000000,行,碩士,90596,89050852
201608,64000000,行,大學,349645,297905268
201608,64000000,行,專科,158409,143545180
201608,64000000,行,高中高職,221555,203275952
201608,64000000,行,其他,214060,191465728
201609,64000000,行,博士,10898,11934904
201609,64000000,行,碩士,79924,81567660
201609,64000000,行,大學,304090,268167848
201609,64000000,行,專科,135133,126814675
201609,64000000,行,高中高職,191496,179844062
201609,64000000,行,其他,193588,174181572
201610,64000000,行,博士,12491,12795022
201610,64000000,行,碩士,89273,94153862
201610,64000000,行,大學,337998,303524544
201610,64000000,行,專科,147945,139868612
201610,64000000,行,高中高職,211696,205497971
201610,64000000,行,其他,212745,195500736
201611,64000000,行,博士,12711,13020362
201611,64000000,行,碩士,87829,88902938
201611,64000000,行,大學,338381,296276738
201611,64000000,行,專科,152011,139176164
201611,64000000,行,高中高職,213736,205006644
201611,64000000,行,其他,217421,200623617
201612,64000000,行,博士,12801,14343604
201612,64000000,行,碩士,91021,96910874
201612,64000000,行,大學,352020,329176021
201612,64000000,行,專科,156481,150750120
201612,64000000,行,高中高職,221007,223909782
201612,64000000,行,其他,226499,222068113
201701,64000000,行,博士,11626,13357241
201701,64000000,行,碩士,84442,85821619
201701,64000000,行,大學,318203,293962575
201701,64000000,行,專科,136581,134909535
201701,64000000,行,高中高職,195678,201116964
201701,64000000,行,其他,197290,198154955
201702,64000000,行,博士,10204,10932183
201702,64000000,行,碩士,77280,80267270
201702,64000000,行,大學,293582,274447368
201702,64000000,行,專科,123318,119345293
201702,64000000,行,高中高職,179204,183584673
201702,64000000,行,其他,180444,181302816
201703,64000000,行,博士,12215,12371957
201703,64000000,行,碩士,87649,91759920
201703,64000000,行,大學,337787,312324775
201703,64000000,行,專科,142047,134901266
201703,64000000,行,高中高職,204855,211561809
201703,64000000,行,其他,211008,208689441
201704,64000000,行,博士,11764,12122336
201704,64000000,行,碩士,89612,90776473
201704,64000000,行,大學,346607,307646234
201704,64000000,行,專科,148734,137660879
201704,64000000,行,高中高職,215502,212937801
201704,64000000,行,其他,215433,202404402
201705,64000000,行,博士,12149,13005649
201705,64000000,行,碩士,89429,90210860
201705,64000000,行,大學,340193,305290532
201705,64000000,行,專科,138887,131619507
201705,64000000,行,高中高職,204764,200972505
201705,64000000,行,其他,207113,197229294
201706,64000000,行,博士,11179,12405464
201706,64000000,行,碩士,78650,83234696
201706,64000000,行,大學,300678,287001606
201706,64000000,行,專科,118037,118763992
201706,64000000,行,高中高職,175264,181252809
201706,64000000,行,其他,176410,175878222
201707,64000000,行,博士,11159,12738587
201707,64000000,行,碩士,82839,88639673
201707,64000000,行,大學,315521,293188230
201707,64000000,行,專科,124818,121865314
201707,64000000,行,高中高職,185349,183658861
201707,64000000,行,其他,181089,178753295
201708,64000000,行,博士,11289,12407476
201708,64000000,行,碩士,85850,92401146
201708,64000000,行,大學,325550,313385983
201708,64000000,行,專科,126987,126565632
201708,64000000,行,高中高職,188397,194797118
201708,64000000,行,其他,185665,187884508
201709,64000000,行,博士,11160,12562711
201709,64000000,行,碩士,82296,85340067
201709,64000000,行,大學,319644,294083216
201709,64000000,行,專科,122065,122424610
201709,64000000,行,高中高職,183009,189722700
201709,64000000,行,其他,179777,182614586
201710,64000000,行,博士,11492,12918421
201710,64000000,行,碩士,87759,100136963
201710,64000000,行,大學,338717,324477888
201710,64000000,行,專科,126595,128283670
201710,64000000,行,高中高職,192646,202585724
201710,64000000,行,其他,189491,195451116
