年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10017000,衣,博士,145,449367
201401,10017000,衣,碩士,1843,5016359
201401,10017000,衣,大學,10469,29637870
201401,10017000,衣,專科,7405,22415300
201401,10017000,衣,高中高職,11497,34269518
201401,10017000,衣,其他,7391,21741104
201402,10017000,衣,博士,73,148919
201402,10017000,衣,碩士,1182,2902346
201402,10017000,衣,大學,6749,17421240
201402,10017000,衣,專科,4104,11604648
201402,10017000,衣,高中高職,6654,18786514
201402,10017000,衣,其他,4620,13087463
201403,10017000,衣,博士,69,160826
201403,10017000,衣,碩士,1115,2836671
201403,10017000,衣,大學,7378,18386136
201403,10017000,衣,專科,4377,11451033
201403,10017000,衣,高中高職,7340,19661714
201403,10017000,衣,其他,5034,12888444
201404,10017000,衣,博士,79,169424
201404,10017000,衣,碩士,1118,2555883
201404,10017000,衣,大學,6965,16720735
201404,10017000,衣,專科,4162,11271475
201404,10017000,衣,高中高職,7053,18417783
201404,10017000,衣,其他,4826,12447317
201405,10017000,衣,博士,52,132049
201405,10017000,衣,碩士,1381,3391325
201405,10017000,衣,大學,8028,19150757
201405,10017000,衣,專科,5007,12897433
201405,10017000,衣,高中高職,8070,20808381
201405,10017000,衣,其他,5406,13509107
201406,10017000,衣,博士,80,167300
201406,10017000,衣,碩士,1262,2778360
201406,10017000,衣,大學,7912,18707003
201406,10017000,衣,專科,4827,11869276
201406,10017000,衣,高中高職,7919,19831539
201406,10017000,衣,其他,5500,13741480
201407,10017000,衣,博士,91,196840
201407,10017000,衣,碩士,1441,3475170
201407,10017000,衣,大學,7975,18023188
201407,10017000,衣,專科,5010,12391835
201407,10017000,衣,高中高職,8142,19822050
201407,10017000,衣,其他,5395,13007161
201408,10017000,衣,博士,93,287169
201408,10017000,衣,碩士,1490,3338701
201408,10017000,衣,大學,8472,18230413
201408,10017000,衣,專科,5328,12747704
201408,10017000,衣,高中高職,8395,19229862
201408,10017000,衣,其他,5880,13413415
201409,10017000,衣,博士,71,170376
201409,10017000,衣,碩士,1107,2510440
201409,10017000,衣,大學,6652,15601059
201409,10017000,衣,專科,4425,10909821
201409,10017000,衣,高中高職,7035,17605487
201409,10017000,衣,其他,4889,12396354
201410,10017000,衣,博士,80,200040
201410,10017000,衣,碩士,1378,3611609
201410,10017000,衣,大學,8201,22363682
201410,10017000,衣,專科,5091,14271419
201410,10017000,衣,高中高職,7988,23221651
201410,10017000,衣,其他,5546,15483412
201411,10017000,衣,博士,74,193459
201411,10017000,衣,碩士,1225,3402897
201411,10017000,衣,大學,7468,20687513
201411,10017000,衣,專科,4465,13577789
201411,10017000,衣,高中高職,7197,20579289
201411,10017000,衣,其他,5076,14911810
201412,10017000,衣,博士,107,297183
201412,10017000,衣,碩士,1450,3994938
201412,10017000,衣,大學,8812,24654547
201412,10017000,衣,專科,5453,16743265
201412,10017000,衣,高中高職,9141,27036627
201412,10017000,衣,其他,6353,18496256
201501,10017000,衣,博士,107,339438
201501,10017000,衣,碩士,1339,3641555
201501,10017000,衣,大學,8154,22302559
201501,10017000,衣,專科,5532,16821012
201501,10017000,衣,高中高職,8456,25507496
201501,10017000,衣,其他,5769,17332551
201502,10017000,衣,博士,125,548171
201502,10017000,衣,碩士,1630,4539993
201502,10017000,衣,大學,9391,26762223
201502,10017000,衣,專科,6128,18795848
201502,10017000,衣,高中高職,9496,28413952
201502,10017000,衣,其他,6513,19095815
201503,10017000,衣,博士,73,155755
201503,10017000,衣,碩士,1068,2895724
201503,10017000,衣,大學,6801,17837909
201503,10017000,衣,專科,4249,11755843
201503,10017000,衣,高中高職,6618,18595073
201503,10017000,衣,其他,4664,12807711
201504,10017000,衣,博士,79,246933
201504,10017000,衣,碩士,1161,2685251
201504,10017000,衣,大學,7449,18136643
201504,10017000,衣,專科,4583,12118035
201504,10017000,衣,高中高職,7338,19588045
201504,10017000,衣,其他,5085,13406088
201505,10017000,衣,博士,93,331233
201505,10017000,衣,碩士,1371,3180900
201505,10017000,衣,大學,8481,20705593
201505,10017000,衣,專科,5209,13731756
201505,10017000,衣,高中高職,8274,21648002
201505,10017000,衣,其他,5929,15364990
201506,10017000,衣,博士,82,194682
201506,10017000,衣,碩士,1414,3202387
201506,10017000,衣,大學,8269,18474413
201506,10017000,衣,專科,5036,13105916
201506,10017000,衣,高中高職,8043,19891710
201506,10017000,衣,其他,5576,13157991
201507,10017000,衣,博士,118,301456
201507,10017000,衣,碩士,1473,3708287
201507,10017000,衣,大學,8218,18525411
201507,10017000,衣,專科,5051,12226852
201507,10017000,衣,高中高職,7795,18957280
201507,10017000,衣,其他,5356,12304836
201508,10017000,衣,博士,80,187864
201508,10017000,衣,碩士,1390,2965365
201508,10017000,衣,大學,7904,17319849
201508,10017000,衣,專科,5021,12172846
201508,10017000,衣,高中高職,7518,18353365
201508,10017000,衣,其他,5272,12474358
201509,10017000,衣,博士,83,296684
201509,10017000,衣,碩士,1141,2932908
201509,10017000,衣,大學,6999,16904661
201509,10017000,衣,專科,4186,10478450
201509,10017000,衣,高中高職,6824,17508920
201509,10017000,衣,其他,4760,11813598
201510,10017000,衣,博士,91,257395
201510,10017000,衣,碩士,1301,3339160
201510,10017000,衣,大學,8034,21390245
201510,10017000,衣,專科,5033,14706050
201510,10017000,衣,高中高職,8026,23377427
201510,10017000,衣,其他,5530,15810259
201511,10017000,衣,博士,89,204612
201511,10017000,衣,碩士,1206,3127837
201511,10017000,衣,大學,7674,20178624
201511,10017000,衣,專科,4706,13930806
201511,10017000,衣,高中高職,7150,20415697
201511,10017000,衣,其他,4935,13775722
201512,10017000,衣,博士,89,325419
201512,10017000,衣,碩士,1404,3675429
201512,10017000,衣,大學,8670,23630622
201512,10017000,衣,專科,5491,15897919
201512,10017000,衣,高中高職,8269,23852342
201512,10017000,衣,其他,5837,16432001
201601,10017000,衣,博士,115,492595
201601,10017000,衣,碩士,1596,4453557
201601,10017000,衣,大學,9532,26180651
201601,10017000,衣,專科,6390,20114328
201601,10017000,衣,高中高職,9850,29667979
201601,10017000,衣,其他,6641,19800823
201602,10017000,衣,博士,110,244773
201602,10017000,衣,碩士,1519,3960126
201602,10017000,衣,大學,8652,24157839
201602,10017000,衣,專科,5556,16541420
201602,10017000,衣,高中高職,8603,24903554
201602,10017000,衣,其他,5676,16606246
201603,10017000,衣,博士,72,205635
