年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10017000,百貨,博士,23,68317
201401,10017000,百貨,碩士,266,727279
201401,10017000,百貨,大學,1689,4105914
201401,10017000,百貨,專科,1063,2922481
201401,10017000,百貨,高中高職,1721,5307490
201401,10017000,百貨,其他,1185,3674005
201402,10017000,百貨,博士,15,17737
201402,10017000,百貨,碩士,212,505138
201402,10017000,百貨,大學,1227,2639857
201402,10017000,百貨,專科,809,2022345
201402,10017000,百貨,高中高職,1113,3021385
201402,10017000,百貨,其他,729,1879966
201403,10017000,百貨,博士,12,18208
201403,10017000,百貨,碩士,177,355485
201403,10017000,百貨,大學,1153,2276526
201403,10017000,百貨,專科,781,1747730
201403,10017000,百貨,高中高職,1178,3136102
201403,10017000,百貨,其他,811,2297175
201404,10017000,百貨,博士,15,34176
201404,10017000,百貨,碩士,240,550905
201404,10017000,百貨,大學,1895,4645599
201404,10017000,百貨,專科,1266,3419134
201404,10017000,百貨,高中高職,2316,7901639
201404,10017000,百貨,其他,1597,4785690
201405,10017000,百貨,博士,25,27730
201405,10017000,百貨,碩士,310,610389
201405,10017000,百貨,大學,2115,4533471
201405,10017000,百貨,專科,1378,3254216
201405,10017000,百貨,高中高職,2539,6607798
201405,10017000,百貨,其他,1832,4601659
201406,10017000,百貨,博士,25,61226
201406,10017000,百貨,碩士,325,659655
201406,10017000,百貨,大學,1967,3712382
201406,10017000,百貨,專科,1295,2839328
201406,10017000,百貨,高中高職,2164,5226619
201406,10017000,百貨,其他,1642,4009665
201407,10017000,百貨,博士,24,75709
201407,10017000,百貨,碩士,380,775862
201407,10017000,百貨,大學,2225,4205214
201407,10017000,百貨,專科,1423,2971901
201407,10017000,百貨,高中高職,2469,5844918
201407,10017000,百貨,其他,1793,4035476
201408,10017000,百貨,博士,18,39640
201408,10017000,百貨,碩士,366,627601
201408,10017000,百貨,大學,2247,4182590
201408,10017000,百貨,專科,1462,2683472
201408,10017000,百貨,高中高職,2425,5610745
201408,10017000,百貨,其他,1748,3906697
201409,10017000,百貨,博士,17,19876
201409,10017000,百貨,碩士,346,530655
201409,10017000,百貨,大學,2158,4128860
201409,10017000,百貨,專科,1335,2852450
201409,10017000,百貨,高中高職,2171,5097494
201409,10017000,百貨,其他,1712,3903827
201410,10017000,百貨,博士,22,46612
201410,10017000,百貨,碩士,341,761013
201410,10017000,百貨,大學,2254,6237137
201410,10017000,百貨,專科,1470,4223738
201410,10017000,百貨,高中高職,2645,9747662
201410,10017000,百貨,其他,1831,6666133
201411,10017000,百貨,博士,10,4963
201411,10017000,百貨,碩士,199,488692
201411,10017000,百貨,大學,1349,3402564
201411,10017000,百貨,專科,828,2004870
201411,10017000,百貨,高中高職,1481,4861371
201411,10017000,百貨,其他,946,2999551
201412,10017000,百貨,博士,16,60393
201412,10017000,百貨,碩士,230,821791
201412,10017000,百貨,大學,1317,3656390
201412,10017000,百貨,專科,920,2615561
201412,10017000,百貨,高中高職,1367,5133803
201412,10017000,百貨,其他,951,2920906
201501,10017000,百貨,博士,16,108653
201501,10017000,百貨,碩士,207,570407
201501,10017000,百貨,大學,1318,4251662
201501,10017000,百貨,專科,926,3048513
201501,10017000,百貨,高中高職,1381,5684718
201501,10017000,百貨,其他,892,3054469
201502,10017000,百貨,博士,10,150180
201502,10017000,百貨,碩士,193,415292
201502,10017000,百貨,大學,1298,3526413
201502,10017000,百貨,專科,794,2196670
201502,10017000,百貨,高中高職,1224,5323128
201502,10017000,百貨,其他,900,2828597
201503,10017000,百貨,博士,22,52398
201503,10017000,百貨,碩士,154,378621
201503,10017000,百貨,大學,1254,3737221
201503,10017000,百貨,專科,892,2267876
201503,10017000,百貨,高中高職,1308,5862142
201503,10017000,百貨,其他,905,4109282
201504,10017000,百貨,博士,27,53689
201504,10017000,百貨,碩士,285,462631
201504,10017000,百貨,大學,1955,5734889
201504,10017000,百貨,專科,1313,3462490
201504,10017000,百貨,高中高職,2458,10063427
201504,10017000,百貨,其他,1673,5873050
201505,10017000,百貨,博士,35,177931
201505,10017000,百貨,碩士,456,987547
201505,10017000,百貨,大學,2998,7581490
201505,10017000,百貨,專科,1882,5141542
201505,10017000,百貨,高中高職,3453,10793561
201505,10017000,百貨,其他,2432,7038952
201506,10017000,百貨,博士,28,35621
201506,10017000,百貨,碩士,373,697513
201506,10017000,百貨,大學,2356,6095717
201506,10017000,百貨,專科,1489,3939999
201506,10017000,百貨,高中高職,2467,7917433
201506,10017000,百貨,其他,1757,4950665
201507,10017000,百貨,博士,30,77168
201507,10017000,百貨,碩士,338,834486
201507,10017000,百貨,大學,2139,6021200
201507,10017000,百貨,專科,1402,4286013
201507,10017000,百貨,高中高職,2332,9008126
201507,10017000,百貨,其他,1561,4606593
201508,10017000,百貨,博士,29,34078
201508,10017000,百貨,碩士,315,632182
201508,10017000,百貨,大學,2030,5536078
201508,10017000,百貨,專科,1385,3488403
201508,10017000,百貨,高中高職,2240,7745969
201508,10017000,百貨,其他,1507,3920273
201509,10017000,百貨,博士,32,62320
201509,10017000,百貨,碩士,300,801452
201509,10017000,百貨,大學,2275,5700999
201509,10017000,百貨,專科,1498,3395445
201509,10017000,百貨,高中高職,2618,8735106
201509,10017000,百貨,其他,1682,5123002
201510,10017000,百貨,博士,35,55278
201510,10017000,百貨,碩士,409,1220715
201510,10017000,百貨,大學,2584,9212822
201510,10017000,百貨,專科,1670,5837385
201510,10017000,百貨,高中高職,3092,13153458
201510,10017000,百貨,其他,1962,8306879
201511,10017000,百貨,博士,30,49678
201511,10017000,百貨,碩士,347,778091
201511,10017000,百貨,大學,2386,6327964
201511,10017000,百貨,專科,1592,4464854
201511,10017000,百貨,高中高職,2908,9397708
201511,10017000,百貨,其他,1948,5214919
201512,10017000,百貨,博士,36,193912
201512,10017000,百貨,碩士,325,700865
201512,10017000,百貨,大學,2302,6198601
201512,10017000,百貨,專科,1475,3668596
201512,10017000,百貨,高中高職,2731,8310114
201512,10017000,百貨,其他,1894,4940873
201601,10017000,百貨,博士,25,55610
201601,10017000,百貨,碩士,289,641305
201601,10017000,百貨,大學,1696,5081002
201601,10017000,百貨,專科,1130,3845720
201601,10017000,百貨,高中高職,1741,7530586
201601,10017000,百貨,其他,1415,8325088
201602,10017000,百貨,博士,16,17904
201602,10017000,百貨,碩士,305,576473
201602,10017000,百貨,大學,1816,4619260
201602,10017000,百貨,專科,1172,3206466
201602,10017000,百貨,高中高職,1931,6481261
201602,10017000,百貨,其他,1323,4596005
201603,10017000,百貨,博士,16,28801
201603,10017000,百貨,碩士,251,472651
201603,10017000,百貨,大學,1858,4161836
201603,10017000,百貨,專科,1236,2905442
201603,10017000,百貨,高中高職,2207,8114414
201603,10017000,百貨,其他,1549,4795527
201604,10017000,百貨,博士,21,36670
201604,10017000,百貨,碩士,347,789149
201604,10017000,百貨,大學,2355,6870470
201604,10017000,百貨,專科,1448,3838660
201604,10017000,百貨,高中高職,2622,8590513
201604,10017000,百貨,其他,1884,6213587
201605,10017000,百貨,博士,32,30160
201605,10017000,百貨,碩士,455,968384
201605,10017000,百貨,大學,2873,6634059
201605,10017000,百貨,專科,1724,4508347
201605,10017000,百貨,高中高職,2957,8704233
201605,10017000,百貨,其他,2209,6266993
201606,10017000,百貨,博士,24,69562
201606,10017000,百貨,碩士,445,753677
201606,10017000,百貨,大學,2582,5608176
201606,10017000,百貨,專科,1714,3903810
201606,10017000,百貨,高中高職,2735,7749846
201606,10017000,百貨,其他,1896,5681468
201607,10017000,百貨,博士,38,90744
201607,10017000,百貨,碩士,390,638699
201607,10017000,百貨,大學,2415,4897375
201607,10017000,百貨,專科,1539,3008623
201607,10017000,百貨,高中高職,2478,5908145
201607,10017000,百貨,其他,1783,4211532
201608,10017000,百貨,博士,34,85118
201608,10017000,百貨,碩士,429,741124
201608,10017000,百貨,大學,2554,4805962
201608,10017000,百貨,專科,1610,3352848
201608,10017000,百貨,高中高職,2528,5592669
201608,10017000,百貨,其他,1963,4466619
201609,10017000,百貨,博士,22,38261
201609,10017000,百貨,碩士,375,570689
201609,10017000,百貨,大學,2441,4523198
201609,10017000,百貨,專科,1369,3168469
201609,10017000,百貨,高中高職,2403,6254982
201609,10017000,百貨,其他,1898,4881099
201610,10017000,百貨,博士,21,40592
201610,10017000,百貨,碩士,346,602818
201610,10017000,百貨,大學,2516,6145603
201610,10017000,百貨,專科,1545,4475555
201610,10017000,百貨,高中高職,2760,9571085
201610,10017000,百貨,其他,1929,6899574
201611,10017000,百貨,博士,18,20580
201611,10017000,百貨,碩士,353,734934
201611,10017000,百貨,大學,2289,4606289
201611,10017000,百貨,專科,1536,3186460
201611,10017000,百貨,高中高職,2700,6642629
201611,10017000,百貨,其他,1816,4498997
201612,10017000,百貨,博士,22,55030
201612,10017000,百貨,碩士,361,661114
201612,10017000,百貨,大學,2143,4215085
201612,10017000,百貨,專科,1374,2751555
201612,10017000,百貨,高中高職,2272,4944875
201612,10017000,百貨,其他,1635,4102719
201701,10017000,百貨,博士,37,67354
201701,10017000,百貨,碩士,328,603853
201701,10017000,百貨,大學,1968,4183402
201701,10017000,百貨,專科,1246,2831544
201701,10017000,百貨,高中高職,1943,4913213
201701,10017000,百貨,其他,1521,7710434
201702,10017000,百貨,博士,17,12653
201702,10017000,百貨,碩士,268,458442
201702,10017000,百貨,大學,1839,3432821
201702,10017000,百貨,專科,1150,2566029
201702,10017000,百貨,高中高職,2090,4601632
201702,10017000,百貨,其他,1430,3345389
201703,10017000,百貨,博士,18,61855
201703,10017000,百貨,碩士,288,604756
201703,10017000,百貨,大學,2029,3785672
201703,10017000,百貨,專科,1399,2669706
201703,10017000,百貨,高中高職,2373,4851828
201703,10017000,百貨,其他,1701,3704045
201704,10017000,百貨,博士,29,58536
201704,10017000,百貨,碩士,423,818382
201704,10017000,百貨,大學,2472,5218177
201704,10017000,百貨,專科,1675,3841120
201704,10017000,百貨,高中高職,2940,8077401
201704,10017000,百貨,其他,1862,4849673
201705,10017000,百貨,博士,31,48906
201705,10017000,百貨,碩士,414,790154
201705,10017000,百貨,大學,2910,5487687
201705,10017000,百貨,專科,1720,3527464
201705,10017000,百貨,高中高職,2928,6737239
201705,10017000,百貨,其他,1942,4676699
201706,10017000,百貨,博士,49,119040
201706,10017000,百貨,碩士,552,924025
201706,10017000,百貨,大學,3154,5836620
201706,10017000,百貨,專科,2021,4132640
201706,10017000,百貨,高中高職,3381,7806905
201706,10017000,百貨,其他,2503,6039984
201707,10017000,百貨,博士,37,47376
201707,10017000,百貨,碩士,504,977644
201707,10017000,百貨,大學,3153,5832678
201707,10017000,百貨,專科,1840,3588427
201707,10017000,百貨,高中高職,2985,6578919
201707,10017000,百貨,其他,2121,4760356
201708,10017000,百貨,博士,37,69194
201708,10017000,百貨,碩士,541,1049005
201708,10017000,百貨,大學,2802,5117220
201708,10017000,百貨,專科,1735,3423306
201708,10017000,百貨,高中高職,2879,6481884
201708,10017000,百貨,其他,2227,5087775
201709,10017000,百貨,博士,44,103550
201709,10017000,百貨,碩士,414,581727
201709,10017000,百貨,大學,2431,3920906
201709,10017000,百貨,專科,1438,2821550
201709,10017000,百貨,高中高職,2662,5510043
201709,10017000,百貨,其他,1857,4133617
201710,10017000,百貨,博士,43,129223
201710,10017000,百貨,碩士,474,967572
201710,10017000,百貨,大學,2765,6151704
201710,10017000,百貨,專科,1564,4275034
201710,10017000,百貨,高中高職,2851,8673065
201710,10017000,百貨,其他,2058,5715455
201711,10017000,百貨,博士,32,66760
201711,10017000,百貨,碩士,359,596762
201711,10017000,百貨,大學,2380,4700749
201711,10017000,百貨,專科,1533,3585228
201711,10017000,百貨,高中高職,2681,6674253
201711,10017000,百貨,其他,1921,5384185
201712,10017000,百貨,博士,29,34535
201712,10017000,百貨,碩士,322,568318
201712,10017000,百貨,大學,2086,3671097
201712,10017000,百貨,專科,1255,2443759
201712,10017000,百貨,高中高職,2276,4435339
201712,10017000,百貨,其他,1594,3205775
201801,10017000,百貨,博士,21,35540
201801,10017000,百貨,碩士,332,614687
201801,10017000,百貨,大學,2023,3576200
201801,10017000,百貨,專科,1299,2410510
201801,10017000,百貨,高中高職,2296,5181412
201801,10017000,百貨,其他,1565,3974239
201802,10017000,百貨,博士,45,71873
201802,10017000,百貨,碩士,490,599571
201802,10017000,百貨,大學,2847,4454702
201802,10017000,百貨,專科,1516,2724395
201802,10017000,百貨,高中高職,2402,4588011
