年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10017000,文教康樂,博士,59,781079
201401,10017000,文教康樂,碩士,684,2635303
201401,10017000,文教康樂,大學,3616,11514491
201401,10017000,文教康樂,專科,2013,5792004
201401,10017000,文教康樂,高中高職,2787,9928075
201401,10017000,文教康樂,其他,2077,6746424
201402,10017000,文教康樂,博士,41,135697
201402,10017000,文教康樂,碩士,535,1635458
201402,10017000,文教康樂,大學,3063,8221276
201402,10017000,文教康樂,專科,1801,5122211
201402,10017000,文教康樂,高中高職,2324,7221858
201402,10017000,文教康樂,其他,1827,4770537
201403,10017000,文教康樂,博士,37,179246
201403,10017000,文教康樂,碩士,618,1778631
201403,10017000,文教康樂,大學,3258,8819602
201403,10017000,文教康樂,專科,1798,5513438
201403,10017000,文教康樂,高中高職,2225,7244915
201403,10017000,文教康樂,其他,1860,5667853
201404,10017000,文教康樂,博士,31,26868
201404,10017000,文教康樂,碩士,493,1804039
201404,10017000,文教康樂,大學,2863,8804318
201404,10017000,文教康樂,專科,1576,4560027
201404,10017000,文教康樂,高中高職,2196,7940253
201404,10017000,文教康樂,其他,1743,5374632
201405,10017000,文教康樂,博士,41,130190
201405,10017000,文教康樂,碩士,636,2570072
201405,10017000,文教康樂,大學,3426,9991317
201405,10017000,文教康樂,專科,1885,7197551
201405,10017000,文教康樂,高中高職,2440,8653524
201405,10017000,文教康樂,其他,2014,6859651
201406,10017000,文教康樂,博士,50,115310
201406,10017000,文教康樂,碩士,635,2210365
201406,10017000,文教康樂,大學,3594,10739032
201406,10017000,文教康樂,專科,2063,5778262
201406,10017000,文教康樂,高中高職,2839,8761810
201406,10017000,文教康樂,其他,2180,6212291
201407,10017000,文教康樂,博士,45,130285
201407,10017000,文教康樂,碩士,593,2048537
201407,10017000,文教康樂,大學,3171,8541098
201407,10017000,文教康樂,專科,1888,5203467
201407,10017000,文教康樂,高中高職,2399,7925627
201407,10017000,文教康樂,其他,1851,5669320
201408,10017000,文教康樂,博士,55,320216
201408,10017000,文教康樂,碩士,650,2068898
201408,10017000,文教康樂,大學,3789,10932583
201408,10017000,文教康樂,專科,2171,6016618
201408,10017000,文教康樂,高中高職,2679,9028050
201408,10017000,文教康樂,其他,2282,6285759
201409,10017000,文教康樂,博士,44,114767
201409,10017000,文教康樂,碩士,551,2144159
201409,10017000,文教康樂,大學,3257,10461689
201409,10017000,文教康樂,專科,1799,5871900
201409,10017000,文教康樂,高中高職,2325,7852588
201409,10017000,文教康樂,其他,1950,6750718
201410,10017000,文教康樂,博士,57,220431
201410,10017000,文教康樂,碩士,620,2345532
201410,10017000,文教康樂,大學,3473,11580597
201410,10017000,文教康樂,專科,1883,6344700
201410,10017000,文教康樂,高中高職,2277,8158618
