年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10017000,食,博士,566,781756
201401,10017000,食,碩士,5368,7741457
201401,10017000,食,大學,27315,42035028
201401,10017000,食,專科,17391,26362101
201401,10017000,食,高中高職,29984,49433212
201401,10017000,食,其他,20628,34248595
201402,10017000,食,博士,460,507600
201402,10017000,食,碩士,4049,5128803
201402,10017000,食,大學,20205,25666247
201402,10017000,食,專科,12391,16330386
201402,10017000,食,高中高職,20527,27080666
201402,10017000,食,其他,13895,18400699
201403,10017000,食,博士,488,553159
201403,10017000,食,碩士,4259,5009098
201403,10017000,食,大學,22623,26004475
201403,10017000,食,專科,14407,17414467
201403,10017000,食,高中高職,24523,32130624
201403,10017000,食,其他,16190,20260054
201404,10017000,食,博士,450,546137
201404,10017000,食,碩士,4171,5025888
201404,10017000,食,大學,21528,24479934
201404,10017000,食,專科,13585,16066953
201404,10017000,食,高中高職,22972,29247962
201404,10017000,食,其他,15066,18643088
201405,10017000,食,博士,493,672580
201405,10017000,食,碩士,4613,5982811
201405,10017000,食,大學,24144,30342644
201405,10017000,食,專科,15129,20148365
201405,10017000,食,高中高職,25098,34919414
201405,10017000,食,其他,16675,22593454
201406,10017000,食,博士,497,571444
201406,10017000,食,碩士,4579,5599309
201406,10017000,食,大學,23038,26715589
201406,10017000,食,專科,14511,18189932
201406,10017000,食,高中高職,23865,32596395
201406,10017000,食,其他,16150,21018485
201407,10017000,食,博士,560,770506
201407,10017000,食,碩士,4937,5843060
201407,10017000,食,大學,25563,29287408
201407,10017000,食,專科,16440,20344250
201407,10017000,食,高中高職,27584,37305285
201407,10017000,食,其他,18732,25771324
201408,10017000,食,博士,547,664046
201408,10017000,食,碩士,5101,7167125
201408,10017000,食,大學,25716,35919945
201408,10017000,食,專科,16347,23530967
201408,10017000,食,高中高職,27249,41974065
201408,10017000,食,其他,18691,28617228
201409,10017000,食,博士,452,520013
201409,10017000,食,碩士,4361,5266495
201409,10017000,食,大學,22730,27233089
201409,10017000,食,專科,14503,18065143
201409,10017000,食,高中高職,24236,32393458
201409,10017000,食,其他,15724,20385499
201410,10017000,食,博士,486,620911
201410,10017000,食,碩士,4141,5714469
201410,10017000,食,大學,22241,26723477
201410,10017000,食,專科,14241,18617626
201410,10017000,食,高中高職,23812,32488728
201410,10017000,食,其他,15716,19972584
201411,10017000,食,博士,492,612787
201411,10017000,食,碩士,4211,4996113
201411,10017000,食,大學,21852,24936694
201411,10017000,食,專科,13881,17117607
201411,10017000,食,高中高職,22994,29607731
201411,10017000,食,其他,15411,19028223
201412,10017000,食,博士,480,525207
201412,10017000,食,碩士,4468,5505416
201412,10017000,食,大學,22893,27125318
201412,10017000,食,專科,15054,19346994
201412,10017000,食,高中高職,24799,33085484
201412,10017000,食,其他,16670,22050953
201501,10017000,食,博士,523,771060
