年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10017000,住,博士,78,423171
201401,10017000,住,碩士,938,4849934
201401,10017000,住,大學,4009,21555487
201401,10017000,住,專科,2048,12051073
201401,10017000,住,高中高職,3047,17977695
201401,10017000,住,其他,2226,13906550
201402,10017000,住,博士,53,256629
201402,10017000,住,碩士,628,2816688
201402,10017000,住,大學,2872,15391867
201402,10017000,住,專科,1535,7781755
201402,10017000,住,高中高職,2345,14580666
201402,10017000,住,其他,1604,9590718
201403,10017000,住,博士,58,167905
201403,10017000,住,碩士,626,2988486
201403,10017000,住,大學,2869,15550240
201403,10017000,住,專科,1451,8521307
201403,10017000,住,高中高職,2227,12099098
201403,10017000,住,其他,1670,10242254
201404,10017000,住,博士,57,370880
201404,10017000,住,碩士,646,3613051
201404,10017000,住,大學,3059,20222273
201404,10017000,住,專科,1652,10279615
201404,10017000,住,高中高職,2360,17582877
201404,10017000,住,其他,1858,12979488
201405,10017000,住,博士,57,476844
201405,10017000,住,碩士,638,2950214
201405,10017000,住,大學,3021,16607204
201405,10017000,住,專科,1511,9178541
201405,10017000,住,高中高職,2301,15028155
201405,10017000,住,其他,1808,12675030
201406,10017000,住,博士,67,651060
201406,10017000,住,碩士,668,3340767
201406,10017000,住,大學,3085,19433936
201406,10017000,住,專科,1588,9814880
201406,10017000,住,高中高職,2386,17179142
201406,10017000,住,其他,1872,12321053
201407,10017000,住,博士,81,581374
201407,10017000,住,碩士,854,4697822
201407,10017000,住,大學,4017,24923369
201407,10017000,住,專科,2027,13308908
201407,10017000,住,高中高職,3012,21832401
201407,10017000,住,其他,2176,14650127
201408,10017000,住,博士,84,547619
201408,10017000,住,碩士,851,4073463
201408,10017000,住,大學,3648,18871726
201408,10017000,住,專科,1934,10036499
201408,10017000,住,高中高職,2800,16726464
201408,10017000,住,其他,2064,12834093
201409,10017000,住,博士,61,360600
201409,10017000,住,碩士,632,2803863
201409,10017000,住,大學,2921,14372908
201409,10017000,住,專科,1437,8470796
201409,10017000,住,高中高職,2306,14918766
201409,10017000,住,其他,1612,10716364
201410,10017000,住,博士,47,112441
201410,10017000,住,碩士,663,2855348
201410,10017000,住,大學,2811,13233348
201410,10017000,住,專科,1477,6772317
201410,10017000,住,高中高職,2282,12609083
201410,10017000,住,其他,1637,8975722
201411,10017000,住,博士,51,146079
201411,10017000,住,碩士,619,2895593
201411,10017000,住,大學,2820,14604029
201411,10017000,住,專科,1484,9204839
201411,10017000,住,高中高職,2303,14452002
201411,10017000,住,其他,1702,10787464
201412,10017000,住,博士,63,381799
201412,10017000,住,碩士,574,2920542
201412,10017000,住,大學,2765,14763432
201412,10017000,住,專科,1442,9201054
201412,10017000,住,高中高職,2285,12854395
201412,10017000,住,其他,1648,9819004
201501,10017000,住,博士,52,285898
201501,10017000,住,碩士,689,3196933
201501,10017000,住,大學,3050,17849913
201501,10017000,住,專科,1712,9324638
201501,10017000,住,高中高職,2566,16323787
201501,10017000,住,其他,1879,13775600
201502,10017000,住,博士,54,296614
201502,10017000,住,碩士,660,3143575
201502,10017000,住,大學,3046,16374207
201502,10017000,住,專科,1733,9848860
201502,10017000,住,高中高職,2448,15221698
201502,10017000,住,其他,1927,11640513
201503,10017000,住,博士,52,249109
201503,10017000,住,碩士,533,2831647
201503,10017000,住,大學,2450,11938788
201503,10017000,住,專科,1436,7662678
201503,10017000,住,高中高職,2110,12238627
201503,10017000,住,其他,1514,8673597
201504,10017000,住,博士,47,588553
201504,10017000,住,碩士,648,3238335
201504,10017000,住,大學,2971,17768412
201504,10017000,住,專科,1609,10710605
201504,10017000,住,高中高職,2395,18337817
201504,10017000,住,其他,1664,12599587
201505,10017000,住,博士,64,378767
201505,10017000,住,碩士,613,3221073
