年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10017000,其他,博士,139,722632
201401,10017000,其他,碩士,3527,10816733
201401,10017000,其他,大學,13274,49099435
201401,10017000,其他,專科,4852,24388339
201401,10017000,其他,高中高職,8501,44482104
201401,10017000,其他,其他,5964,32124851
201402,10017000,其他,博士,75,524267
201402,10017000,其他,碩士,2966,10099492
201402,10017000,其他,大學,10855,38178842
201402,10017000,其他,專科,3748,17486920
201402,10017000,其他,高中高職,6750,33634163
201402,10017000,其他,其他,4448,22820550
201403,10017000,其他,博士,103,455667
201403,10017000,其他,碩士,3484,10985978
201403,10017000,其他,大學,12735,43288058
201403,10017000,其他,專科,4005,19237903
201403,10017000,其他,高中高職,7639,34345204
201403,10017000,其他,其他,5069,24543238
201404,10017000,其他,博士,85,686568
201404,10017000,其他,碩士,3289,9020794
201404,10017000,其他,大學,12255,40076231
201404,10017000,其他,專科,3985,18061693
201404,10017000,其他,高中高職,7164,35384554
201404,10017000,其他,其他,4893,21778270
201405,10017000,其他,博士,119,620490
201405,10017000,其他,碩士,3426,8123281
201405,10017000,其他,大學,12852,42327701
201405,10017000,其他,專科,4281,20864525
201405,10017000,其他,高中高職,7821,37065338
201405,10017000,其他,其他,5359,25348696
201406,10017000,其他,博士,128,739757
201406,10017000,其他,碩士,3405,9189819
201406,10017000,其他,大學,12650,42220464
201406,10017000,其他,專科,4346,20268144
201406,10017000,其他,高中高職,7748,35987111
201406,10017000,其他,其他,5334,23801879
201407,10017000,其他,博士,104,540985
201407,10017000,其他,碩士,1294,6839019
201407,10017000,其他,大學,6981,31591278
201407,10017000,其他,專科,4504,21060906
201407,10017000,其他,高中高職,6917,34381912
201407,10017000,其他,其他,4819,24283429
201408,10017000,其他,博士,94,410355
201408,10017000,其他,碩士,3617,10596071
201408,10017000,其他,大學,13181,46534301
201408,10017000,其他,專科,4457,20488840
201408,10017000,其他,高中高職,7902,36671302
201408,10017000,其他,其他,5321,26249801
201409,10017000,其他,博士,103,802771
201409,10017000,其他,碩士,3713,13469843
201409,10017000,其他,大學,13824,58347881
201409,10017000,其他,專科,4415,19469511
201409,10017000,其他,高中高職,8101,40553076
201409,10017000,其他,其他,5383,25816192
201410,10017000,其他,博士,147,1850852
201410,10017000,其他,碩士,4106,14263186
201410,10017000,其他,大學,15136,61604336
201410,10017000,其他,專科,4903,22744892
201410,10017000,其他,高中高職,8696,41141775
201410,10017000,其他,其他,5911,31343754
201411,10017000,其他,博士,122,807571
201411,10017000,其他,碩士,3893,13527385
201411,10017000,其他,大學,14437,55095462
201411,10017000,其他,專科,4590,23069371
201411,10017000,其他,高中高職,8340,42145298
201411,10017000,其他,其他,5541,27452168
201412,10017000,其他,博士,134,779713
201412,10017000,其他,碩士,4210,13216375
201412,10017000,其他,大學,15304,56203654
201412,10017000,其他,專科,4757,24071224
201412,10017000,其他,高中高職,8754,42735890
201412,10017000,其他,其他,5960,30276863
201501,10017000,其他,博士,98,475889
201501,10017000,其他,碩士,3751,11965435
201501,10017000,其他,大學,14479,54332477
201501,10017000,其他,專科,4814,23981682
201501,10017000,其他,高中高職,8635,44308502
201501,10017000,其他,其他,5979,31888048
201502,10017000,其他,博士,110,435469
201502,10017000,其他,碩士,3433,9834980
201502,10017000,其他,大學,12473,45728956
201502,10017000,其他,專科,4373,21338030
201502,10017000,其他,高中高職,7306,36183771
201502,10017000,其他,其他,5281,27203720
201503,10017000,其他,博士,111,624237
201503,10017000,其他,碩士,3665,9584130
201503,10017000,其他,大學,13902,47502133
201503,10017000,其他,專科,4401,21317667
201503,10017000,其他,高中高職,7922,37486368
201503,10017000,其他,其他,5460,26703085
201504,10017000,其他,博士,118,767770
201504,10017000,其他,碩士,3819,10357588
201504,10017000,其他,大學,13609,47562296
201504,10017000,其他,專科,4445,22369917
201504,10017000,其他,高中高職,7857,41323854
201504,10017000,其他,其他,5522,28356314
201505,10017000,其他,博士,133,1027173
201505,10017000,其他,碩士,2856,10118553
201505,10017000,其他,大學,11777,48965556
201505,10017000,其他,專科,4718,23801380
201505,10017000,其他,高中高職,7587,40295274
201505,10017000,其他,其他,5543,29976316
201506,10017000,其他,博士,145,1239168
201506,10017000,其他,碩士,4138,11589829
201506,10017000,其他,大學,15142,54169931
201506,10017000,其他,專科,4842,29195308
201506,10017000,其他,高中高職,8546,45955964
201506,10017000,其他,其他,5897,31058135
201507,10017000,其他,博士,158,1207065
201507,10017000,其他,碩士,4216,12381554
201507,10017000,其他,大學,15674,55940040
201507,10017000,其他,專科,4876,27440038
201507,10017000,其他,高中高職,8509,43540026
201507,10017000,其他,其他,6037,30393587
201508,10017000,其他,博士,137,889191
201508,10017000,其他,碩士,4383,14466082
201508,10017000,其他,大學,15720,58695710
201508,10017000,其他,專科,4767,24837280
201508,10017000,其他,高中高職,8469,44612855
201508,10017000,其他,其他,5846,28884771
201509,10017000,其他,博士,131,710852
201509,10017000,其他,碩士,4221,12962489
201509,10017000,其他,大學,15668,56927770
201509,10017000,其他,專科,4655,22484267
201509,10017000,其他,高中高職,8129,40988917
201509,10017000,其他,其他,5820,29616082
201510,10017000,其他,博士,131,611067
201510,10017000,其他,碩士,4484,14564192
201510,10017000,其他,大學,16706,66382213
201510,10017000,其他,專科,5123,24567212
201510,10017000,其他,高中高職,9204,48962948
201510,10017000,其他,其他,6503,31529608
201511,10017000,其他,博士,129,658548
201511,10017000,其他,碩士,4293,12980176
201511,10017000,其他,大學,16710,69636293
201511,10017000,其他,專科,5291,31598473
201511,10017000,其他,高中高職,8815,53074823
201511,10017000,其他,其他,6273,37445973
201512,10017000,其他,博士,147,1175134
201512,10017000,其他,碩士,4197,14384361
201512,10017000,其他,大學,15684,65462429
201512,10017000,其他,專科,5272,32659661
201512,10017000,其他,高中高職,8991,55654309
201512,10017000,其他,其他,6484,38028596
201601,10017000,其他,博士,152,1504999
201601,10017000,其他,碩士,4233,14664547
201601,10017000,其他,大學,15916,62044907
201601,10017000,其他,專科,4861,32271193
201601,10017000,其他,高中高職,8483,54831752
201601,10017000,其他,其他,5954,36449032
201602,10017000,其他,博士,121,922548
201602,10017000,其他,碩士,4165,13343724
201602,10017000,其他,大學,14138,57467049
201602,10017000,其他,專科,4387,27802477
201602,10017000,其他,高中高職,7453,46372608
201602,10017000,其他,其他,5405,32472184
201603,10017000,其他,博士,135,950887
201603,10017000,其他,碩士,4727,14853984
201603,10017000,其他,大學,17064,75827903
201603,10017000,其他,專科,5149,37872871
201603,10017000,其他,高中高職,9220,68273196
201603,10017000,其他,其他,6202,43455656
201604,10017000,其他,博士,129,701929
201604,10017000,其他,碩士,4264,13782936
201604,10017000,其他,大學,15773,75287386
201604,10017000,其他,專科,4881,39839695
201604,10017000,其他,高中高職,8651,64952414
201604,10017000,其他,其他,6095,44418373
201605,10017000,其他,博士,158,876550
201605,10017000,其他,碩士,1783,10637472
201605,10017000,其他,大學,10005,62378616
201605,10017000,其他,專科,5476,35875846
201605,10017000,其他,高中高職,8452,59939041
201605,10017000,其他,其他,6010,39126814
201606,10017000,其他,博士,192,1156836
201606,10017000,其他,碩士,2403,10465912
201606,10017000,其他,大學,13511,65568851
201606,10017000,其他,專科,7305,37162205
201606,10017000,其他,高中高職,10807,63845176
201606,10017000,其他,其他,8152,43698896
201607,10017000,其他,博士,170,926683
201607,10017000,其他,碩士,5130,15602261
201607,10017000,其他,大學,21130,77250185
201607,10017000,其他,專科,6871,36313087
201607,10017000,其他,高中高職,11475,62993212
201607,10017000,其他,其他,8427,43161724
201608,10017000,其他,博士,143,660286
201608,10017000,其他,碩士,5007,13504115
201608,10017000,其他,大學,19412,60048532
201608,10017000,其他,專科,6308,25556604
201608,10017000,其他,高中高職,10676,43596383
201608,10017000,其他,其他,7865,30580257
201609,10017000,其他,博士,151,906767
201609,10017000,其他,碩士,4623,13080108
201609,10017000,其他,大學,18496,59856589
201609,10017000,其他,專科,5774,22909439
201609,10017000,其他,高中高職,9868,41712885
201609,10017000,其他,其他,7323,28915085
201610,10017000,其他,博士,158,690347
201610,10017000,其他,碩士,4883,14723333
201610,10017000,其他,大學,19234,62308114
201610,10017000,其他,專科,6726,26042691
201610,10017000,其他,高中高職,10772,44424836
201610,10017000,其他,其他,8105,30552041
201611,10017000,其他,博士,177,935333
201611,10017000,其他,碩士,3683,11512563
201611,10017000,其他,大學,16548,55690635
201611,10017000,其他,專科,6065,26259431
201611,10017000,其他,高中高職,9918,46328682
201611,10017000,其他,其他,7155,33045708
201612,10017000,其他,博士,151,654149
201612,10017000,其他,碩士,3903,12852084
201612,10017000,其他,大學,16750,59261566
201612,10017000,其他,專科,6306,27987991
201612,10017000,其他,高中高職,10134,46824300
201612,10017000,其他,其他,7372,31418039
201701,10017000,其他,博士,162,766440
201701,10017000,其他,碩士,3577,10401824
201701,10017000,其他,大學,15701,50450940
201701,10017000,其他,專科,5843,24024897
201701,10017000,其他,高中高職,9446,43091463
201701,10017000,其他,其他,7120,29417275
201702,10017000,其他,博士,142,626348
201702,10017000,其他,碩士,3645,9953719
201702,10017000,其他,大學,14797,45536878
201702,10017000,其他,專科,5354,19685445
201702,10017000,其他,高中高職,8632,36459246
201702,10017000,其他,其他,6433,24631372
201703,10017000,其他,博士,145,721876
201703,10017000,其他,碩士,3840,9373439
201703,10017000,其他,大學,16024,49545261
201703,10017000,其他,專科,5793,23218990
201703,10017000,其他,高中高職,9648,41922732
201703,10017000,其他,其他,7055,27946239
201704,10017000,其他,博士,151,694035
201704,10017000,其他,碩士,3447,10619609
201704,10017000,其他,大學,14653,44942699
201704,10017000,其他,專科,5666,23338290
201704,10017000,其他,高中高職,9128,41096867
201704,10017000,其他,其他,6552,27316854
201705,10017000,其他,博士,151,648802
201705,10017000,其他,碩士,3816,10061902
201705,10017000,其他,大學,16498,51364516
201705,10017000,其他,專科,5738,24819811
201705,10017000,其他,高中高職,9382,41046274
201705,10017000,其他,其他,6849,28631572
201706,10017000,其他,博士,154,790755
201706,10017000,其他,碩士,3719,10236817
201706,10017000,其他,大學,15740,47108136
201706,10017000,其他,專科,5731,23131714
201706,10017000,其他,高中高職,9414,39380288
201706,10017000,其他,其他,6850,27786008
201707,10017000,其他,博士,191,944632
201707,10017000,其他,碩士,3876,10940997
201707,10017000,其他,大學,16442,52197927
201707,10017000,其他,專科,5937,22928503
201707,10017000,其他,高中高職,9747,42258125
201707,10017000,其他,其他,7277,30803944
201708,10017000,其他,博士,173,705384
201708,10017000,其他,碩士,3988,12950284
201708,10017000,其他,大學,16060,56083078
201708,10017000,其他,專科,6042,24589107
