年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,09020000,衣,博士,11,44981
201401,09020000,衣,碩士,131,374253
201401,09020000,衣,大學,870,2116683
201401,09020000,衣,專科,439,1295674
201401,09020000,衣,高中高職,1076,2950806
201401,09020000,衣,其他,717,1905304
201402,09020000,衣,博士,5,4924
201402,09020000,衣,碩士,86,222994
201402,09020000,衣,大學,454,1058033
201402,09020000,衣,專科,207,531114
201402,09020000,衣,高中高職,458,1147228
201402,09020000,衣,其他,333,726221
201403,09020000,衣,博士,7,10760
201403,09020000,衣,碩士,98,201088
201403,09020000,衣,大學,476,1012176
201403,09020000,衣,專科,211,452348
201403,09020000,衣,高中高職,504,1131499
201403,09020000,衣,其他,373,880851
201404,09020000,衣,博士,5,5112
201404,09020000,衣,碩士,88,235838
201404,09020000,衣,大學,551,1202349
201404,09020000,衣,專科,260,528528
201404,09020000,衣,高中高職,555,1258755
201404,09020000,衣,其他,397,862083
201405,09020000,衣,博士,9,12257
201405,09020000,衣,碩士,118,269636
201405,09020000,衣,大學,713,1261248
201405,09020000,衣,專科,297,645970
201405,09020000,衣,高中高職,690,1459646
201405,09020000,衣,其他,466,906667
201406,09020000,衣,博士,9,13780
201406,09020000,衣,碩士,114,266706
201406,09020000,衣,大學,604,1204625
201406,09020000,衣,專科,266,522141
201406,09020000,衣,高中高職,631,1471517
201406,09020000,衣,其他,360,742118
201407,09020000,衣,博士,10,25839
201407,09020000,衣,碩士,114,229934
201407,09020000,衣,大學,624,1209382
201407,09020000,衣,專科,279,516564
201407,09020000,衣,高中高職,616,1161576
201407,09020000,衣,其他,363,706521
201408,09020000,衣,博士,4,5093
201408,09020000,衣,碩士,124,260905
201408,09020000,衣,大學,610,1204786
201408,09020000,衣,專科,316,581334
201408,09020000,衣,高中高職,603,1243113
201408,09020000,衣,其他,423,785541
201409,09020000,衣,博士,7,19281
201409,09020000,衣,碩士,95,191979
201409,09020000,衣,大學,633,1387755
201409,09020000,衣,專科,284,644274
201409,09020000,衣,高中高職,576,1358552
201409,09020000,衣,其他,411,833200
201410,09020000,衣,博士,8,17351
201410,09020000,衣,碩士,116,259852
201410,09020000,衣,大學,732,1545822
201410,09020000,衣,專科,299,636784
201410,09020000,衣,高中高職,649,1455525
201410,09020000,衣,其他,429,932222
201411,09020000,衣,博士,4,6108
