年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,09020000,百貨,博士,187,1599132
201401,09020000,百貨,碩士,1853,4637030
201401,09020000,百貨,大學,7349,17823952
201401,09020000,百貨,專科,3956,13856530
201401,09020000,百貨,高中高職,6285,24593756
201401,09020000,百貨,其他,5155,16509767
201402,09020000,百貨,博士,159,457551
201402,09020000,百貨,碩士,1702,4319171
201402,09020000,百貨,大學,6894,18208440
201402,09020000,百貨,專科,3612,13050395
201402,09020000,百貨,高中高職,6495,29273189
201402,09020000,百貨,其他,5102,18823774
201403,09020000,百貨,博士,190,671635
201403,09020000,百貨,碩士,1772,4280706
201403,09020000,百貨,大學,7142,16619178
201403,09020000,百貨,專科,4083,12672709
201403,09020000,百貨,高中高職,7406,28410074
201403,09020000,百貨,其他,5719,19354058
201404,09020000,百貨,博士,178,747395
201404,09020000,百貨,碩士,1741,3737559
201404,09020000,百貨,大學,7169,15798648
201404,09020000,百貨,專科,4221,12166264
201404,09020000,百貨,高中高職,7133,24967752
201404,09020000,百貨,其他,5581,15956481
201405,09020000,百貨,博士,211,874340
201405,09020000,百貨,碩士,2060,5094982
201405,09020000,百貨,大學,8609,20591973
201405,09020000,百貨,專科,4637,14187432
201405,09020000,百貨,高中高職,7755,27796764
201405,09020000,百貨,其他,6188,20879944
201406,09020000,百貨,博士,228,722743
201406,09020000,百貨,碩士,2327,5843756
201406,09020000,百貨,大學,9510,23256648
201406,09020000,百貨,專科,4931,14680517
201406,09020000,百貨,高中高職,8502,28282951
201406,09020000,百貨,其他,6470,20102708
201407,09020000,百貨,博士,195,583535
201407,09020000,百貨,碩士,2243,5907987
201407,09020000,百貨,大學,9646,23559230
201407,09020000,百貨,專科,4904,14166687
201407,09020000,百貨,高中高職,7687,23293852
201407,09020000,百貨,其他,6121,17040571
201408,09020000,百貨,博士,198,451903
201408,09020000,百貨,碩士,2095,4848381
201408,09020000,百貨,大學,9585,22406067
201408,09020000,百貨,專科,4809,14064947
201408,09020000,百貨,高中高職,7501,22691779
201408,09020000,百貨,其他,5850,16614508
201409,09020000,百貨,博士,209,476967
201409,09020000,百貨,碩士,1957,4012858
201409,09020000,百貨,大學,8640,19193538
201409,09020000,百貨,專科,4504,11919010
201409,09020000,百貨,高中高職,7084,20387033
201409,09020000,百貨,其他,5758,14465703
201410,09020000,百貨,博士,207,562856
201410,09020000,百貨,碩士,2241,4777770
201410,09020000,百貨,大學,9760,21641214
201410,09020000,百貨,專科,4903,12676471
201410,09020000,百貨,高中高職,7862,22182366
201410,09020000,百貨,其他,6303,17016004
201411,09020000,百貨,博士,226,471461
201411,09020000,百貨,碩士,2210,4565319
201411,09020000,百貨,大學,9132,20485484
201411,09020000,百貨,專科,4515,11674181
201411,09020000,百貨,高中高職,7499,21457805
201411,09020000,百貨,其他,5660,14177827
201412,09020000,百貨,博士,227,821575
201412,09020000,百貨,碩士,2215,9162760
