年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,09020000,文教康樂,博士,7,23519
201401,09020000,文教康樂,碩士,78,675319
201401,09020000,文教康樂,大學,307,1810769
201401,09020000,文教康樂,專科,142,909294
201401,09020000,文教康樂,高中高職,210,1081277
201401,09020000,文教康樂,其他,190,1226628
201402,09020000,文教康樂,博士,7,122879
201402,09020000,文教康樂,碩士,67,435552
201402,09020000,文教康樂,大學,230,1228125
201402,09020000,文教康樂,專科,72,442333
201402,09020000,文教康樂,高中高職,136,787240
201402,09020000,文教康樂,其他,110,622538
201403,09020000,文教康樂,博士,8,42592
201403,09020000,文教康樂,碩士,63,347626
201403,09020000,文教康樂,大學,288,1568879
201403,09020000,文教康樂,專科,125,1254166
201403,09020000,文教康樂,高中高職,197,1296289
201403,09020000,文教康樂,其他,155,1023582
201404,09020000,文教康樂,博士,5,11240
201404,09020000,文教康樂,碩士,69,468102
201404,09020000,文教康樂,大學,272,1598669
201404,09020000,文教康樂,專科,112,672316
201404,09020000,文教康樂,高中高職,179,1234290
201404,09020000,文教康樂,其他,124,826849
201405,09020000,文教康樂,博士,14,60249
201405,09020000,文教康樂,碩士,88,322273
201405,09020000,文教康樂,大學,540,1558501
201405,09020000,文教康樂,專科,200,608341
201405,09020000,文教康樂,高中高職,325,929207
201405,09020000,文教康樂,其他,173,1366246
201406,09020000,文教康樂,博士,22,116839
201406,09020000,文教康樂,碩士,175,699437
201406,09020000,文教康樂,大學,1019,2027708
201406,09020000,文教康樂,專科,333,828525
201406,09020000,文教康樂,高中高職,524,1161537
201406,09020000,文教康樂,其他,243,1252746
201407,09020000,文教康樂,博士,19,55395
201407,09020000,文教康樂,碩士,235,620503
201407,09020000,文教康樂,大學,1485,2205545
201407,09020000,文教康樂,專科,490,951183
201407,09020000,文教康樂,高中高職,823,1538165
201407,09020000,文教康樂,其他,317,998582
201408,09020000,文教康樂,博士,29,75650
201408,09020000,文教康樂,碩士,402,482619
201408,09020000,文教康樂,大學,3181,2650032
201408,09020000,文教康樂,專科,936,1100375
201408,09020000,文教康樂,高中高職,1625,1803084
201408,09020000,文教康樂,其他,467,1105845
201409,09020000,文教康樂,博士,15,13726
201409,09020000,文教康樂,碩士,337,479080
201409,09020000,文教康樂,大學,2253,1977515
201409,09020000,文教康樂,專科,659,1149365
201409,09020000,文教康樂,高中高職,1163,1102001
201409,09020000,文教康樂,其他,451,1188345
201410,09020000,文教康樂,博士,25,87269
201410,09020000,文教康樂,碩士,314,677311
201410,09020000,文教康樂,大學,2094,2575622
201410,09020000,文教康樂,專科,660,1355255
201410,09020000,文教康樂,高中高職,1000,1373127
201410,09020000,文教康樂,其他,365,1546366
201411,09020000,文教康樂,博士,24,81948
201411,09020000,文教康樂,碩士,280,662419
201411,09020000,文教康樂,大學,1850,2931848
201411,09020000,文教康樂,專科,538,865367
201411,09020000,文教康樂,高中高職,867,1560918
201411,09020000,文教康樂,其他,331,1319740
201412,09020000,文教康樂,博士,20,32834
201412,09020000,文教康樂,碩士,289,492171
201412,09020000,文教康樂,大學,1848,2013373
201412,09020000,文教康樂,專科,528,892187
201412,09020000,文教康樂,高中高職,922,1514522
201412,09020000,文教康樂,其他,308,1062181
201501,09020000,文教康樂,博士,25,137513
201501,09020000,文教康樂,碩士,197,647025
201501,09020000,文教康樂,大學,1203,2013817
201501,09020000,文教康樂,專科,390,855025
201501,09020000,文教康樂,高中高職,542,1294668
