年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,09020000,食,博士,88,394822
201401,09020000,食,碩士,859,2846914
201401,09020000,食,大學,3117,10527973
201401,09020000,食,專科,1475,6063621
201401,09020000,食,高中高職,2345,9372967
201401,09020000,食,其他,2154,8658513
201402,09020000,食,博士,39,101956
201402,09020000,食,碩士,646,1490533
201402,09020000,食,大學,2501,8106327
201402,09020000,食,專科,1185,4289767
201402,09020000,食,高中高職,1950,6646805
201402,09020000,食,其他,1632,5554640
201403,09020000,食,博士,88,210365
201403,09020000,食,碩士,717,1925830
201403,09020000,食,大學,2901,6766487
201403,09020000,食,專科,1464,4807055
201403,09020000,食,高中高職,2581,8879939
201403,09020000,食,其他,2209,6876976
201404,09020000,食,博士,40,72062
201404,09020000,食,碩士,674,1586269
201404,09020000,食,大學,2883,7899195
201404,09020000,食,專科,1634,4118069
201404,09020000,食,高中高職,2729,7449881
201404,09020000,食,其他,2165,6145942
201405,09020000,食,博士,111,202214
201405,09020000,食,碩士,885,2011933
201405,09020000,食,大學,3633,8128940
201405,09020000,食,專科,1885,5126211
201405,09020000,食,高中高職,3358,9631035
201405,09020000,食,其他,2702,8078222
201406,09020000,食,博士,149,310400
201406,09020000,食,碩士,1191,2693841
201406,09020000,食,大學,4367,9796598
201406,09020000,食,專科,2349,5004816
201406,09020000,食,高中高職,3649,8398209
201406,09020000,食,其他,2862,7728856
201407,09020000,食,博士,158,329863
201407,09020000,食,碩士,1534,3399405
201407,09020000,食,大學,5609,10556307
201407,09020000,食,專科,2836,6540330
201407,09020000,食,高中高職,4324,9826516
201407,09020000,食,其他,3056,6995889
201408,09020000,食,博士,137,254646
201408,09020000,食,碩士,1358,2357250
201408,09020000,食,大學,5245,10019152
201408,09020000,食,專科,2688,6299753
201408,09020000,食,高中高職,4043,9738461
201408,09020000,食,其他,2896,6419894
201409,09020000,食,博士,110,124566
201409,09020000,食,碩士,1048,1708105
201409,09020000,食,大學,4272,7981314
201409,09020000,食,專科,2078,4500695
201409,09020000,食,高中高職,3323,8051193
201409,09020000,食,其他,2302,6490592
201410,09020000,食,博士,137,156649
201410,09020000,食,碩士,1209,2141705
201410,09020000,食,大學,4756,8716350
201410,09020000,食,專科,2363,5854659
201410,09020000,食,高中高職,3902,8738003
201410,09020000,食,其他,2719,6299750
201411,09020000,食,博士,111,220931
201411,09020000,食,碩士,1066,1931626
201411,09020000,食,大學,4052,7817739
201411,09020000,食,專科,1883,4656963
201411,09020000,食,高中高職,3374,8600644
201411,09020000,食,其他,2298,5707471
201412,09020000,食,博士,133,125330
201412,09020000,食,碩士,1037,1960445
201412,09020000,食,大學,4084,8573254
201412,09020000,食,專科,1981,4465565
201412,09020000,食,高中高職,3259,8156980
201412,09020000,食,其他,2302,5927532
201501,09020000,食,博士,151,192965
201501,09020000,食,碩士,1191,2641994
201501,09020000,食,大學,4582,10802743
201501,09020000,食,專科,2060,5029392
201501,09020000,食,高中高職,3471,8080534
201501,09020000,食,其他,2385,7904220
201502,09020000,食,博士,82,127155
201502,09020000,食,碩士,1159,2068741
201502,09020000,食,大學,4058,7562629
201502,09020000,食,專科,1886,4064560
201502,09020000,食,高中高職,2945,6662321
201502,09020000,食,其他,2190,5357200
201503,09020000,食,博士,110,127641
201503,09020000,食,碩士,861,1414612
201503,09020000,食,大學,3470,6595251
201503,09020000,食,專科,1680,4628907
201503,09020000,食,高中高職,2849,6285112
201503,09020000,食,其他,2041,5377674
201504,09020000,食,博士,97,141576
201504,09020000,食,碩士,955,1301990
201504,09020000,食,大學,3729,6143083
201504,09020000,食,專科,1703,3374022
201504,09020000,食,高中高職,2839,5998099
201504,09020000,食,其他,2233,4754906
201505,09020000,食,博士,101,236347
201505,09020000,食,碩士,1036,1970492
201505,09020000,食,大學,4511,7517994
201505,09020000,食,專科,1910,4279599
201505,09020000,食,高中高職,3319,7377926
201505,09020000,食,其他,2253,5184369
201506,09020000,食,博士,153,206129
201506,09020000,食,碩士,1215,2047310
201506,09020000,食,大學,4953,10150250
201506,09020000,食,專科,2172,7192925
201506,09020000,食,高中高職,3556,8663476
201506,09020000,食,其他,2573,7362538
201507,09020000,食,博士,181,622986
201507,09020000,食,碩士,1348,2877525
201507,09020000,食,大學,5110,13574911
201507,09020000,食,專科,2516,9318350
201507,09020000,食,高中高職,4208,15300036
201507,09020000,食,其他,2803,9812778
201508,09020000,食,博士,122,153421
201508,09020000,食,碩士,1359,2158536
201508,09020000,食,大學,5196,7372828
201508,09020000,食,專科,2370,4586093
201508,09020000,食,高中高職,3946,8429442
201508,09020000,食,其他,2684,5379433
201509,09020000,食,博士,141,393667
201509,09020000,食,碩士,1104,1654589
201509,09020000,食,大學,4820,9220612
201509,09020000,食,專科,2233,7037487
201509,09020000,食,高中高職,3637,11171861
201509,09020000,食,其他,2605,7969543
201510,09020000,食,博士,150,284490
201510,09020000,食,碩士,1320,2232189
201510,09020000,食,大學,5323,10188650
201510,09020000,食,專科,2479,5271528
201510,09020000,食,高中高職,3757,8780546
201510,09020000,食,其他,2732,6127640
201511,09020000,食,博士,165,251699
201511,09020000,食,碩士,1120,2105533
201511,09020000,食,大學,4642,8677817
201511,09020000,食,專科,2089,5153176
201511,09020000,食,高中高職,3401,8119539
201511,09020000,食,其他,2480,6323647
201512,09020000,食,博士,111,139409
201512,09020000,食,碩士,1048,1758794
201512,09020000,食,大學,4039,7734659
201512,09020000,食,專科,1764,4763344
201512,09020000,食,高中高職,3161,7471888
201512,09020000,食,其他,2256,6453412
201601,09020000,食,博士,168,647237
201601,09020000,食,碩士,1068,2949634
201601,09020000,食,大學,4354,13155466
201601,09020000,食,專科,2133,9770232
201601,09020000,食,高中高職,3249,14676195
201601,09020000,食,其他,2562,12182234
201602,09020000,食,博士,103,334711
201602,09020000,食,碩士,1045,3302177
201602,09020000,食,大學,4313,15102577
201602,09020000,食,專科,1871,7236203
201602,09020000,食,高中高職,2847,11627057
201602,09020000,食,其他,2181,10663418
201603,09020000,食,博士,108,266454
201603,09020000,食,碩士,841,1825063
201603,09020000,食,大學,3614,7994185
201603,09020000,食,專科,1851,5889779
201603,09020000,食,高中高職,2858,8170161
201603,09020000,食,其他,2307,7175144
201604,09020000,食,博士,112,236520
201604,09020000,食,碩士,952,1924369
201604,09020000,食,大學,3423,7698880
201604,09020000,食,專科,1720,5282458
201604,09020000,食,高中高職,2726,8120463
201604,09020000,食,其他,2204,7441142
201605,09020000,食,博士,99,215730
201605,09020000,食,碩士,1086,2939752
201605,09020000,食,大學,4571,13595438
201605,09020000,食,專科,2359,9101972
201605,09020000,食,高中高職,3456,12720867
201605,09020000,食,其他,2909,10943148
201606,09020000,食,博士,131,266633
201606,09020000,食,碩士,1303,3249400
201606,09020000,食,大學,5214,14668398
201606,09020000,食,專科,2603,9156311
201606,09020000,食,高中高職,3887,16590333
201606,09020000,食,其他,3131,11412939
201607,09020000,食,博士,144,375064
201607,09020000,食,碩士,1336,2720165
201607,09020000,食,大學,4825,9702739
201607,09020000,食,專科,2423,6754647
201607,09020000,食,高中高職,3281,7898837
201607,09020000,食,其他,2745,6978714
201608,09020000,食,博士,157,277342
201608,09020000,食,碩士,1193,2382192
201608,09020000,食,大學,4360,8739734
201608,09020000,食,專科,2106,4967323
201608,09020000,食,高中高職,3076,7657484
201608,09020000,食,其他,2639,6585533
201609,09020000,食,博士,108,164180
201609,09020000,食,碩士,911,1917698
201609,09020000,食,大學,3979,9449197
201609,09020000,食,專科,1933,5575291
201609,09020000,食,高中高職,2908,8759021
201609,09020000,食,其他,2476,6992272
201610,09020000,食,博士,138,262437
201610,09020000,食,碩士,1266,2575861
201610,09020000,食,大學,4899,9937215
201610,09020000,食,專科,2300,5722963
201610,09020000,食,高中高職,3528,12141930
201610,09020000,食,其他,2842,6678266
201611,09020000,食,博士,149,898562
201611,09020000,食,碩士,1075,3221069
201611,09020000,食,大學,4295,10878814
201611,09020000,食,專科,1989,5966393
201611,09020000,食,高中高職,3149,12128157
201611,09020000,食,其他,2547,7416438
201612,09020000,食,博士,157,788163
201612,09020000,食,碩士,1220,3411481
201612,09020000,食,大學,4343,12746298
201612,09020000,食,專科,1980,6722159
201612,09020000,食,高中高職,3196,13502402
201612,09020000,食,其他,2668,9202886
201701,09020000,食,博士,171,681983
201701,09020000,食,碩士,1364,3259554
201701,09020000,食,大學,4670,13351539
201701,09020000,食,專科,2011,9164443
201701,09020000,食,高中高職,2957,11613885
201701,09020000,食,其他,2484,10134406
201702,09020000,食,博士,101,799617
201702,09020000,食,碩士,841,2125388
201702,09020000,食,大學,3213,8336078
201702,09020000,食,專科,1488,4883429
201702,09020000,食,高中高職,2246,10952721
201702,09020000,食,其他,1842,6503151
201703,09020000,食,博士,185,516003
201703,09020000,食,碩士,941,1786342
201703,09020000,食,大學,3804,8705132
201703,09020000,食,專科,1742,4906726
201703,09020000,食,高中高職,3011,10210526
201703,09020000,食,其他,2214,5421513
201704,09020000,食,博士,131,1084962
201704,09020000,食,碩士,1076,2005342
201704,09020000,食,大學,4247,8916814
201704,09020000,食,專科,2052,5706682
201704,09020000,食,高中高職,3069,8184886
201704,09020000,食,其他,2329,5503170
201705,09020000,食,博士,171,1420741
201705,09020000,食,碩士,1316,2691685
201705,09020000,食,大學,4656,10419134
201705,09020000,食,專科,2273,6231912
201705,09020000,食,高中高職,3532,10721311
201705,09020000,食,其他,2895,7613753
