年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,09020000,行,博士,88,135421
201401,09020000,行,碩士,824,1183822
201401,09020000,行,大學,3189,4327487
201401,09020000,行,專科,1636,2373866
201401,09020000,行,高中高職,3240,5252434
201401,09020000,行,其他,2378,3666337
201402,09020000,行,博士,86,111257
201402,09020000,行,碩士,876,1339110
201402,09020000,行,大學,3203,4594644
201402,09020000,行,專科,1711,2531182
201402,09020000,行,高中高職,3127,5247897
201402,09020000,行,其他,2270,3514507
201403,09020000,行,博士,141,206175
201403,09020000,行,碩士,984,1587823
201403,09020000,行,大學,3926,5918661
201403,09020000,行,專科,1915,2986630
201403,09020000,行,高中高職,3560,6027160
201403,09020000,行,其他,2890,4700583
201404,09020000,行,博士,132,190414
201404,09020000,行,碩士,1164,1940352
201404,09020000,行,大學,4186,6612950
201404,09020000,行,專科,2112,3505908
201404,09020000,行,高中高職,3983,7032439
201404,09020000,行,其他,3163,5321284
201405,09020000,行,博士,149,183567
201405,09020000,行,碩士,1089,1635853
201405,09020000,行,大學,4134,6428163
201405,09020000,行,專科,1992,3242700
201405,09020000,行,高中高職,3853,8053275
201405,09020000,行,其他,2856,4680496
201406,09020000,行,博士,132,204972
201406,09020000,行,碩士,1042,1601733
201406,09020000,行,大學,4143,6273498
201406,09020000,行,專科,2205,3544101
201406,09020000,行,高中高職,4058,8225337
201406,09020000,行,其他,2867,4766152
201407,09020000,行,博士,120,223295
201407,09020000,行,碩士,1083,1859366
201407,09020000,行,大學,4412,7294358
201407,09020000,行,專科,2177,3704700
201407,09020000,行,高中高職,4321,8591454
201407,09020000,行,其他,2866,5186657
201408,09020000,行,博士,119,193987
201408,09020000,行,碩士,961,1578569
201408,09020000,行,大學,4100,6040251
201408,09020000,行,專科,2000,3110503
201408,09020000,行,高中高職,3998,7544010
201408,09020000,行,其他,2767,4669699
201409,09020000,行,博士,151,235887
201409,09020000,行,碩士,1037,1516505
201409,09020000,行,大學,3937,5711208
201409,09020000,行,專科,1945,3146559
201409,09020000,行,高中高職,3768,6670388
201409,09020000,行,其他,2688,4449473
201410,09020000,行,博士,142,241719
201410,09020000,行,碩士,1110,1729574
201410,09020000,行,大學,4326,6329392
201410,09020000,行,專科,1974,3015472
201410,09020000,行,高中高職,3907,6847909
201410,09020000,行,其他,2816,4318454
201411,09020000,行,博士,124,166463
201411,09020000,行,碩士,953,1348609
201411,09020000,行,大學,3994,5587215
201411,09020000,行,專科,1931,3016115
201411,09020000,行,高中高職,3597,6232549
201411,09020000,行,其他,2606,4041360
201412,09020000,行,博士,143,185713
201412,09020000,行,碩士,1066,1605146
201412,09020000,行,大學,4149,5851421
201412,09020000,行,專科,2131,3125248
201412,09020000,行,高中高職,4120,7025435
201412,09020000,行,其他,2918,4357996
201501,09020000,行,博士,127,214544
201501,09020000,行,碩士,977,1406169
201501,09020000,行,大學,3884,5370849
201501,09020000,行,專科,2006,3058775
201501,09020000,行,高中高職,3663,5678194
201501,09020000,行,其他,2635,3917738
201502,09020000,行,博士,83,157612
201502,09020000,行,碩士,844,1269287
201502,09020000,行,大學,3338,4991739
201502,09020000,行,專科,1704,2719700
201502,09020000,行,高中高職,3075,4858181
201502,09020000,行,其他,2266,3359789
201503,09020000,行,博士,135,205231
201503,09020000,行,碩士,922,1372087
201503,09020000,行,大學,3828,5418152
201503,09020000,行,專科,1884,2829210
201503,09020000,行,高中高職,3689,6176149
201503,09020000,行,其他,2680,4193638
201504,09020000,行,博士,129,180990
201504,09020000,行,碩士,1068,1738836
201504,09020000,行,大學,4284,6232282
201504,09020000,行,專科,2166,3437778
201504,09020000,行,高中高職,3862,6541535
201504,09020000,行,其他,2974,4480845
201505,09020000,行,博士,152,244135
201505,09020000,行,碩士,1072,1576459
201505,09020000,行,大學,4201,6193990
201505,09020000,行,專科,2117,3507410
201505,09020000,行,高中高職,3899,6698599
201505,09020000,行,其他,2778,4215913
