年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,09007000,住,博士,3,7400
201401,09007000,住,碩士,14,24800
201401,09007000,住,大學,36,110060
201401,09007000,住,專科,14,47450
201401,09007000,住,高中高職,15,43500
201401,09007000,住,其他,22,78300
201402,09007000,住,博士,0,0
201402,09007000,住,碩士,18,34220
201402,09007000,住,大學,45,100530
201402,09007000,住,專科,29,63800
201402,09007000,住,高中高職,33,125800
201402,09007000,住,其他,17,56440
201403,09007000,住,博士,0,0
201403,09007000,住,碩士,21,49300
201403,09007000,住,大學,64,167115
201403,09007000,住,專科,29,68400
201403,09007000,住,高中高職,28,83041
201403,09007000,住,其他,21,50180
201404,09007000,住,博士,3,12900
201404,09007000,住,碩士,18,42000
201404,09007000,住,大學,85,216918
201404,09007000,住,專科,38,123692
201404,09007000,住,高中高職,28,76346
201404,09007000,住,其他,34,87200
201405,09007000,住,博士,4,6000
201405,09007000,住,碩士,43,92641
201405,09007000,住,大學,92,210661
201405,09007000,住,專科,54,150670
201405,09007000,住,高中高職,40,82681
201405,09007000,住,其他,32,97000
201406,09007000,住,博士,6,16000
201406,09007000,住,碩士,70,195260
201406,09007000,住,大學,139,336667
201406,09007000,住,專科,54,137130
201406,09007000,住,高中高職,59,247420
201406,09007000,住,其他,39,101600
201407,09007000,住,博士,7,11250
201407,09007000,住,碩士,55,181050
201407,09007000,住,大學,116,326110
201407,09007000,住,專科,42,154885
201407,09007000,住,高中高職,36,160611
201407,09007000,住,其他,48,113750
201408,09007000,住,博士,5,7700
201408,09007000,住,碩士,45,128060
201408,09007000,住,大學,105,317770
201408,09007000,住,專科,53,116900
201408,09007000,住,高中高職,34,128720
201408,09007000,住,其他,33,108850
201409,09007000,住,博士,3,3000
201409,09007000,住,碩士,32,97320
201409,09007000,住,大學,97,241510
201409,09007000,住,專科,48,133210
201409,09007000,住,高中高職,33,146510
201409,09007000,住,其他,23,69200
201410,09007000,住,博士,4,10200
201410,09007000,住,碩士,43,125500
201410,09007000,住,大學,131,394800
201410,09007000,住,專科,52,162400
201410,09007000,住,高中高職,24,71000
201410,09007000,住,其他,28,107050
201411,09007000,住,博士,6,19100
201411,09007000,住,碩士,32,88400
201411,09007000,住,大學,109,280154
201411,09007000,住,專科,34,138200
201411,09007000,住,高中高職,31,191850
201411,09007000,住,其他,22,68400
201412,09007000,住,博士,1,1600
201412,09007000,住,碩士,26,74600
201412,09007000,住,大學,65,154100
201412,09007000,住,專科,25,67050
201412,09007000,住,高中高職,14,119700
201412,09007000,住,其他,15,34800
201501,09007000,住,博士,2,3000
201501,09007000,住,碩士,36,96510
201501,09007000,住,大學,58,148000
201501,09007000,住,專科,22,58600
201501,09007000,住,高中高職,12,34220
201501,09007000,住,其他,20,97731
201502,09007000,住,博士,0,0
201502,09007000,住,碩士,21,49800
201502,09007000,住,大學,37,95200
201502,09007000,住,專科,17,64219
201502,09007000,住,高中高職,22,91120
201502,09007000,住,其他,8,26600
201503,09007000,住,博士,2,3100
201503,09007000,住,碩士,35,139300
201503,09007000,住,大學,52,156250
201503,09007000,住,專科,27,116490
201503,09007000,住,高中高職,16,42200
201503,09007000,住,其他,16,36800
201504,09007000,住,博士,3,8000
201504,09007000,住,碩士,65,164620
201504,09007000,住,大學,134,323876
201504,09007000,住,專科,61,159900
201504,09007000,住,高中高職,42,182690
201504,09007000,住,其他,39,113140
201505,09007000,住,博士,6,10800
201505,09007000,住,碩士,112,268119
201505,09007000,住,大學,204,538266
201505,09007000,住,專科,64,184500
201505,09007000,住,高中高職,76,229104
201505,09007000,住,其他,80,214730
201506,09007000,住,博士,1,1800
201506,09007000,住,碩士,113,291770
201506,09007000,住,大學,202,500620
201506,09007000,住,專科,117,357122
201506,09007000,住,高中高職,63,236420
201506,09007000,住,其他,83,266313
201507,09007000,住,博士,8,29400
201507,09007000,住,碩士,100,254682
201507,09007000,住,大學,164,456120
201507,09007000,住,專科,71,226030
201507,09007000,住,高中高職,74,258760
201507,09007000,住,其他,68,219140
201508,09007000,住,博士,12,25500
201508,09007000,住,碩士,65,178480
201508,09007000,住,大學,167,510584
201508,09007000,住,專科,63,168710
201508,09007000,住,高中高職,55,262448
201508,09007000,住,其他,48,150550
201509,09007000,住,博士,3,4500
201509,09007000,住,碩士,91,234421
201509,09007000,住,大學,155,399410
201509,09007000,住,專科,82,252338
201509,09007000,住,高中高職,74,231200
201509,09007000,住,其他,70,192790
201510,09007000,住,博士,7,17340
201510,09007000,住,碩士,97,236950
201510,09007000,住,大學,173,443910
201510,09007000,住,專科,63,179692
201510,09007000,住,高中高職,57,238832
201510,09007000,住,其他,55,154320
201511,09007000,住,博士,7,13800
201511,09007000,住,碩士,91,227020
201511,09007000,住,大學,170,508030
201511,09007000,住,專科,74,195260
201511,09007000,住,高中高職,41,169090
201511,09007000,住,其他,71,252430
201512,09007000,住,博士,1,2800
201512,09007000,住,碩士,54,115100
201512,09007000,住,大學,109,285100
201512,09007000,住,專科,47,141250
201512,09007000,住,高中高職,23,78140
201512,09007000,住,其他,22,115590
201601,09007000,住,博士,5,8800
201601,09007000,住,碩士,62,134430
201601,09007000,住,大學,93,226430
201601,09007000,住,專科,56,124820
201601,09007000,住,高中高職,20,51851
201601,09007000,住,其他,40,134030
201602,09007000,住,博士,2,4940
201602,09007000,住,碩士,26,75860
201602,09007000,住,大學,74,321910
201602,09007000,住,專科,42,120270
201602,09007000,住,高中高職,28,100541
201602,09007000,住,其他,30,116190
201603,09007000,住,博士,11,21740
201603,09007000,住,碩士,114,312610
201603,09007000,住,大學,190,433190
201603,09007000,住,專科,87,218260
201603,09007000,住,高中高職,32,115720
201603,09007000,住,其他,57,172190
201604,09007000,住,博士,9,16500
201604,09007000,住,碩士,96,275430
201604,09007000,住,大學,249,632240
201604,09007000,住,專科,78,217290
201604,09007000,住,高中高職,69,226750
201604,09007000,住,其他,80,235730
201605,09007000,住,博士,11,22300
201605,09007000,住,碩士,109,284911
201605,09007000,住,大學,262,751817
201605,09007000,住,專科,122,373585
201605,09007000,住,高中高職,115,320015
201605,09007000,住,其他,100,334065
201606,09007000,住,博士,19,44400
201606,09007000,住,碩士,169,485940
201606,09007000,住,大學,339,942131
201606,09007000,住,專科,113,327360
201606,09007000,住,高中高職,85,337310
201606,09007000,住,其他,97,283050
201607,09007000,住,博士,17,34350
201607,09007000,住,碩士,137,386080
201607,09007000,住,大學,300,1003732
201607,09007000,住,專科,128,445666
201607,09007000,住,高中高職,58,198505
201607,09007000,住,其他,105,428871
201608,09007000,住,博士,15,55050
201608,09007000,住,碩士,126,422320
201608,09007000,住,大學,273,843077
201608,09007000,住,專科,93,354270
201608,09007000,住,高中高職,79,408497
201608,09007000,住,其他,63,224480
201609,09007000,住,博士,7,25500
201609,09007000,住,碩士,88,261270
201609,09007000,住,大學,161,463790
201609,09007000,住,專科,71,248740
201609,09007000,住,高中高職,49,189900
201609,09007000,住,其他,64,274776
201610,09007000,住,博士,17,31800
201610,09007000,住,碩士,172,441730
201610,09007000,住,大學,262,674666
201610,09007000,住,專科,78,220050
201610,09007000,住,高中高職,76,327913
201610,09007000,住,其他,91,254650
201611,09007000,住,博士,11,38500
201611,09007000,住,碩士,124,263150
201611,09007000,住,大學,213,580800
201611,09007000,住,專科,94,229620
201611,09007000,住,高中高職,41,184100
201611,09007000,住,其他,60,158510
201612,09007000,住,博士,5,15100
201612,09007000,住,碩士,48,125300
201612,09007000,住,大學,121,323745
201612,09007000,住,專科,53,158121
201612,09007000,住,高中高職,28,83290
201612,09007000,住,其他,39,140700
201701,09007000,住,博士,3,8400
201701,09007000,住,碩士,37,180550
201701,09007000,住,大學,62,263550
201701,09007000,住,專科,36,112900
201701,09007000,住,高中高職,15,59650
201701,09007000,住,其他,21,55000
201702,09007000,住,博士,10,19800
201702,09007000,住,碩士,34,92141
201702,09007000,住,大學,71,202250
201702,09007000,住,專科,23,68750
201702,09007000,住,高中高職,30,138440
201702,09007000,住,其他,44,120480
201703,09007000,住,博士,9,16500
201703,09007000,住,碩士,93,230140
201703,09007000,住,大學,173,495735
201703,09007000,住,專科,80,266840
201703,09007000,住,高中高職,40,140655
201703,09007000,住,其他,71,221560
201704,09007000,住,博士,12,19350
201704,09007000,住,碩士,106,327080
201704,09007000,住,大學,273,824830
201704,09007000,住,專科,112,348130
201704,09007000,住,高中高職,61,273740
201704,09007000,住,其他,68,228080
201705,09007000,住,博士,14,25730
201705,09007000,住,碩士,163,421182
201705,09007000,住,大學,332,967025
201705,09007000,住,專科,153,585763
201705,09007000,住,高中高職,79,302310
201705,09007000,住,其他,108,395175
201706,09007000,住,博士,16,31940
201706,09007000,住,碩士,118,303165
201706,09007000,住,大學,359,940279
201706,09007000,住,專科,176,532777
201706,09007000,住,高中高職,101,383890
201706,09007000,住,其他,81,249175
201707,09007000,住,博士,6,18600
201707,09007000,住,碩士,216,836644
201707,09007000,住,大學,443,1388557
201707,09007000,住,專科,179,648316
201707,09007000,住,高中高職,122,543651
201707,09007000,住,其他,133,368126
201708,09007000,住,博士,17,50630
201708,09007000,住,碩士,222,612106
201708,09007000,住,大學,419,1349968
201708,09007000,住,專科,147,466295
201708,09007000,住,高中高職,114,546161
201708,09007000,住,其他,125,393905
201709,09007000,住,博士,23,82830
201709,09007000,住,碩士,167,447400
201709,09007000,住,大學,272,790755
201709,09007000,住,專科,148,465160
201709,09007000,住,高中高職,88,299982
201709,09007000,住,其他,87,249692
201710,09007000,住,博士,27,56070
201710,09007000,住,碩士,137,410545
201710,09007000,住,大學,291,1007170
201710,09007000,住,專科,117,356441
201710,09007000,住,高中高職,80,303780
201710,09007000,住,其他,90,239274
201711,09007000,住,博士,12,33470
201711,09007000,住,碩士,118,308114
201711,09007000,住,大學,234,672173
201711,09007000,住,專科,84,345010
201711,09007000,住,高中高職,63,274108
201711,09007000,住,其他,81,219165
201712,09007000,住,博士,12,32560
201712,09007000,住,碩士,87,243280
201712,09007000,住,大學,189,561068
201712,09007000,住,專科,55,181660
201712,09007000,住,高中高職,61,336700
201712,09007000,住,其他,53,195104
201801,09007000,住,博士,1,1800
201801,09007000,住,碩士,67,179010
201801,09007000,住,大學,85,257240
201801,09007000,住,專科,49,214220
201801,09007000,住,高中高職,20,57270
201801,09007000,住,其他,34,142253
201802,09007000,住,博士,4,21920
201802,09007000,住,碩士,25,72230
201802,09007000,住,大學,62,234684
201802,09007000,住,專科,30,141930
201802,09007000,住,高中高職,25,73930
201802,09007000,住,其他,32,132448
201803,09007000,住,博士,16,31800
201803,09007000,住,碩士,95,255570
201803,09007000,住,大學,261,636030
201803,09007000,住,專科,81,291727
201803,09007000,住,高中高職,60,197275
201803,09007000,住,其他,77,284105
201804,09007000,住,博士,16,48600
201804,09007000,住,碩士,160,426839
201804,09007000,住,大學,257,856911
201804,09007000,住,專科,126,433305
201804,09007000,住,高中高職,76,274347
201804,09007000,住,其他,87,276293
201805,09007000,住,博士,21,48880
201805,09007000,住,碩士,188,505862
201805,09007000,住,大學,351,1104168
201805,09007000,住,專科,152,467870
201805,09007000,住,高中高職,116,483585
201805,09007000,住,其他,103,390004
201806,09007000,住,博士,19,58220
201806,09007000,住,碩士,200,616667
201806,09007000,住,大學,370,1213288
201806,09007000,住,專科,116,439462
201806,09007000,住,高中高職,104,390632
201806,09007000,住,其他,103,427667
201807,09007000,住,博士,11,33860
201807,09007000,住,碩士,191,750523
201807,09007000,住,大學,368,1371814
201807,09007000,住,專科,118,482060
201807,09007000,住,高中高職,98,465505
201807,09007000,住,其他,96,378494
201808,09007000,住,博士,22,69800
201808,09007000,住,碩士,172,656603
201808,09007000,住,大學,363,1200122
201808,09007000,住,專科,154,538276
201808,09007000,住,高中高職,103,417486
201808,09007000,住,其他,113,427399
201809,09007000,住,博士,13,37520
201809,09007000,住,碩士,106,311614
201809,09007000,住,大學,259,887456
201809,09007000,住,專科,104,313386
201809,09007000,住,高中高職,67,251210
201809,09007000,住,其他,92,322321
201810,09007000,住,博士,10,19500
201810,09007000,住,碩士,141,363970
201810,09007000,住,大學,240,764707
201810,09007000,住,專科,88,290930
201810,09007000,住,高中高職,62,214220
201810,09007000,住,其他,70,245411
201811,09007000,住,博士,12,24000
201811,09007000,住,碩士,99,320280
201811,09007000,住,大學,184,571068
201811,09007000,住,專科,70,174100
201811,09007000,住,高中高職,43,199934
201811,09007000,住,其他,66,291959
201812,09007000,住,博士,13,23700
201812,09007000,住,碩士,64,174582
201812,09007000,住,大學,128,372070
201812,09007000,住,專科,48,254895
201812,09007000,住,高中高職,48,179740
201812,09007000,住,其他,55,185785
201901,09007000,住,博士,3,4500
201901,09007000,住,碩士,53,128070
201901,09007000,住,大學,118,353342
201901,09007000,住,專科,40,106920
201901,09007000,住,高中高職,25,65610
201901,09007000,住,其他,34,136264
201902,09007000,住,博士,4,37800
201902,09007000,住,碩士,50,169515
201902,09007000,住,大學,71,213321
201902,09007000,住,專科,35,86392
201902,09007000,住,高中高職,23,65086
201902,09007000,住,其他,27,99319
201903,09007000,住,博士,14,40100
201903,09007000,住,碩士,123,384221
201903,09007000,住,大學,227,663743
201903,09007000,住,專科,91,289488
201903,09007000,住,高中高職,47,186522
201903,09007000,住,其他,66,268514
201904,09007000,住,博士,19,43620
201904,09007000,住,碩士,169,495205
201904,09007000,住,大學,405,1279424
201904,09007000,住,專科,136,426372
201904,09007000,住,高中高職,109,431310
201904,09007000,住,其他,97,393196
201905,09007000,住,博士,23,43100
201905,09007000,住,碩士,144,460032
201905,09007000,住,大學,388,1265186
201905,09007000,住,專科,150,601758
201905,09007000,住,高中高職,121,422713
201905,09007000,住,其他,124,398767
201906,09007000,住,博士,19,53460
201906,09007000,住,碩士,245,771994
201906,09007000,住,大學,512,1586710
201906,09007000,住,專科,231,710887
201906,09007000,住,高中高職,99,326284
201906,09007000,住,其他,127,484887
201907,09007000,住,博士,18,75840
201907,09007000,住,碩士,252,764031
201907,09007000,住,大學,440,1478594
201907,09007000,住,專科,163,618252
201907,09007000,住,高中高職,116,538710
201907,09007000,住,其他,147,525886
201908,09007000,住,博士,24,80720
201908,09007000,住,碩士,174,545358
201908,09007000,住,大學,395,1373077
201908,09007000,住,專科,143,536281
