年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,09007000,行,博士,1,7464
201401,09007000,行,碩士,26,40860
201401,09007000,行,大學,180,351639
201401,09007000,行,專科,82,187060
201401,09007000,行,高中高職,176,390374
201401,09007000,行,其他,126,255499
201402,09007000,行,博士,3,12213
201402,09007000,行,碩士,50,88215
201402,09007000,行,大學,197,353281
201402,09007000,行,專科,100,209993
201402,09007000,行,高中高職,172,535667
201402,09007000,行,其他,122,289160
201403,09007000,行,博士,2,9519
201403,09007000,行,碩士,44,68961
201403,09007000,行,大學,260,883332
201403,09007000,行,專科,114,239758
201403,09007000,行,高中高職,226,599860
201403,09007000,行,其他,173,421234
201404,09007000,行,博士,6,16737
201404,09007000,行,碩士,45,90471
201404,09007000,行,大學,258,752975
201404,09007000,行,專科,110,294208
201404,09007000,行,高中高職,250,976039
201404,09007000,行,其他,159,557190
201405,09007000,行,博士,9,53726
201405,09007000,行,碩士,84,202220
201405,09007000,行,大學,328,892397
201405,09007000,行,專科,146,317167
201405,09007000,行,高中高職,304,1293667
201405,09007000,行,其他,198,523745
201406,09007000,行,博士,5,12345
201406,09007000,行,碩士,75,119750
201406,09007000,行,大學,328,820771
201406,09007000,行,專科,154,402032
201406,09007000,行,高中高職,315,1254259
201406,09007000,行,其他,197,674106
201407,09007000,行,博士,5,20925
201407,09007000,行,碩士,60,92117
201407,09007000,行,大學,292,780697
201407,09007000,行,專科,121,483426
201407,09007000,行,高中高職,256,1025673
201407,09007000,行,其他,161,393115
201408,09007000,行,博士,2,9264
201408,09007000,行,碩士,65,133844
201408,09007000,行,大學,244,610447
201408,09007000,行,專科,83,186875
201408,09007000,行,高中高職,259,992393
201408,09007000,行,其他,140,307126
201409,09007000,行,博士,1,7464
201409,09007000,行,碩士,29,50272
201409,09007000,行,大學,262,749777
201409,09007000,行,專科,102,183996
201409,09007000,行,高中高職,239,732946
201409,09007000,行,其他,137,352615
201410,09007000,行,博士,2,7848
201410,09007000,行,碩士,41,84211
201410,09007000,行,大學,227,501009
201410,09007000,行,專科,95,213729
201410,09007000,行,高中高職,171,551069
201410,09007000,行,其他,153,400352
201411,09007000,行,博士,4,15939
201411,09007000,行,碩士,45,67910
201411,09007000,行,大學,203,404865
201411,09007000,行,專科,79,158293
201411,09007000,行,高中高職,190,535336
201411,09007000,行,其他,130,344982
