年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10017000,衣,博士,145,449367
201401,10017000,衣,碩士,1843,5016359
201401,10017000,衣,大學,10469,29637870
201401,10017000,衣,專科,7405,22415300
201401,10017000,衣,高中高職,11497,34269518
201401,10017000,衣,其他,7391,21741104
201401,10018000,衣,博士,141,332583
201401,10018000,衣,碩士,2047,6417760
201401,10018000,衣,大學,7674,24090475
201401,10018000,衣,專科,3793,12405067
201401,10018000,衣,高中高職,6223,21262011
201401,10018000,衣,其他,5114,16236905
201401,10004000,衣,博士,67,221914
201401,10004000,衣,碩士,1150,3222397
201401,10004000,衣,大學,4450,14491875
201401,10004000,衣,專科,2378,8988603
201401,10004000,衣,高中高職,3607,13336696
201401,10004000,衣,其他,3083,10231236
201401,10005000,衣,博士,81,215774
201401,10005000,衣,碩士,1754,4891217
201401,10005000,衣,大學,9851,28362869
201401,10005000,衣,專科,5943,18414341
201401,10005000,衣,高中高職,9675,29828155
201401,10005000,衣,其他,5723,16953806
201401,10007000,衣,博士,1168,3408772
201401,10007000,衣,碩士,16604,46562556
201401,10007000,衣,大學,86272,240703201
201401,10007000,衣,專科,44885,131451714
201401,10007000,衣,高中高職,65763,203025224
201401,10007000,衣,其他,46383,140891172
201401,10008000,衣,博士,145,418873
201401,10008000,衣,碩士,2109,5960455
201401,10008000,衣,大學,10292,27434382
201401,10008000,衣,專科,7460,21148783
201401,10008000,衣,高中高職,10179,29851931
201401,10008000,衣,其他,5820,16319084
201401,10009000,衣,博士,156,394843
201401,10009000,衣,碩士,2232,5596164
201401,10009000,衣,大學,11601,30364400
201401,10009000,衣,專科,7434,20565254
201401,10009000,衣,高中高職,10908,31102524
201401,10009000,衣,其他,6385,17510432
201401,10020000,衣,博士,227,689314
201401,10020000,衣,碩士,2797,7654845
201401,10020000,衣,大學,14268,40041587
201401,10020000,衣,專科,10203,29566164
201401,10020000,衣,高中高職,12929,39437707
201401,10020000,衣,其他,8714,25642388
201401,10010000,衣,博士,16,37280
201401,10010000,衣,碩士,284,834780
201401,10010000,衣,大學,1581,4847371
201401,10010000,衣,專科,1241,4006857
201401,10010000,衣,高中高職,1870,5398183
201401,10010000,衣,其他,1133,3515934
201401,10013000,衣,博士,165,482402
201401,10013000,衣,碩士,1462,3694800
201401,10013000,衣,大學,8376,21073533
201401,10013000,衣,專科,5646,14582840
201401,10013000,衣,高中高職,9356,24271783
201401,10013000,衣,其他,7668,19829797
201401,10002000,衣,博士,68,238617
201401,10002000,衣,碩士,1364,4432241
201401,10002000,衣,大學,7593,23054498
201401,10002000,衣,專科,6035,19416572
201401,10002000,衣,高中高職,9260,30899272
201401,10002000,衣,其他,5865,19606904
201401,10015000,衣,博士,115,351504
201401,10015000,衣,碩士,1317,3770162
201401,10015000,衣,大學,6338,18747576
201401,10015000,衣,專科,5009,15873871
201401,10015000,衣,高中高職,6207,18896583
201401,10015000,衣,其他,4801,13403419
201401,10014000,衣,博士,87,219768
201401,10014000,衣,碩士,1130,2981019
201401,10014000,衣,大學,4540,12377173
201401,10014000,衣,專科,3340,9447838
201401,10014000,衣,高中高職,5191,15000484
201401,10014000,衣,其他,3154,8733209
201401,10016000,衣,博士,24,45205
201401,10016000,衣,碩士,561,1569682
201401,10016000,衣,大學,3086,8205707
201401,10016000,衣,專科,2155,6439460
201401,10016000,衣,高中高職,3994,12362974
201401,10016000,衣,其他,2170,6076402
201401,09020000,衣,博士,11,44981
201401,09020000,衣,碩士,131,374253
201401,09020000,衣,大學,870,2116683
201401,09020000,衣,專科,439,1295674
201401,09020000,衣,高中高職,1076,2950806
201401,09020000,衣,其他,717,1905304
201401,09007000,衣,博士,0,0
201401,09007000,衣,碩士,0,0
201401,09007000,衣,大學,0,0
201401,09007000,衣,專科,0,0
201401,09007000,衣,高中高職,0,0
201401,09007000,衣,其他,0,0
201402,10017000,衣,博士,73,148919
201402,10017000,衣,碩士,1182,2902346
201402,10017000,衣,大學,6749,17421240
201402,10017000,衣,專科,4104,11604648
201402,10017000,衣,高中高職,6654,18786514
201402,10017000,衣,其他,4620,13087463
201402,10018000,衣,博士,103,283715
201402,10018000,衣,碩士,1350,3975742
201402,10018000,衣,大學,4831,14201204
201402,10018000,衣,專科,2206,6716613
201402,10018000,衣,高中高職,3214,10007776
201402,10018000,衣,其他,2923,8686300
201402,10004000,衣,博士,51,164759
201402,10004000,衣,碩士,820,2476706
201402,10004000,衣,大學,3014,8795431
201402,10004000,衣,專科,1410,4694786
201402,10004000,衣,高中高職,2089,7207681
201402,10004000,衣,其他,1979,6009043
201402,10005000,衣,博士,70,185965
201402,10005000,衣,碩士,1153,3181137
201402,10005000,衣,大學,5816,15603900
201402,10005000,衣,專科,3260,9340251
201402,10005000,衣,高中高職,5232,15289733
201402,10005000,衣,其他,3374,9212302
201402,10007000,衣,博士,798,1998545
201402,10007000,衣,碩士,12035,30216581
201402,10007000,衣,大學,57903,151394414
201402,10007000,衣,專科,27161,76489984
201402,10007000,衣,高中高職,36820,105332876
201402,10007000,衣,其他,29456,82644523
201402,10008000,衣,博士,88,203145
201402,10008000,衣,碩士,1232,3150065
201402,10008000,衣,大學,6214,14982062
201402,10008000,衣,專科,4092,10996235
201402,10008000,衣,高中高職,5242,14211027
201402,10008000,衣,其他,3335,8532437
201402,10009000,衣,博士,107,262303
201402,10009000,衣,碩士,1506,3669373
201402,10009000,衣,大學,7628,18565817
201402,10009000,衣,專科,4529,11760696
201402,10009000,衣,高中高職,6697,17952072
201402,10009000,衣,其他,4127,10700622
201402,10020000,衣,博士,174,490408
201402,10020000,衣,碩士,1931,5228125
201402,10020000,衣,大學,10100,25906050
201402,10020000,衣,專科,6229,16751718
201402,10020000,衣,高中高職,7887,22237236
201402,10020000,衣,其他,5673,15670313
201402,10010000,衣,博士,14,52683
201402,10010000,衣,碩士,175,522540
201402,10010000,衣,大學,1058,2789238
201402,10010000,衣,專科,736,2057419
201402,10010000,衣,高中高職,983,2844588
201402,10010000,衣,其他,679,1985812
201402,10013000,衣,博士,107,263676
201402,10013000,衣,碩士,1081,2477811
201402,10013000,衣,大學,5779,13451266
201402,10013000,衣,專科,3764,8971569
201402,10013000,衣,高中高職,5764,14336141
201402,10013000,衣,其他,5054,12479351
201402,10002000,衣,博士,42,101636
201402,10002000,衣,碩士,839,2309276
