年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10017000,文教康樂,博士,59,781079
201401,10017000,文教康樂,碩士,684,2635303
201401,10017000,文教康樂,大學,3616,11514491
201401,10017000,文教康樂,專科,2013,5792004
201401,10017000,文教康樂,高中高職,2787,9928075
201401,10017000,文教康樂,其他,2077,6746424
201401,10018000,文教康樂,博士,467,3398317
201401,10018000,文教康樂,碩士,5187,28397643
201401,10018000,文教康樂,大學,14731,67673678
201401,10018000,文教康樂,專科,5755,26727234
201401,10018000,文教康樂,高中高職,6547,34040872
201401,10018000,文教康樂,其他,6821,38283628
201401,10004000,文教康樂,博士,183,1700371
201401,10004000,文教康樂,碩士,2326,13340426
201401,10004000,文教康樂,大學,6338,34231229
201401,10004000,文教康樂,專科,2909,15528338
201401,10004000,文教康樂,高中高職,3144,18118508
201401,10004000,文教康樂,其他,3641,17754423
201401,10005000,文教康樂,博士,171,771724
201401,10005000,文教康樂,碩士,2379,10989437
201401,10005000,文教康樂,大學,9082,37905639
201401,10005000,文教康樂,專科,4683,19367307
201401,10005000,文教康樂,高中高職,6592,27127014
201401,10005000,文教康樂,其他,4633,19178822
201401,10007000,文教康樂,博士,3175,19883953
201401,10007000,文教康樂,碩士,43103,195618544
201401,10007000,文教康樂,大學,166597,654670651
201401,10007000,文教康樂,專科,52952,278131239
201401,10007000,文教康樂,高中高職,71414,357440300
201401,10007000,文教康樂,其他,59099,302599743
201401,10008000,文教康樂,博士,251,1204265
201401,10008000,文教康樂,碩士,2638,11176846
201401,10008000,文教康樂,大學,9587,41368435
201401,10008000,文教康樂,專科,5401,22729896
201401,10008000,文教康樂,高中高職,6863,28249004
201401,10008000,文教康樂,其他,4499,18692751
201401,10009000,文教康樂,博士,328,1502801
201401,10009000,文教康樂,碩士,2804,9169858
201401,10009000,文教康樂,大學,10184,33172830
201401,10009000,文教康樂,專科,4880,19398968
201401,10009000,文教康樂,高中高職,6284,23753945
201401,10009000,文教康樂,其他,4255,13976554
201401,10020000,文教康樂,博士,344,2653693
201401,10020000,文教康樂,碩士,2835,16102907
201401,10020000,文教康樂,大學,11619,56483590
201401,10020000,文教康樂,專科,6678,32888649
201401,10020000,文教康樂,高中高職,7272,36508144
201401,10020000,文教康樂,其他,5995,29953181
201401,10010000,文教康樂,博士,42,162707
201401,10010000,文教康樂,碩士,339,1256647
201401,10010000,文教康樂,大學,1892,6914649
201401,10010000,文教康樂,專科,987,3889389
201401,10010000,文教康樂,高中高職,1004,4706709
201401,10010000,文教康樂,其他,1176,4371718
201401,10013000,文教康樂,博士,366,1822065
201401,10013000,文教康樂,碩士,3232,9545253
201401,10013000,文教康樂,大學,12015,37962287
201401,10013000,文教康樂,專科,5943,19183075
