年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10017000,食,博士,566,781756
201401,10017000,食,碩士,5368,7741457
201401,10017000,食,大學,27315,42035028
201401,10017000,食,專科,17391,26362101
201401,10017000,食,高中高職,29984,49433212
201401,10017000,食,其他,20628,34248595
201401,10018000,食,博士,6241,9406432
201401,10018000,食,碩士,51471,68102482
201401,10018000,食,大學,113118,162629000
201401,10018000,食,專科,44184,72348938
201401,10018000,食,高中高職,49844,87015153
201401,10018000,食,其他,81569,165193689
201401,10004000,食,博士,1452,1645296
201401,10004000,食,碩士,15868,15759482
201401,10004000,食,大學,31655,36424533
201401,10004000,食,專科,11680,14290282
201401,10004000,食,高中高職,12196,16088376
201401,10004000,食,其他,15581,17796189
201401,10005000,食,博士,1015,1469725
201401,10005000,食,碩士,11190,15591879
201401,10005000,食,大學,44827,69219500
201401,10005000,食,專科,23781,39617463
201401,10005000,食,高中高職,36645,60942089
201401,10005000,食,其他,25624,40680580
201401,10007000,食,博士,11462,21718877
201401,10007000,食,碩士,109752,198218361
201401,10007000,食,大學,408509,817472503
201401,10007000,食,專科,184489,325788740
201401,10007000,食,高中高職,269061,505458207
201401,10007000,食,其他,235660,402220258
201401,10008000,食,博士,996,1644677
201401,10008000,食,碩士,8654,14431529
201401,10008000,食,大學,32273,55152848
201401,10008000,食,專科,18416,34941982
201401,10008000,食,高中高職,23940,43964485
201401,10008000,食,其他,16977,29851658
201401,10009000,食,博士,764,1128625
201401,10009000,食,碩士,5058,7795054
201401,10009000,食,大學,21650,33152181
201401,10009000,食,專科,13944,23155215
201401,10009000,食,高中高職,20676,33429238
201401,10009000,食,其他,12414,20188416
201401,10020000,食,博士,2251,4136133
201401,10020000,食,碩士,14038,25242840
201401,10020000,食,大學,57762,98275630
201401,10020000,食,專科,39572,72203818
201401,10020000,食,高中高職,48589,86516224
201401,10020000,食,其他,40277,72867097
201401,10010000,食,博士,179,345160
201401,10010000,食,碩士,923,2200202
201401,10010000,食,大學,4372,8197207
201401,10010000,食,專科,3440,8771076
201401,10010000,食,高中高職,5353,11749474
201401,10010000,食,其他,3530,6854997
201401,10013000,食,博士,1171,2172612
201401,10013000,食,碩士,6863,10316969
201401,10013000,食,大學,31461,44547156
201401,10013000,食,專科,19096,29349555
201401,10013000,食,高中高職,28880,46787954
201401,10013000,食,其他,25188,37459342
201401,10002000,食,博士,729,1267094
201401,10002000,食,碩士,8221,12182747
201401,10002000,食,大學,29614,43608011
201401,10002000,食,專科,18471,28518667
201401,10002000,食,高中高職,25055,37005609
201401,10002000,食,其他,20285,29332772
201401,10015000,食,博士,1494,1993111
201401,10015000,食,碩士,9997,11131269
201401,10015000,食,大學,36758,45364100
201401,10015000,食,專科,20835,30025400
201401,10015000,食,高中高職,27115,43040517
201401,10015000,食,其他,23573,30856883
