年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10017000,住,博士,78,423171
201401,10017000,住,碩士,938,4849934
201401,10017000,住,大學,4009,21555487
201401,10017000,住,專科,2048,12051073
201401,10017000,住,高中高職,3047,17977695
201401,10017000,住,其他,2226,13906550
201401,10018000,住,博士,455,3692166
201401,10018000,住,碩士,4332,30249490
201401,10018000,住,大學,8751,60941693
201401,10018000,住,專科,2882,21359964
201401,10018000,住,高中高職,3064,26095167
201401,10018000,住,其他,4401,32205472
201401,10004000,住,博士,208,1945637
201401,10004000,住,碩士,2235,17982628
201401,10004000,住,大學,5486,36763537
201401,10004000,住,專科,2538,15641119
201401,10004000,住,高中高職,3119,20066129
201401,10004000,住,其他,3513,20068085
201401,10005000,住,博士,210,1441029
201401,10005000,住,碩士,2272,10807659
201401,10005000,住,大學,8368,47050028
201401,10005000,住,專科,3855,23143145
201401,10005000,住,高中高職,5273,33605789
201401,10005000,住,其他,4006,23675909
201401,10007000,住,博士,3556,12365746
201401,10007000,住,碩士,35953,131422905
201401,10007000,住,大學,117689,412540919
201401,10007000,住,專科,49640,177350913
201401,10007000,住,高中高職,61094,217070901
201401,10007000,住,其他,55453,203014168
201401,10008000,住,博士,538,3240669
201401,10008000,住,碩士,4252,25026747
201401,10008000,住,大學,13225,87183245
201401,10008000,住,專科,6271,40466785
201401,10008000,住,高中高職,6971,47424233
201401,10008000,住,其他,6374,51278149
201401,10009000,住,博士,189,1245721
201401,10009000,住,碩士,1617,7447489
201401,10009000,住,大學,6366,33994264
201401,10009000,住,專科,3545,19807582
201401,10009000,住,高中高職,4620,24797089
201401,10009000,住,其他,3126,16654311
201401,10020000,住,博士,498,2029929
201401,10020000,住,碩士,3481,14092291
201401,10020000,住,大學,12889,56704400
201401,10020000,住,專科,7408,34945310
201401,10020000,住,高中高職,8306,39344150
201401,10020000,住,其他,6767,31820745
201401,10010000,住,博士,61,365273
201401,10010000,住,碩士,445,2135692
201401,10010000,住,大學,1527,9083852
201401,10010000,住,專科,765,4954429
201401,10010000,住,高中高職,1001,6961747
201401,10010000,住,其他,799,5010883
201401,10013000,住,博士,627,2885295
201401,10013000,住,碩士,4262,22693769
201401,10013000,住,大學,14058,79862355
201401,10013000,住,專科,6879,42954548
201401,10013000,住,高中高職,8126,51802743
201401,10013000,住,其他,8186,47820114
201401,10002000,住,博士,531,3657158
201401,10002000,住,碩士,6188,35571453
201401,10002000,住,大學,18737,117262695
201401,10002000,住,專科,8895,57603364
201401,10002000,住,高中高職,9720,57852235
201401,10002000,住,其他,9808,70980658
201401,10015000,住,博士,621,2665016
201401,10015000,住,碩士,4803,21064148
201401,10015000,住,大學,14291,81486922
201401,10015000,住,專科,7307,40725919
201401,10015000,住,高中高職,7516,45830786
201401,10015000,住,其他,7741,49979211
201401,10014000,住,博士,310,1733951
201401,10014000,住,碩士,2488,15996097
201401,10014000,住,大學,7040,57714919
201401,10014000,住,專科,3319,24915542
201401,10014000,住,高中高職,3470,30259790
201401,10014000,住,其他,3232,30312277
201401,10016000,住,博士,42,138475
201401,10016000,住,碩士,435,1795595
201401,10016000,住,大學,1474,5730088
201401,10016000,住,專科,793,3365048
201401,10016000,住,高中高職,1085,4948319
201401,10016000,住,其他,693,3106210
201401,09020000,住,博士,41,196249
201401,09020000,住,碩士,364,2059465
201401,09020000,住,大學,1358,7530849
201401,09020000,住,專科,539,3035853
201401,09020000,住,高中高職,882,5540394
201401,09020000,住,其他,669,3093796
201401,09007000,住,博士,3,7400
201401,09007000,住,碩士,14,24800
201401,09007000,住,大學,36,110060
201401,09007000,住,專科,14,47450
201401,09007000,住,高中高職,15,43500
201401,09007000,住,其他,22,78300
201402,10017000,住,博士,53,256629
201402,10017000,住,碩士,628,2816688
