年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10017000,行,博士,621,674932
201401,10017000,行,碩士,6557,6783174
201401,10017000,行,大學,29295,28318636
201401,10017000,行,專科,20294,20989359
201401,10017000,行,高中高職,35032,36955245
201401,10017000,行,其他,23650,25619566
201401,10018000,行,博士,1357,1630322
201401,10018000,行,碩士,13549,14742041
201401,10018000,行,大學,34464,35246260
201401,10018000,行,專科,15069,16648098
201401,10018000,行,高中高職,20109,23412499
201401,10018000,行,其他,19469,22644142
201401,10004000,行,博士,982,1319345
201401,10004000,行,碩士,10332,11790145
201401,10004000,行,大學,26665,29153584
201401,10004000,行,專科,13584,15930084
201401,10004000,行,高中高職,16742,21574522
201401,10004000,行,其他,15219,18902760
201401,10005000,行,博士,1965,2280283
201401,10005000,行,碩士,22046,24682513
201401,10005000,行,大學,89812,99997466
201401,10005000,行,專科,49711,59305583
201401,10005000,行,高中高職,90262,119067978
201401,10005000,行,其他,67239,89172060
201401,10007000,行,博士,19857,23092979
201401,10007000,行,碩士,191871,203205985
201401,10007000,行,大學,665866,693856448
201401,10007000,行,專科,320893,366596708
201401,10007000,行,高中高職,516013,634867610
201401,10007000,行,其他,408042,472423384
201401,10008000,行,博士,1595,1810075
201401,10008000,行,碩士,14669,16670682
201401,10008000,行,大學,62587,70075277
201401,10008000,行,專科,41508,49722989
201401,10008000,行,高中高職,69553,86343277
201401,10008000,行,其他,47404,59742967
201401,10009000,行,博士,1508,1731133
201401,10009000,行,碩士,14278,14981377
201401,10009000,行,大學,65993,69673916
201401,10009000,行,專科,49111,55017843
201401,10009000,行,高中高職,76134,95311388
201401,10009000,行,其他,46107,61117454
201401,10020000,行,博士,2934,3596987
201401,10020000,行,碩士,19152,21707281
201401,10020000,行,大學,78137,83214424
201401,10020000,行,專科,49124,55220279
201401,10020000,行,高中高職,72689,88834301
201401,10020000,行,其他,54030,66019603
201401,10010000,行,博士,524,754072
201401,10010000,行,碩士,3447,4602622
201401,10010000,行,大學,15694,18027705
201401,10010000,行,專科,14714,17289594
201401,10010000,行,高中高職,24414,26929968
201401,10010000,行,其他,12943,15774479
201401,10013000,行,博士,2340,2647297
201401,10013000,行,碩士,16365,17738672
201401,10013000,行,大學,73594,74493106
201401,10013000,行,專科,45501,49072948
201401,10013000,行,高中高職,79141,101571331
201401,10013000,行,其他,62201,76027673
201401,10002000,行,博士,1195,1558518
201401,10002000,行,碩士,12546,14398324
201401,10002000,行,大學,49895,55075093
201401,10002000,行,專科,34208,40665000
201401,10002000,行,高中高職,53266,70830226
201401,10002000,行,其他,43581,57858244
201401,10015000,行,博士,935,1094128
201401,10015000,行,碩士,7460,8200611
201401,10015000,行,大學,28395,29697974
201401,10015000,行,專科,18286,21299728
201401,10015000,行,高中高職,26076,34255930
201401,10015000,行,其他,24064,30633323
201401,10014000,行,博士,478,584598
201401,10014000,行,碩士,4430,5165311
201401,10014000,行,大學,16212,17725073
201401,10014000,行,專科,10310,11801311
201401,10014000,行,高中高職,17092,20625189
201401,10014000,行,其他,13235,16344909
201401,10016000,行,博士,119,167311
201401,10016000,行,碩士,1102,2258670
201401,10016000,行,大學,5304,7310543
201401,10016000,行,專科,3575,4461796
201401,10016000,行,高中高職,6864,7788447
201401,10016000,行,其他,4817,6447250
201401,09020000,行,博士,88,135421
201401,09020000,行,碩士,824,1183822
201401,09020000,行,大學,3189,4327487
201401,09020000,行,專科,1636,2373866
201401,09020000,行,高中高職,3240,5252434
201401,09020000,行,其他,2378,3666337
201401,09007000,行,博士,1,7464
201401,09007000,行,碩士,26,40860
201401,09007000,行,大學,180,351639
201401,09007000,行,專科,82,187060
201401,09007000,行,高中高職,176,390374
201401,09007000,行,其他,126,255499
201402,10017000,行,博士,567,625877
201402,10017000,行,碩士,5813,6177021
201402,10017000,行,大學,25141,25027803
201402,10017000,行,專科,17849,18752784
201402,10017000,行,高中高職,30104,33034677
201402,10017000,行,其他,20129,22494442
201402,10018000,行,博士,1138,1232779
201402,10018000,行,碩士,11608,12498011
201402,10018000,行,大學,30291,31474421
201402,10018000,行,專科,13754,15141023
201402,10018000,行,高中高職,17595,19828010
201402,10018000,行,其他,16970,19900430
201402,10004000,行,博士,844,1032814
201402,10004000,行,碩士,8974,10128766
201402,10004000,行,大學,24107,26018713
201402,10004000,行,專科,12209,13960677
201402,10004000,行,高中高職,15347,19086816
201402,10004000,行,其他,13768,17340445
201402,10005000,行,博士,1786,2050731
201402,10005000,行,碩士,20801,23258766
201402,10005000,行,大學,85015,92833214
201402,10005000,行,專科,47452,56912316
201402,10005000,行,高中高職,83423,110024127
201402,10005000,行,其他,63670,85428304
201402,10007000,行,博士,17215,19315081
