年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,63000000,衣,博士,5322,19706697
201401,63000000,衣,碩士,79805,250801677
201401,63000000,衣,大學,324160,1003016373
201401,63000000,衣,專科,133458,417055101
201401,63000000,衣,高中高職,158390,510824940
201401,63000000,衣,其他,177427,643055901
201401,65000000,衣,博士,598,1979359
201401,65000000,衣,碩士,9262,26067971
201401,65000000,衣,大學,49020,138385485
201401,65000000,衣,專科,29843,89593738
201401,65000000,衣,高中高職,45213,147739337
201401,65000000,衣,其他,38360,122273528
201401,68000000,衣,博士,799,1767495
201401,68000000,衣,碩士,12255,27897675
201401,68000000,衣,大學,65862,155163942
201401,68000000,衣,專科,34581,89274820
201401,68000000,衣,高中高職,47768,138346893
201401,68000000,衣,其他,37359,102532500
201401,66000000,衣,博士,612,1945325
201401,66000000,衣,碩士,8089,23390000
201401,66000000,衣,大學,45877,131710188
201401,66000000,衣,專科,26296,80288506
201401,66000000,衣,高中高職,38647,122763502
201401,66000000,衣,其他,26607,85561269
201401,67000000,衣,博士,813,2279558
201401,67000000,衣,碩士,7959,21664202
201401,67000000,衣,大學,41796,115284706
201401,67000000,衣,專科,22779,65920989
201401,67000000,衣,高中高職,31853,95516001
201401,67000000,衣,其他,24981,73811799
201401,64000000,衣,博士,1259,3579410
201401,64000000,衣,碩士,12925,33405763
201401,64000000,衣,大學,69593,177523934
201401,64000000,衣,專科,38088,100617668
201401,64000000,衣,高中高職,57917,155298653
201401,64000000,衣,其他,48914,132440280
201402,63000000,衣,博士,3648,12255956
201402,63000000,衣,碩士,58994,181945733
201402,63000000,衣,大學,233325,687324787
201402,63000000,衣,專科,89317,268711456
201402,63000000,衣,高中高職,103378,321754358
201402,63000000,衣,其他,123230,441682307
201402,65000000,衣,博士,409,1218575
201402,65000000,衣,碩士,6618,17331753
201402,65000000,衣,大學,32265,84569639
201402,65000000,衣,專科,17917,49839993
201402,65000000,衣,高中高職,24995,73879577
201402,65000000,衣,其他,23376,67401441
201402,68000000,衣,博士,485,1022420
201402,68000000,衣,碩士,7283,16058515
201402,68000000,衣,大學,36797,83464491
201402,68000000,衣,專科,17998,44788219
201402,68000000,衣,高中高職,24468,65337323
201402,68000000,衣,其他,20716,52738124
201402,66000000,衣,博士,392,1168557
201402,66000000,衣,碩士,5716,15179222
201402,66000000,衣,大學,29530,80237336
201402,66000000,衣,專科,14719,42743547
201402,66000000,衣,高中高職,19907,61025163
201402,66000000,衣,其他,15617,47885455
201402,67000000,衣,博士,529,1382137
201402,67000000,衣,碩士,5658,14173854
201402,67000000,衣,大學,28668,72904906
201402,67000000,衣,專科,14520,38769106
201402,67000000,衣,高中高職,19272,55402688
201402,67000000,衣,其他,16366,44592438
201402,64000000,衣,博士,878,2392198
201402,64000000,衣,碩士,9629,23595936
201402,64000000,衣,大學,49855,118060349
201402,64000000,衣,專科,24789,60333954
201402,64000000,衣,高中高職,35534,88899443
201402,64000000,衣,其他,33236,82337925
201403,63000000,衣,博士,4068,14075641
201403,63000000,衣,碩士,68790,211805435
201403,63000000,衣,大學,273988,814906769
201403,63000000,衣,專科,101526,302751782
201403,63000000,衣,高中高職,116934,358128850
201403,63000000,衣,其他,142137,516965026
201403,65000000,衣,博士,502,1444818
201403,65000000,衣,碩士,7497,19089398
201403,65000000,衣,大學,38070,96478775
201403,65000000,衣,專科,21367,56879951
201403,65000000,衣,高中高職,29664,84258131
201403,65000000,衣,其他,26975,75906402
201403,68000000,衣,博士,484,1216010
201403,68000000,衣,碩士,7747,17704741
201403,68000000,衣,大學,41406,96281789
201403,68000000,衣,專科,20395,51001918
201403,68000000,衣,高中高職,27957,75149804
201403,68000000,衣,其他,23450,61402413
201403,66000000,衣,博士,446,1274079
201403,66000000,衣,碩士,6242,15632615
201403,66000000,衣,大學,33522,88812429
201403,66000000,衣,專科,16737,48381188
201403,66000000,衣,高中高職,22646,67889090
201403,66000000,衣,其他,17521,53828092
201403,67000000,衣,博士,552,1303013
201403,67000000,衣,碩士,6239,15465388
201403,67000000,衣,大學,32547,82493269
201403,67000000,衣,專科,16148,43646095
201403,67000000,衣,高中高職,22096,63147244
201403,67000000,衣,其他,18407,51204972
201403,64000000,衣,博士,921,2454891
201403,64000000,衣,碩士,9542,22145800
201403,64000000,衣,大學,52776,122139912
201403,64000000,衣,專科,26229,64173776
201403,64000000,衣,高中高職,38130,96182581
201403,64000000,衣,其他,35189,87521570
201404,63000000,衣,博士,3982,13562981
201404,63000000,衣,碩士,65293,195963694
201404,63000000,衣,大學,264775,745468741
201404,63000000,衣,專科,99040,286275839
201404,63000000,衣,高中高職,113501,345014387
201404,63000000,衣,其他,136509,488149280
201404,65000000,衣,博士,448,1239206
201404,65000000,衣,碩士,7239,18199418
201404,65000000,衣,大學,37168,94594577
201404,65000000,衣,專科,20661,54250370
201404,65000000,衣,高中高職,29673,86230552
201404,65000000,衣,其他,26406,73338746
201404,68000000,衣,博士,517,1142588
201404,68000000,衣,碩士,8985,21077527
201404,68000000,衣,大學,49348,116497321
