年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,63000000,百貨,博士,26950,83158073
201401,63000000,百貨,碩士,334875,964590726
201401,63000000,百貨,大學,1110841,3050654915
201401,63000000,百貨,專科,426734,1189994900
201401,63000000,百貨,高中高職,410215,1211441316
201401,63000000,百貨,其他,607441,1815378859
201401,65000000,百貨,博士,2105,6338027
201401,65000000,百貨,碩士,30599,106352377
201401,65000000,百貨,大學,116499,426325518
201401,65000000,百貨,專科,52460,177528129
201401,65000000,百貨,高中高職,64900,257023211
201401,65000000,百貨,其他,75453,267119260
201401,68000000,百貨,博士,4708,16177798
201401,68000000,百貨,碩士,65881,206330083
201401,68000000,百貨,大學,242652,765912010
201401,68000000,百貨,專科,108202,358399795
201401,68000000,百貨,高中高職,129971,471735056
201401,68000000,百貨,其他,138239,459994269
201401,66000000,百貨,博士,4598,15858579
201401,66000000,百貨,碩士,47377,178959685
201401,66000000,百貨,大學,221860,842378861
201401,66000000,百貨,專科,120643,427915425
201401,66000000,百貨,高中高職,125227,520683697
201401,66000000,百貨,其他,94164,403921041
201401,67000000,百貨,博士,3392,9197238
201401,67000000,百貨,碩士,29269,78013504
201401,67000000,百貨,大學,127055,330750233
201401,67000000,百貨,專科,57655,150847410
201401,67000000,百貨,高中高職,67546,202198111
201401,67000000,百貨,其他,70986,195720527
201401,64000000,百貨,博士,7859,21032413
201401,64000000,百貨,碩士,67117,176280685
201401,64000000,百貨,大學,285382,735938296
201401,64000000,百貨,專科,132015,348044900
201401,64000000,百貨,高中高職,170259,476509168
201401,64000000,百貨,其他,213815,587353272
201402,63000000,百貨,博士,22559,67806437
201402,63000000,百貨,碩士,286679,784045382
201402,63000000,百貨,大學,945387,2481110538
201402,63000000,百貨,專科,353436,917073854
201402,63000000,百貨,高中高職,337385,923720846
201402,63000000,百貨,其他,505959,1441302552
201402,65000000,百貨,博士,1727,5028970
201402,65000000,百貨,碩士,23966,68237800
201402,65000000,百貨,大學,89081,269907275
201402,65000000,百貨,專科,40724,123663709
201402,65000000,百貨,高中高職,47605,159311341
201402,65000000,百貨,其他,56338,171955244
201402,68000000,百貨,博士,3666,12205822
201402,68000000,百貨,碩士,54172,162983822
201402,68000000,百貨,大學,202311,619647962
201402,68000000,百貨,專科,90438,291026393
201402,68000000,百貨,高中高職,108194,377184789
201402,68000000,百貨,其他,114161,369650610
201402,66000000,百貨,博士,3706,11986953
201402,66000000,百貨,碩士,37608,131861057
201402,66000000,百貨,大學,171146,603384366
201402,66000000,百貨,專科,89071,304612562
