年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,63000000,其他,博士,84768,301468546
201401,63000000,其他,碩士,1021909,3255893253
201401,63000000,其他,大學,4253799,12559897752
201401,63000000,其他,專科,1979523,5995911980
201401,63000000,其他,高中高職,2860821,8816845430
201401,63000000,其他,其他,2326563,7941401828
201401,65000000,其他,博士,3241,13710574
201401,65000000,其他,碩士,40087,162723532
201401,65000000,其他,大學,163297,665479741
201401,65000000,其他,專科,74016,325790827
201401,65000000,其他,高中高職,100280,468141648
201401,65000000,其他,其他,92956,415552735
201401,68000000,其他,博士,2080,11394216
201401,68000000,其他,碩士,26296,135181057
201401,68000000,其他,大學,115947,556869986
201401,68000000,其他,專科,57909,306169907
201401,68000000,其他,高中高職,87410,471215810
201401,68000000,其他,其他,80240,427196248
201401,66000000,其他,博士,2874,14568456
201401,66000000,其他,碩士,26087,118492946
201401,66000000,其他,大學,114828,561070952
201401,66000000,其他,專科,71791,303369437
201401,66000000,其他,高中高職,89304,439876347
201401,66000000,其他,其他,73387,336892835
201401,67000000,其他,博士,2030,10633209
201401,67000000,其他,碩士,17491,88230167
201401,67000000,其他,大學,84167,355158167
201401,67000000,其他,專科,38535,173237514
201401,67000000,其他,高中高職,56598,248446982
201401,67000000,其他,其他,47956,214874314
201401,64000000,其他,博士,4067,21360314
201401,64000000,其他,碩士,33773,142601599
201401,64000000,其他,大學,165351,656181093
201401,64000000,其他,專科,83288,338837344
201401,64000000,其他,高中高職,122145,523674100
201401,64000000,其他,其他,120188,452270920
201402,63000000,其他,博士,77037,269476482
201402,63000000,其他,碩士,930117,2689790773
201402,63000000,其他,大學,3886703,10536031986
201402,63000000,其他,專科,1818569,5371881848
201402,63000000,其他,高中高職,2652890,7842586726
201402,63000000,其他,其他,2112446,6685701737
201402,65000000,其他,博士,2749,13826231
201402,65000000,其他,碩士,33430,118579369
201402,65000000,其他,大學,132327,493508296
201402,65000000,其他,專科,59408,244167644
201402,65000000,其他,高中高職,77172,339144676
201402,65000000,其他,其他,75096,299263182
201402,68000000,其他,博士,1594,8376594
201402,68000000,其他,碩士,20297,90756678
201402,68000000,其他,大學,89940,401535442
201402,68000000,其他,專科,43348,215083019
201402,68000000,其他,高中高職,64147,331314864
201402,68000000,其他,其他,59189,283683441
201402,66000000,其他,博士,2425,9754286
201402,66000000,其他,碩士,21960,93472860
201402,66000000,其他,大學,95352,423952086
201402,66000000,其他,專科,60684,240143574
201402,66000000,其他,高中高職,72861,342122263
201402,66000000,其他,其他,62578,246763495
201402,67000000,其他,博士,1417,6800469
201402,67000000,其他,碩士,13368,59171636
201402,67000000,其他,大學,65421,273397693
201402,67000000,其他,專科,29664,130250539
201402,67000000,其他,高中高職,42266,184998269
201402,67000000,其他,其他,36697,152595864
201402,64000000,其他,博士,3455,15835069
201402,64000000,其他,碩士,30140,120610474
201402,64000000,其他,大學,139243,533039927
201402,64000000,其他,專科,69733,269611120
201402,64000000,其他,高中高職,98642,415029812
201402,64000000,其他,其他,100940,350710225
201403,63000000,其他,博士,87703,292049745
201403,63000000,其他,碩士,1079731,3052047804
201403,63000000,其他,大學,4495576,12081242964
201403,63000000,其他,專科,2083546,6175090144
201403,63000000,其他,高中高職,3054871,9483871451
201403,63000000,其他,其他,2426141,8108943868
201403,65000000,其他,博士,2895,13426842
201403,65000000,其他,碩士,36480,134119425
201403,65000000,其他,大學,146008,547250763
201403,65000000,其他,專科,65213,276747727
201403,65000000,其他,高中高職,86248,383238905
201403,65000000,其他,其他,81399,332845700
201403,68000000,其他,博士,1774,12031363
201403,68000000,其他,碩士,23069,117224860
201403,68000000,其他,大學,103680,486822124
201403,68000000,其他,專科,50419,264753765
201403,68000000,其他,高中高職,75754,396673916
201403,68000000,其他,其他,70621,382458170
201403,66000000,其他,博士,2582,12659050
201403,66000000,其他,碩士,24443,111305552
201403,66000000,其他,大學,105910,510584586
201403,66000000,其他,專科,66346,286502228
201403,66000000,其他,高中高職,81790,400251957
201403,66000000,其他,其他,68629,292077719
201403,67000000,其他,博士,1491,7183634
201403,67000000,其他,碩士,13829,64253149
201403,67000000,其他,大學,68059,292919203
201403,67000000,其他,專科,31669,147181118
