年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,63000000,行,博士,50945,64406402
201401,63000000,行,碩士,494596,580132077
201401,63000000,行,大學,1604058,1705274561
201401,63000000,行,專科,786719,846793359
201401,63000000,行,高中高職,964618,1070237380
201401,63000000,行,其他,1010284,1158205836
201401,65000000,行,博士,4205,4966365
201401,65000000,行,碩士,46316,49042906
201401,65000000,行,大學,184326,168196317
201401,65000000,行,專科,119972,116493495
201401,65000000,行,高中高職,157834,154614937
201401,65000000,行,其他,122272,132419564
201401,68000000,行,博士,8819,13831073
201401,68000000,行,碩士,86492,125637682
201401,68000000,行,大學,328700,428735256
201401,68000000,行,專科,175518,224533130
201401,68000000,行,高中高職,278031,370441932
201401,68000000,行,其他,217908,301854299
201401,66000000,行,博士,2139,2992168
201401,66000000,行,碩士,20460,26140244
201401,66000000,行,大學,93227,106785222
201401,66000000,行,專科,69983,80662100
201401,66000000,行,高中高職,90468,109135843
201401,66000000,行,其他,68049,86658132
201401,67000000,行,博士,8473,10368214
201401,67000000,行,碩士,70894,78368802
201401,67000000,行,大學,278269,279508648
201401,67000000,行,專科,134554,148848714
201401,67000000,行,高中高職,202975,240387665
201401,67000000,行,其他,169042,201527804
201401,64000000,行,博士,11324,15354191
201401,64000000,行,碩士,88121,104173884
201401,64000000,行,大學,365138,390299063
201401,64000000,行,專科,185431,212347870
201401,64000000,行,高中高職,284134,343398067
201401,64000000,行,其他,246075,291694491
201402,63000000,行,博士,45292,56082618
201402,63000000,行,碩士,433000,500888677
201402,63000000,行,大學,1407545,1498257575
201402,63000000,行,專科,702288,754553961
201402,63000000,行,高中高職,854090,955609279
201402,63000000,行,其他,889950,1025976416
201402,65000000,行,博士,3569,4202440
201402,65000000,行,碩士,39418,41669442
201402,65000000,行,大學,156176,141851195
201402,65000000,行,專科,100875,97340274
201402,65000000,行,高中高職,130211,128408704
201402,65000000,行,其他,103373,109816506
201402,68000000,行,博士,7755,14296968
201402,68000000,行,碩士,75953,123678155
201402,68000000,行,大學,286027,404378204
201402,68000000,行,專科,152872,200453741
201402,68000000,行,高中高職,237483,321559354
201402,68000000,行,其他,187425,271855397
201402,66000000,行,博士,1859,2695096
201402,66000000,行,碩士,18109,22204577
201402,66000000,行,大學,82863,91917040
201402,66000000,行,專科,61096,70274970
201402,66000000,行,高中高職,79375,94448678
201402,66000000,行,其他,59479,73207382
201402,67000000,行,博士,7542,9129004
201402,67000000,行,碩士,66801,73052251
201402,67000000,行,大學,258938,261927800
201402,67000000,行,專科,124876,136999626
201402,67000000,行,高中高職,188553,221310781
201402,67000000,行,其他,156466,181658050
201402,64000000,行,博士,10027,12880025
201402,64000000,行,碩士,80818,95221063
201402,64000000,行,大學,331419,352761410
201402,64000000,行,專科,166842,188417124
201402,64000000,行,高中高職,253944,302506642
201402,64000000,行,其他,221637,259593524
201403,63000000,行,博士,54520,68148527
201403,63000000,行,碩士,516997,597360276
201403,63000000,行,大學,1660620,1763713107
201403,63000000,行,專科,810610,869382980
201403,63000000,行,高中高職,991069,1101816391
201403,63000000,行,其他,1039728,1207237750
201403,65000000,行,博士,4116,4977795
201403,65000000,行,碩士,45238,45744492
201403,65000000,行,大學,181243,161319974
201403,65000000,行,專科,116853,111776841
201403,65000000,行,高中高職,153606,150679220
201403,65000000,行,其他,121358,128570320
201403,68000000,行,博士,8897,17862658
201403,68000000,行,碩士,88338,159900118
201403,68000000,行,大學,332940,514832882
201403,68000000,行,專科,176256,240210702
201403,68000000,行,高中高職,276406,384208907
201403,68000000,行,其他,218407,337419169
201403,66000000,行,博士,2081,2766606
201403,66000000,行,碩士,20387,24843898
201403,66000000,行,大學,95375,104649151
201403,66000000,行,專科,70190,77423573
201403,66000000,行,高中高職,91914,109882774
201403,66000000,行,其他,67799,84552756
201403,67000000,行,博士,8614,10398233
201403,67000000,行,碩士,72407,79084325
201403,67000000,行,大學,283831,280650109
201403,67000000,行,專科,135473,148110334
201403,67000000,行,高中高職,204173,238879468
201403,67000000,行,其他,170144,197545948
201403,64000000,行,博士,11447,15304513
201403,64000000,行,碩士,90827,106793898
201403,64000000,行,大學,371936,389441768
201403,64000000,行,專科,185848,209813154
201403,64000000,行,高中高職,283583,341362250
201403,64000000,行,其他,248782,290405262
201404,63000000,行,博士,51586,65025440
201404,63000000,行,碩士,496786,564132037
201404,63000000,行,大學,1604125,1650042482
201404,63000000,行,專科,782609,820367619
201404,63000000,行,高中高職,961980,1050161703
201404,63000000,行,其他,1005788,1126003700
201404,65000000,行,博士,4032,4829219
201404,65000000,行,碩士,44376,43932910
201404,65000000,行,大學,179096,157217813
201404,65000000,行,專科,115449,109697784
201404,65000000,行,高中高職,150337,144713609
201404,65000000,行,其他,119933,126655586
201404,68000000,行,博士,8575,15456168
201404,68000000,行,碩士,83761,145796451
201404,68000000,行,大學,317805,460573637
201404,68000000,行,專科,168924,220821860
201404,68000000,行,高中高職,265010,361816074
201404,68000000,行,其他,207793,315472977
201404,66000000,行,博士,1997,2543459
201404,66000000,行,碩士,19628,23926728
201404,66000000,行,大學,91901,97879226
201404,66000000,行,專科,68574,75091207
201404,66000000,行,高中高職,88280,103098246
201404,66000000,行,其他,65744,78976672
201404,67000000,行,博士,8127,9592282
201404,67000000,行,碩士,69984,76112514
201404,67000000,行,大學,273244,268717766
201404,67000000,行,專科,131420,142400054
201404,67000000,行,高中高職,197183,232773357
201404,67000000,行,其他,164641,191075483
201404,64000000,行,博士,10889,14697323
201404,64000000,行,碩士,87186,102499418
201404,64000000,行,大學,358709,378325967
201404,64000000,行,專科,180420,203188845
201404,64000000,行,高中高職,274139,331362542
201404,64000000,行,其他,238875,283753924
201405,63000000,行,博士,56551,70596434
201405,63000000,行,碩士,532439,610634447
201405,63000000,行,大學,1702973,1796057009
201405,63000000,行,專科,829739,887044804
201405,63000000,行,高中高職,1019321,1123072949
201405,63000000,行,其他,1065125,1210688301
201405,65000000,行,博士,4390,5373947
201405,65000000,行,碩士,47661,50408975
201405,65000000,行,大學,191429,174693492
201405,65000000,行,專科,122629,118952958
201405,65000000,行,高中高職,160134,158400147
201405,65000000,行,其他,126755,134456398
201405,68000000,行,博士,9211,18247461
201405,68000000,行,碩士,90070,171701085
201405,68000000,行,大學,338191,503442700
201405,68000000,行,專科,180867,240217916
201405,68000000,行,高中高職,281049,384289406
201405,68000000,行,其他,219096,334188204
201405,66000000,行,博士,2114,2702517
201405,66000000,行,碩士,20309,25238092
201405,66000000,行,大學,95598,103189102
201405,66000000,行,專科,71951,80870517
201405,66000000,行,高中高職,92168,108388276
201405,66000000,行,其他,68283,82474936
201405,67000000,行,博士,9010,10828416
201405,67000000,行,碩士,75592,81832184
201405,67000000,行,大學,293359,291330782
201405,67000000,行,專科,140564,155213726
201405,67000000,行,高中高職,210145,246415133
201405,67000000,行,其他,173430,200939321
201405,64000000,行,博士,12053,16702680
201405,64000000,行,碩士,92432,108950599
201405,64000000,行,大學,382017,403375324
201405,64000000,行,專科,192037,217135583
201405,64000000,行,高中高職,291004,351430938
201405,64000000,行,其他,252822,301346196
201406,63000000,行,博士,53493,67144747
201406,63000000,行,碩士,514313,598397462
201406,63000000,行,大學,1668246,1762563640
201406,63000000,行,專科,826776,889674800
201406,63000000,行,高中高職,1018983,1139201624
201406,63000000,行,其他,1060561,1212320481
201406,65000000,行,博士,4288,5374184
201406,65000000,行,碩士,46990,50207113
201406,65000000,行,大學,187800,170885056
201406,65000000,行,專科,120407,118285567
201406,65000000,行,高中高職,157595,156200670
201406,65000000,行,其他,125555,137004099
201406,68000000,行,博士,9030,17774992
201406,68000000,行,碩士,88845,159698812
201406,68000000,行,大學,334758,478902422
201406,68000000,行,專科,178787,237251341
201406,68000000,行,高中高職,278781,384036704
201406,68000000,行,其他,217614,332836060
201406,66000000,行,博士,2293,3052874
201406,66000000,行,碩士,22259,26629216
201406,66000000,行,大學,102355,113038956
201406,66000000,行,專科,74707,85198749
201406,66000000,行,高中高職,96428,116387850
201406,66000000,行,其他,71807,90108458
201406,67000000,行,博士,8657,10256589
201406,67000000,行,碩士,73807,81508069
201406,67000000,行,大學,292082,294639953
201406,67000000,行,專科,140260,157013805
201406,67000000,行,高中高職,211780,250250087
201406,67000000,行,其他,173802,204024686
201406,64000000,行,博士,11591,15485270
201406,64000000,行,碩士,91116,111141249
201406,64000000,行,大學,377784,405504236
201406,64000000,行,專科,190353,220588175
201406,64000000,行,高中高職,289426,351567836
201406,64000000,行,其他,249553,297000413
201407,63000000,行,博士,55571,70248317
201407,63000000,行,碩士,544289,624233163
201407,63000000,行,大學,1775993,1863451277
201407,63000000,行,專科,876965,936717918
201407,63000000,行,高中高職,1073361,1185033406
201407,63000000,行,其他,1119838,1293180466
201407,65000000,行,博士,4280,5508298
201407,65000000,行,碩士,48657,49912830
201407,65000000,行,大學,197051,180643037
201407,65000000,行,專科,128086,124889810
201407,65000000,行,高中高職,165826,164051587
201407,65000000,行,其他,133155,144215306
201407,68000000,行,博士,9547,19158110
201407,68000000,行,碩士,94073,161722661
201407,68000000,行,大學,353097,510335370
201407,68000000,行,專科,188691,252553569
201407,68000000,行,高中高職,291691,403036871
