年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10005000,食,博士,1015,1469725
201401,10005000,食,碩士,11190,15591879
201401,10005000,食,大學,44827,69219500
201401,10005000,食,專科,23781,39617463
201401,10005000,食,高中高職,36645,60942089
201401,10005000,食,其他,25624,40680580
201402,10005000,食,博士,886,954683
201402,10005000,食,碩士,8661,9543039
201402,10005000,食,大學,31813,36846490
201402,10005000,食,專科,16484,20365351
201402,10005000,食,高中高職,24275,30299810
201402,10005000,食,其他,17381,21639472
201403,10005000,食,博士,952,967865
201403,10005000,食,碩士,9479,9734473
201403,10005000,食,大學,35734,38076765
201403,10005000,食,專科,18582,21760312
201403,10005000,食,高中高職,28705,33288014
201403,10005000,食,其他,20438,23938736
201404,10005000,食,博士,906,1098827
201404,10005000,食,碩士,9095,9801223
201404,10005000,食,大學,34614,38846909
201404,10005000,食,專科,18156,20732405
201404,10005000,食,高中高職,27757,32685640
201404,10005000,食,其他,19274,22108763
201405,10005000,食,博士,935,1021038
201405,10005000,食,碩士,10127,11079932
201405,10005000,食,大學,38663,45178892
201405,10005000,食,專科,20135,23965144
201405,10005000,食,高中高職,30491,36660211
201405,10005000,食,其他,21149,25126962
201406,10005000,食,博士,957,1172791
201406,10005000,食,碩士,9885,11132891
201406,10005000,食,大學,38160,44353306
201406,10005000,食,專科,19973,25972429
201406,10005000,食,高中高職,30495,36237351
201406,10005000,食,其他,21133,24903307
201407,10005000,食,博士,1087,1252606
201407,10005000,食,碩士,10911,11840822
201407,10005000,食,大學,42161,47888774
201407,10005000,食,專科,22512,27373320
201407,10005000,食,高中高職,34221,43422885
201407,10005000,食,其他,23925,28730930
201408,10005000,食,博士,1119,1403783
201408,10005000,食,碩士,11801,13440644
201408,10005000,食,大學,45253,57828074
201408,10005000,食,專科,24103,33194636
201408,10005000,食,高中高職,37308,52919084
201408,10005000,食,其他,25523,35014860
201409,10005000,食,博士,1017,1105274
201409,10005000,食,碩士,9993,10713749
201409,10005000,食,大學,37547,43056359
201409,10005000,食,專科,19692,23437774
201409,10005000,食,高中高職,30336,37231591
201409,10005000,食,其他,20599,23959716
201410,10005000,食,博士,946,1050653
201410,10005000,食,碩士,9886,10380074
201410,10005000,食,大學,36979,41800698
201410,10005000,食,專科,19501,23459319
201410,10005000,食,高中高職,28792,33244659
201410,10005000,食,其他,19930,23005807
201411,10005000,食,博士,927,1002884
201411,10005000,食,碩士,9832,10671795
201411,10005000,食,大學,36581,41365298
201411,10005000,食,專科,18695,21539671
201411,10005000,食,高中高職,28293,33967658
201411,10005000,食,其他,19277,23015350
201412,10005000,食,博士,962,1243520
201412,10005000,食,碩士,10795,12174198
201412,10005000,食,大學,40285,48350739
201412,10005000,食,專科,20859,26009094
201412,10005000,食,高中高職,31661,39759414
201412,10005000,食,其他,21476,25991658
201501,10005000,食,博士,1148,1406051
201501,10005000,食,碩士,11680,14333085
201501,10005000,食,大學,44219,53990935
201501,10005000,食,專科,22606,30122381
201501,10005000,食,高中高職,33480,46582854
201501,10005000,食,其他,22731,29921888
201502,10005000,食,博士,1153,1639190
201502,10005000,食,碩士,13499,17813962
201502,10005000,食,大學,51453,72894885
201502,10005000,食,專科,25922,41377044
201502,10005000,食,高中高職,37538,62842041
201502,10005000,食,其他,27010,41952642
201503,10005000,食,博士,939,1022116
201503,10005000,食,碩士,9981,10573616
201503,10005000,食,大學,37139,40603525
