年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10005000,其他,博士,275,1180739
201401,10005000,其他,碩士,3613,14474362
201401,10005000,其他,大學,17023,73979158
201401,10005000,其他,專科,8409,37273075
201401,10005000,其他,高中高職,13723,62532339
201401,10005000,其他,其他,9492,45093201
201402,10005000,其他,博士,224,816724
201402,10005000,其他,碩士,2840,9903235
201402,10005000,其他,大學,13512,48324485
201402,10005000,其他,專科,6475,26441440
201402,10005000,其他,高中高職,10716,45242710
201402,10005000,其他,其他,7589,28484433
201403,10005000,其他,博士,201,801221
201403,10005000,其他,碩士,2904,10695858
201403,10005000,其他,大學,14300,56407922
201403,10005000,其他,專科,7162,28694012
201403,10005000,其他,高中高職,11530,47644683
201403,10005000,其他,其他,8003,31822925
201404,10005000,其他,博士,207,1426701
201404,10005000,其他,碩士,2813,11071539
201404,10005000,其他,大學,13588,52344426
201404,10005000,其他,專科,7057,30898970
201404,10005000,其他,高中高職,11317,48458396
201404,10005000,其他,其他,7520,28796131
201405,10005000,其他,博士,228,910842
201405,10005000,其他,碩士,2861,10988792
201405,10005000,其他,大學,14329,55301866
201405,10005000,其他,專科,7346,29814057
201405,10005000,其他,高中高職,11928,49911832
201405,10005000,其他,其他,7859,31057600
201406,10005000,其他,博士,238,1237675
201406,10005000,其他,碩士,2903,11937957
201406,10005000,其他,大學,14564,51864082
201406,10005000,其他,專科,7325,29681049
201406,10005000,其他,高中高職,11848,48229547
201406,10005000,其他,其他,7845,29439028
201407,10005000,其他,博士,282,1158367
201407,10005000,其他,碩士,2971,12092364
201407,10005000,其他,大學,14656,57984897
201407,10005000,其他,專科,7410,31344149
201407,10005000,其他,高中高職,11897,52416119
201407,10005000,其他,其他,7686,30928172
201408,10005000,其他,博士,260,1649018
201408,10005000,其他,碩士,2982,12303413
201408,10005000,其他,大學,14647,70176562
201408,10005000,其他,專科,7152,35929536
201408,10005000,其他,高中高職,11556,58011199
201408,10005000,其他,其他,7941,38755621
201409,10005000,其他,博士,237,1433827
201409,10005000,其他,碩士,2972,14442995
201409,10005000,其他,大學,14487,91123107
201409,10005000,其他,專科,7038,42793572
201409,10005000,其他,高中高職,11676,77851020
201409,10005000,其他,其他,7511,44205122
201410,10005000,其他,博士,227,966515
201410,10005000,其他,碩士,3096,12567264
201410,10005000,其他,大學,15229,63992391
201410,10005000,其他,專科,7298,31984936
201410,10005000,其他,高中高職,12307,54386671
201410,10005000,其他,其他,7766,32666726
201411,10005000,其他,博士,247,1127202
201411,10005000,其他,碩士,3060,12397367
201411,10005000,其他,大學,14456,57677100
201411,10005000,其他,專科,6893,29197982
201411,10005000,其他,高中高職,11084,46897167
201411,10005000,其他,其他,7273,29698358
201412,10005000,其他,博士,252,1029262
201412,10005000,其他,碩士,3301,13609451
201412,10005000,其他,大學,15967,64249398
201412,10005000,其他,專科,7760,33013840
201412,10005000,其他,高中高職,12244,52702389
201412,10005000,其他,其他,8100,32146585
201501,10005000,其他,博士,276,910156
201501,10005000,其他,碩士,3688,13681467
201501,10005000,其他,大學,17025,65523435
201501,10005000,其他,專科,7995,33143927
201501,10005000,其他,高中高職,12608,52265436
201501,10005000,其他,其他,8289,35647039
201502,10005000,其他,博士,275,1020132
201502,10005000,其他,碩士,3321,11253622
