年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10005000,行,博士,1965,2280283
201401,10005000,行,碩士,22046,24682513
201401,10005000,行,大學,89812,99997466
201401,10005000,行,專科,49711,59305583
201401,10005000,行,高中高職,90262,119067978
201401,10005000,行,其他,67239,89172060
201402,10005000,行,博士,1786,2050731
201402,10005000,行,碩士,20801,23258766
201402,10005000,行,大學,85015,92833214
201402,10005000,行,專科,47452,56912316
201402,10005000,行,高中高職,83423,110024127
201402,10005000,行,其他,63670,85428304
201403,10005000,行,博士,1929,2249013
201403,10005000,行,碩士,21909,24280325
201403,10005000,行,大學,90452,98454415
201403,10005000,行,專科,49799,58971089
201403,10005000,行,高中高職,90749,122732061
201403,10005000,行,其他,67945,96280340
201404,10005000,行,博士,1828,2056012
201404,10005000,行,碩士,21434,23384952
201404,10005000,行,大學,87302,93242113
201404,10005000,行,專科,48248,57220900
201404,10005000,行,高中高職,87448,117281443
201404,10005000,行,其他,63949,87006463
201405,10005000,行,博士,1825,2135871
201405,10005000,行,碩士,22217,24458647
201405,10005000,行,大學,90625,98156592
201405,10005000,行,專科,49539,58593626
201405,10005000,行,高中高職,89040,117225370
201405,10005000,行,其他,65279,87296801
201406,10005000,行,博士,1663,1932200
201406,10005000,行,碩士,19758,21622767
201406,10005000,行,大學,83797,91933489
201406,10005000,行,專科,47190,55710031
201406,10005000,行,高中高職,85505,112938942
201406,10005000,行,其他,62418,84226759
201407,10005000,行,博士,1735,2008257
201407,10005000,行,碩士,21146,23261993
201407,10005000,行,大學,88412,93918173
201407,10005000,行,專科,49106,58414496
201407,10005000,行,高中高職,88271,116444558
201407,10005000,行,其他,63998,87322171
201408,10005000,行,博士,1845,2048795
201408,10005000,行,碩士,22025,23790269
201408,10005000,行,大學,90869,94608184
201408,10005000,行,專科,50044,58931223
201408,10005000,行,高中高職,88904,112955081
201408,10005000,行,其他,65221,85127953
201409,10005000,行,博士,1648,1878241
201409,10005000,行,碩士,20270,21602086
201409,10005000,行,大學,84830,86951208
201409,10005000,行,專科,46968,53355796
201409,10005000,行,高中高職,83915,104414167
201409,10005000,行,其他,61972,81055016
201410,10005000,行,博士,1796,1884520
201410,10005000,行,碩士,21278,21261720
201410,10005000,行,大學,88227,85346316
201410,10005000,行,專科,48522,53562417
201410,10005000,行,高中高職,85610,103007284
201410,10005000,行,其他,63133,78643641
201411,10005000,行,博士,1704,1735454
201411,10005000,行,碩士,20578,20334527
201411,10005000,行,大學,85669,80321222
201411,10005000,行,專科,46571,48350923
201411,10005000,行,高中高職,82516,94099414
201411,10005000,行,其他,61656,71248346
201412,10005000,行,博士,1733,1665149
201412,10005000,行,碩士,21573,20857313
201412,10005000,行,大學,89698,80143930
201412,10005000,行,專科,48548,49600291
201412,10005000,行,高中高職,85629,93378407
201412,10005000,行,其他,63582,69311559
201501,10005000,行,博士,1780,1503766
201501,10005000,行,碩士,22338,17961919
201501,10005000,行,大學,91563,73252412
201501,10005000,行,專科,49336,45802571
201501,10005000,行,高中高職,85812,82612227
201501,10005000,行,其他,63667,62675004
201502,10005000,行,博士,1775,1470253
201502,10005000,行,碩士,21896,17764050
201502,10005000,行,大學,87237,70234281
201502,10005000,行,專科,46898,40841869
201502,10005000,行,高中高職,80161,75295516
201502,10005000,行,其他,60746,57579304
201503,10005000,行,博士,1758,1502617
201503,10005000,行,碩士,21661,18668580
201503,10005000,行,大學,90125,76679336
201503,10005000,行,專科,47675,45852207
201503,10005000,行,高中高職,85053,88568334
201503,10005000,行,其他,63809,63994868
201504,10005000,行,博士,1786,1584607
201504,10005000,行,碩士,21294,17599454
201504,10005000,行,大學,88350,72906922
201504,10005000,行,專科,47063,43053471
201504,10005000,行,高中高職,81647,83100015
201504,10005000,行,其他,60957,61353044
201505,10005000,行,博士,1777,1593791
201505,10005000,行,碩士,22641,25288216
201505,10005000,行,大學,90925,78754951
201505,10005000,行,專科,48255,44972269
201505,10005000,行,高中高職,84173,87065105
201505,10005000,行,其他,62935,65655819
201506,10005000,行,博士,1875,1752842
201506,10005000,行,碩士,22283,19228636
201506,10005000,行,大學,92869,78659803
201506,10005000,行,專科,49069,46857981
201506,10005000,行,高中高職,86750,92842646
201506,10005000,行,其他,63878,66175876
201507,10005000,行,博士,1876,1693786
201507,10005000,行,碩士,23019,20776364
201507,10005000,行,大學,95008,83343085
201507,10005000,行,專科,50591,46522038
201507,10005000,行,高中高職,88650,90916182
201507,10005000,行,其他,64834,67133274
201508,10005000,行,博士,1878,1523838
201508,10005000,行,碩士,22262,20066159
201508,10005000,行,大學,92616,72004714
201508,10005000,行,專科,48855,41165346
201508,10005000,行,高中高職,84843,81556235
201508,10005000,行,其他,62431,57152867
201509,10005000,行,博士,1859,1501670
201509,10005000,行,碩士,22350,19608498
201509,10005000,行,大學,92262,70954229
201509,10005000,行,專科,48556,41856098
201509,10005000,行,高中高職,84025,78029029
201509,10005000,行,其他,62299,56563915
201510,10005000,行,博士,1894,1507741
201510,10005000,行,碩士,23185,18694410
201510,10005000,行,大學,95131,73755897
201510,10005000,行,專科,49767,41754641
201510,10005000,行,高中高職,87426,84189850
201510,10005000,行,其他,64746,61795151
201511,10005000,行,博士,1912,1582125
201511,10005000,行,碩士,22842,17919381
201511,10005000,行,大學,94678,70465130
201511,10005000,行,專科,49758,42889298
201511,10005000,行,高中高職,86847,81932025
201511,10005000,行,其他,62868,58172716
201512,10005000,行,博士,2058,1624303
201512,10005000,行,碩士,24266,18335982
201512,10005000,行,大學,96733,71798607
201512,10005000,行,專科,49828,42137653
201512,10005000,行,高中高職,85243,75296568
201512,10005000,行,其他,62524,57370590
201601,10005000,行,博士,1329,987912
201601,10005000,行,碩士,13279,10336165
201601,10005000,行,大學,47418,35622993
201601,10005000,行,專科,24439,19496763
201601,10005000,行,高中高職,39055,34440435
201601,10005000,行,其他,27091,23312278
201602,10005000,行,博士,1154,841518
201602,10005000,行,碩士,12378,9262587
201602,10005000,行,大學,44129,33611137
201602,10005000,行,專科,22804,18493522
201602,10005000,行,高中高職,35602,30300108
201602,10005000,行,其他,25411,21180183
201603,10005000,行,博士,1259,1079190
201603,10005000,行,碩士,12952,10376527
201603,10005000,行,大學,45482,36396001
201603,10005000,行,專科,23300,19813973
201603,10005000,行,高中高職,37053,35067613
201603,10005000,行,其他,26365,24091426
201604,10005000,行,博士,1253,1083584
201604,10005000,行,碩士,13393,11039941
201604,10005000,行,大學,47062,38287783
201604,10005000,行,專科,23726,20148752
201604,10005000,行,高中高職,37627,34699070
201604,10005000,行,其他,26671,24690401
201605,10005000,行,博士,1327,1110381
201605,10005000,行,碩士,13887,11572337
201605,10005000,行,大學,49143,40328317
201605,10005000,行,專科,24205,21379952
201605,10005000,行,高中高職,38649,38264155
201605,10005000,行,其他,27708,26387920
201606,10005000,行,博士,1287,1108286
201606,10005000,行,碩士,13868,12416710
201606,10005000,行,大學,49687,42377726
201606,10005000,行,專科,25067,23183723
201606,10005000,行,高中高職,40823,40848902
201606,10005000,行,其他,29274,28876756
201607,10005000,行,博士,1289,1118225
201607,10005000,行,碩士,14144,11521717
201607,10005000,行,大學,50939,41695959
201607,10005000,行,專科,25384,23431265
201607,10005000,行,高中高職,40465,39790902
201607,10005000,行,其他,28758,27896862
201608,10005000,行,博士,1273,1060851
201608,10005000,行,碩士,14323,11553439
201608,10005000,行,大學,49086,38932084
201608,10005000,行,專科,23985,20525549
201608,10005000,行,高中高職,38273,36193000
201608,10005000,行,其他,30454,27393582
201609,10005000,行,博士,1181,1022805
201609,10005000,行,碩士,12581,10557189
201609,10005000,行,大學,43216,35250540
201609,10005000,行,專科,20501,17953265
201609,10005000,行,高中高職,33660,32143395
201609,10005000,行,其他,27624,25733587
201610,10005000,行,博士,1323,1175747
201610,10005000,行,碩士,13971,12035940
201610,10005000,行,大學,47721,39830988
201610,10005000,行,專科,22543,20373694
201610,10005000,行,高中高職,37025,36549404
201610,10005000,行,其他,30480,28825875
201611,10005000,行,博士,1377,1175507
201611,10005000,行,碩士,13220,10636237
201611,10005000,行,大學,45906,37569832
201611,10005000,行,專科,22205,20379065
201611,10005000,行,高中高職,36483,36679892
201611,10005000,行,其他,30497,29011167
201612,10005000,行,博士,1317,1192550
201612,10005000,行,碩士,13765,12032967
201612,10005000,行,大學,47697,40597435
201612,10005000,行,專科,22868,21454594
201612,10005000,行,高中高職,37370,40380739
201612,10005000,行,其他,31400,31779743
201701,10005000,行,博士,1122,1053538
201701,10005000,行,碩士,12303,10831626
201701,10005000,行,大學,42705,38551474
201701,10005000,行,專科,19800,18588021
201701,10005000,行,高中高職,31683,34185704
201701,10005000,行,其他,27737,28391367
201702,10005000,行,博士,1020,1297846
201702,10005000,行,碩士,11126,10176172
201702,10005000,行,大學,38961,34482623
201702,10005000,行,專科,17726,16727360
201702,10005000,行,高中高職,29065,30850122
201702,10005000,行,其他,25597,25309512
201703,10005000,行,博士,1138,1024826
201703,10005000,行,碩士,11902,10128175
201703,10005000,行,大學,41617,36881985
201703,10005000,行,專科,18920,17794909
201703,10005000,行,高中高職,31782,33992095
201703,10005000,行,其他,28013,28104451
201704,10005000,行,博士,1155,998402
201704,10005000,行,碩士,12819,11353229
201704,10005000,行,大學,44048,37437131
201704,10005000,行,專科,20769,19595074
201704,10005000,行,高中高職,33961,35438569
201704,10005000,行,其他,29385,27575564
201705,10005000,行,博士,1102,1003439
201705,10005000,行,碩士,12538,11031829
201705,10005000,行,大學,42629,35890380
201705,10005000,行,專科,18366,16935168
201705,10005000,行,高中高職,31734,31386245
