年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10008000,衣,博士,145,418873
201401,10008000,衣,碩士,2109,5960455
201401,10008000,衣,大學,10292,27434382
201401,10008000,衣,專科,7460,21148783
201401,10008000,衣,高中高職,10179,29851931
201401,10008000,衣,其他,5820,16319084
201402,10008000,衣,博士,88,203145
201402,10008000,衣,碩士,1232,3150065
201402,10008000,衣,大學,6214,14982062
201402,10008000,衣,專科,4092,10996235
201402,10008000,衣,高中高職,5242,14211027
201402,10008000,衣,其他,3335,8532437
201403,10008000,衣,博士,98,201140
201403,10008000,衣,碩士,1207,2922727
201403,10008000,衣,大學,6663,15279707
201403,10008000,衣,專科,4537,11475231
201403,10008000,衣,高中高職,6103,16354660
201403,10008000,衣,其他,3688,8949641
201404,10008000,衣,博士,98,236423
201404,10008000,衣,碩士,1172,2803964
201404,10008000,衣,大學,6425,15129366
201404,10008000,衣,專科,4272,10985757
201404,10008000,衣,高中高職,5977,15149922
201404,10008000,衣,其他,3517,8939427
201405,10008000,衣,博士,124,272549
201405,10008000,衣,碩士,1203,2885833
201405,10008000,衣,大學,6706,15931907
201405,10008000,衣,專科,4564,11064356
201405,10008000,衣,高中高職,6261,16457012
201405,10008000,衣,其他,3730,9307130
201406,10008000,衣,博士,110,226850
201406,10008000,衣,碩士,1262,2865450
201406,10008000,衣,大學,6714,14852643
201406,10008000,衣,專科,4387,10632445
201406,10008000,衣,高中高職,6364,15877457
201406,10008000,衣,其他,3742,8731027
201407,10008000,衣,博士,130,282268
201407,10008000,衣,碩士,1466,3433800
201407,10008000,衣,大學,7241,16065629
201407,10008000,衣,專科,4730,11338507
201407,10008000,衣,高中高職,6381,15889167
201407,10008000,衣,其他,3684,8639294
201408,10008000,衣,博士,94,222144
201408,10008000,衣,碩士,1371,3130116
201408,10008000,衣,大學,7178,15896776
201408,10008000,衣,專科,4954,11771031
201408,10008000,衣,高中高職,6735,16185575
201408,10008000,衣,其他,3897,9045599
201409,10008000,衣,博士,100,223354
201409,10008000,衣,碩士,1109,2592296
201409,10008000,衣,大學,6357,14773061
201409,10008000,衣,專科,4198,11205634
201409,10008000,衣,高中高職,5635,15018925
201409,10008000,衣,其他,3365,8495085
201410,10008000,衣,博士,82,194178
201410,10008000,衣,碩士,1133,2891725
201410,10008000,衣,大學,5908,14580812
201410,10008000,衣,專科,4187,10944577
201410,10008000,衣,高中高職,5667,15529245
201410,10008000,衣,其他,3355,8672617
201411,10008000,衣,博士,96,299961
201411,10008000,衣,碩士,1032,2888826
201411,10008000,衣,大學,5549,14158796
201411,10008000,衣,專科,3806,10698634
201411,10008000,衣,高中高職,5443,15665529
201411,10008000,衣,其他,3199,8566661
201412,10008000,衣,博士,103,323437
201412,10008000,衣,碩士,1075,3203614
201412,10008000,衣,大學,6690,17649479
201412,10008000,衣,專科,4713,13147435
201412,10008000,衣,高中高職,6795,19602031
201412,10008000,衣,其他,4097,11230747
201501,10008000,衣,博士,104,225739
201501,10008000,衣,碩士,1160,3394307
201501,10008000,衣,大學,6418,17702554
201501,10008000,衣,專科,4448,13748352
201501,10008000,衣,高中高職,6370,19267607
201501,10008000,衣,其他,3497,10585468
201502,10008000,衣,博士,138,334091
201502,10008000,衣,碩士,1787,4875307
201502,10008000,衣,大學,8564,22280649
201502,10008000,衣,專科,6104,16970487
201502,10008000,衣,高中高職,8085,22945749
201502,10008000,衣,其他,4754,12786889
201503,10008000,衣,博士,93,187873
201503,10008000,衣,碩士,966,2350325
201503,10008000,衣,大學,5441,13455493
201503,10008000,衣,專科,3818,10638946
201503,10008000,衣,高中高職,5357,14793805
201503,10008000,衣,其他,3262,8657636
201504,10008000,衣,博士,79,148062
201504,10008000,衣,碩士,1054,2676599
201504,10008000,衣,大學,5597,13748202
201504,10008000,衣,專科,3958,10501121
201504,10008000,衣,高中高職,5505,15267079
