年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10008000,百貨,博士,42,28459
201401,10008000,百貨,碩士,677,559920
201401,10008000,百貨,大學,3834,2885537
201401,10008000,百貨,專科,2224,1781414
201401,10008000,百貨,高中高職,3051,2719520
201401,10008000,百貨,其他,1875,1575369
201402,10008000,百貨,博士,45,27988
201402,10008000,百貨,碩士,481,326868
201402,10008000,百貨,大學,3116,2201147
201402,10008000,百貨,專科,1917,1564967
201402,10008000,百貨,高中高職,2510,2104815
201402,10008000,百貨,其他,1547,1247938
201403,10008000,百貨,博士,32,20113
201403,10008000,百貨,碩士,507,395423
201403,10008000,百貨,大學,3282,2421572
201403,10008000,百貨,專科,1965,1512747
201403,10008000,百貨,高中高職,2675,2419243
201403,10008000,百貨,其他,1587,1354478
201404,10008000,百貨,博士,44,28786
201404,10008000,百貨,碩士,532,389603
201404,10008000,百貨,大學,3404,2605305
201404,10008000,百貨,專科,1990,1620229
201404,10008000,百貨,高中高職,2806,2525155
201404,10008000,百貨,其他,1620,1445394
201405,10008000,百貨,博士,42,52249
201405,10008000,百貨,碩士,625,476229
201405,10008000,百貨,大學,3707,2932575
201405,10008000,百貨,專科,2264,1665198
201405,10008000,百貨,高中高職,2856,2565205
201405,10008000,百貨,其他,1826,1692042
201406,10008000,百貨,博士,49,36822
201406,10008000,百貨,碩士,595,546109
201406,10008000,百貨,大學,3914,2941113
201406,10008000,百貨,專科,2368,1914645
201406,10008000,百貨,高中高職,3105,2657259
201406,10008000,百貨,其他,1974,1772331
201407,10008000,百貨,博士,53,23474
201407,10008000,百貨,碩士,624,500082
201407,10008000,百貨,大學,4030,2838461
201407,10008000,百貨,專科,2539,2001741
201407,10008000,百貨,高中高職,3142,2660866
201407,10008000,百貨,其他,2081,1683390
201408,10008000,百貨,博士,53,44807
201408,10008000,百貨,碩士,667,529183
201408,10008000,百貨,大學,4178,3260591
201408,10008000,百貨,專科,2450,1971739
201408,10008000,百貨,高中高職,3233,2893397
201408,10008000,百貨,其他,2154,1982966
201409,10008000,百貨,博士,41,28546
201409,10008000,百貨,碩士,595,422455
201409,10008000,百貨,大學,4117,3248719
201409,10008000,百貨,專科,2358,2068376
201409,10008000,百貨,高中高職,3085,2856309
201409,10008000,百貨,其他,1902,1790054
201410,10008000,百貨,博士,51,39999
201410,10008000,百貨,碩士,625,433563
201410,10008000,百貨,大學,3995,2954860
201410,10008000,百貨,專科,2379,2059764
201410,10008000,百貨,高中高職,3066,2428112
201410,10008000,百貨,其他,1972,1624656
201411,10008000,百貨,博士,57,38075
201411,10008000,百貨,碩士,596,459406
201411,10008000,百貨,大學,3863,2549821
201411,10008000,百貨,專科,2266,1658970
201411,10008000,百貨,高中高職,3057,2308936
201411,10008000,百貨,其他,1852,1438288
201412,10008000,百貨,博士,52,39015
201412,10008000,百貨,碩士,744,472823
201412,10008000,百貨,大學,4864,3451388
201412,10008000,百貨,專科,2912,2116258
201412,10008000,百貨,高中高職,3770,3023252
201412,10008000,百貨,其他,2301,1777229
201501,10008000,百貨,博士,59,43527
201501,10008000,百貨,碩士,639,600831
201501,10008000,百貨,大學,3936,2768188
201501,10008000,百貨,專科,2238,1802340
201501,10008000,百貨,高中高職,3154,2546782
