年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10008000,文教康樂,博士,251,1204265
201401,10008000,文教康樂,碩士,2638,11176846
201401,10008000,文教康樂,大學,9587,41368435
201401,10008000,文教康樂,專科,5401,22729896
201401,10008000,文教康樂,高中高職,6863,28249004
201401,10008000,文教康樂,其他,4499,18692751
201402,10008000,文教康樂,博士,196,652518
201402,10008000,文教康樂,碩士,2386,9951279
201402,10008000,文教康樂,大學,9243,34602719
201402,10008000,文教康樂,專科,4990,23639515
201402,10008000,文教康樂,高中高職,6185,29368835
201402,10008000,文教康樂,其他,4324,18119497
201403,10008000,文教康樂,博士,210,805607
201403,10008000,文教康樂,碩士,2071,9273765
201403,10008000,文教康樂,大學,8619,34403902
201403,10008000,文教康樂,專科,4828,20239042
201403,10008000,文教康樂,高中高職,6100,28280785
201403,10008000,文教康樂,其他,4262,19259093
201404,10008000,文教康樂,博士,194,698719
201404,10008000,文教康樂,碩士,2203,9151536
201404,10008000,文教康樂,大學,8727,39051250
201404,10008000,文教康樂,專科,4817,21966413
201404,10008000,文教康樂,高中高職,5899,29379464
201404,10008000,文教康樂,其他,4256,20306065
201405,10008000,文教康樂,博士,205,852733
201405,10008000,文教康樂,碩士,2096,10266033
201405,10008000,文教康樂,大學,8490,36348656
201405,10008000,文教康樂,專科,4594,20889377
201405,10008000,文教康樂,高中高職,5821,27925559
201405,10008000,文教康樂,其他,4122,19221975
201406,10008000,文教康樂,博士,224,1103830
201406,10008000,文教康樂,碩士,2094,9483233
201406,10008000,文教康樂,大學,8249,39389166
201406,10008000,文教康樂,專科,4490,20539575
201406,10008000,文教康樂,高中高職,5616,25608206
201406,10008000,文教康樂,其他,4001,17216031
201407,10008000,文教康樂,博士,283,1406204
201407,10008000,文教康樂,碩士,3014,14013901
201407,10008000,文教康樂,大學,10079,39884939
201407,10008000,文教康樂,專科,5741,25554854
201407,10008000,文教康樂,高中高職,6466,27480005
201407,10008000,文教康樂,其他,4811,20015369
201408,10008000,文教康樂,博士,293,1132346
201408,10008000,文教康樂,碩士,3129,12549495
201408,10008000,文教康樂,大學,11058,43249235
201408,10008000,文教康樂,專科,6252,27805651
201408,10008000,文教康樂,高中高職,7226,31720418
201408,10008000,文教康樂,其他,5231,23477246
201409,10008000,文教康樂,博士,210,853042
201409,10008000,文教康樂,碩士,2076,8585013
201409,10008000,文教康樂,大學,8162,32593106
201409,10008000,文教康樂,專科,4364,17378179
201409,10008000,文教康樂,高中高職,5435,23081938
201409,10008000,文教康樂,其他,4007,15617917
201410,10008000,文教康樂,博士,232,852340
201410,10008000,文教康樂,碩士,2434,9014069
201410,10008000,文教康樂,大學,9512,39744074
201410,10008000,文教康樂,專科,5129,21525830
201410,10008000,文教康樂,高中高職,6171,27658007
201410,10008000,文教康樂,其他,4844,19880887
201411,10008000,文教康樂,博士,225,777982
201411,10008000,文教康樂,碩士,2334,8707391
201411,10008000,文教康樂,大學,9650,38918442
201411,10008000,文教康樂,專科,4895,19358586
201411,10008000,文教康樂,高中高職,6355,26604429
201411,10008000,文教康樂,其他,4779,20024796
201412,10008000,文教康樂,博士,226,855960
201412,10008000,文教康樂,碩士,2045,8872206
201412,10008000,文教康樂,大學,8610,37111988
201412,10008000,文教康樂,專科,4597,19450983
201412,10008000,文教康樂,高中高職,5910,25522408
201412,10008000,文教康樂,其他,4564,18497428
201501,10008000,文教康樂,博士,237,1414878
201501,10008000,文教康樂,碩士,2542,11354012
201501,10008000,文教康樂,大學,9616,42300390
201501,10008000,文教康樂,專科,5296,23683176
201501,10008000,文教康樂,高中高職,6347,28401094
201501,10008000,文教康樂,其他,4792,22265701
201502,10008000,文教康樂,博士,291,1567801
201502,10008000,文教康樂,碩士,3343,12711687
201502,10008000,文教康樂,大學,10991,43752510
201502,10008000,文教康樂,專科,6041,26463070
201502,10008000,文教康樂,高中高職,6977,31850778
201502,10008000,文教康樂,其他,4997,20216930
201503,10008000,文教康樂,博士,207,1030381
201503,10008000,文教康樂,碩士,2045,8896459
201503,10008000,文教康樂,大學,8559,38664762
201503,10008000,文教康樂,專科,4763,23120207
201503,10008000,文教康樂,高中高職,6058,30275024
201503,10008000,文教康樂,其他,4354,19401938
201504,10008000,文教康樂,博士,223,1027975
201504,10008000,文教康樂,碩士,2300,8925716
201504,10008000,文教康樂,大學,9219,40839915
201504,10008000,文教康樂,專科,4848,23735558
201504,10008000,文教康樂,高中高職,6263,31616055
201504,10008000,文教康樂,其他,4837,22550493
201505,10008000,文教康樂,博士,205,1005699
201505,10008000,文教康樂,碩士,2181,10894237
201505,10008000,文教康樂,大學,8853,40347682
201505,10008000,文教康樂,專科,4716,22640930
201505,10008000,文教康樂,高中高職,5936,30051651
201505,10008000,文教康樂,其他,4510,20244258
201506,10008000,文教康樂,博士,221,676740
201506,10008000,文教康樂,碩士,2370,10908457
201506,10008000,文教康樂,大學,8915,40176098
201506,10008000,文教康樂,專科,4646,21924744
201506,10008000,文教康樂,高中高職,5874,27468322
201506,10008000,文教康樂,其他,4460,17427030
201507,10008000,文教康樂,博士,293,1436392
201507,10008000,文教康樂,碩士,2919,12538898
201507,10008000,文教康樂,大學,10125,40809792
201507,10008000,文教康樂,專科,5331,23162843
201507,10008000,文教康樂,高中高職,6515,29123701
