年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10008000,食,博士,996,1644677
201401,10008000,食,碩士,8654,14431529
201401,10008000,食,大學,32273,55152848
201401,10008000,食,專科,18416,34941982
201401,10008000,食,高中高職,23940,43964485
201401,10008000,食,其他,16977,29851658
201402,10008000,食,博士,670,1038315
201402,10008000,食,碩士,6439,8873277
201402,10008000,食,大學,24100,33848371
201402,10008000,食,專科,13312,20107172
201402,10008000,食,高中高職,17408,26873984
201402,10008000,食,其他,12666,18250862
201403,10008000,食,博士,715,1076652
201403,10008000,食,碩士,6232,8533109
201403,10008000,食,大學,24636,31493033
201403,10008000,食,專科,14054,18677920
201403,10008000,食,高中高職,18660,25923707
201403,10008000,食,其他,13163,18464154
201404,10008000,食,博士,759,879832
201404,10008000,食,碩士,6100,8247671
201404,10008000,食,大學,23764,31688909
201404,10008000,食,專科,13429,17864175
201404,10008000,食,高中高職,17128,24144281
201404,10008000,食,其他,12357,19627258
201405,10008000,食,博士,699,943081
201405,10008000,食,碩士,6339,8713687
201405,10008000,食,大學,25469,35034982
201405,10008000,食,專科,14344,21529756
201405,10008000,食,高中高職,18325,27747728
201405,10008000,食,其他,13002,19906835
201406,10008000,食,博士,748,1545851
201406,10008000,食,碩士,6322,8804985
201406,10008000,食,大學,25162,34251435
201406,10008000,食,專科,14140,20355511
201406,10008000,食,高中高職,18852,26983881
201406,10008000,食,其他,13136,20602967
201407,10008000,食,博士,914,1416804
201407,10008000,食,碩士,7551,11173584
201407,10008000,食,大學,28809,37538626
201407,10008000,食,專科,16902,24006716
201407,10008000,食,高中高職,21337,33317388
201407,10008000,食,其他,15115,23525934
201408,10008000,食,博士,972,1488306
201408,10008000,食,碩士,8746,14207861
201408,10008000,食,大學,32410,48437524
201408,10008000,食,專科,18683,30244956
201408,10008000,食,高中高職,23352,37785775
201408,10008000,食,其他,16709,26738153
201409,10008000,食,博士,745,869390
201409,10008000,食,碩士,6483,8581714
201409,10008000,食,大學,25730,33008261
201409,10008000,食,專科,14150,21224618
201409,10008000,食,高中高職,18441,27439113
201409,10008000,食,其他,12946,18609673
201410,10008000,食,博士,743,808246
201410,10008000,食,碩士,6713,8692862
201410,10008000,食,大學,25945,32134953
201410,10008000,食,專科,13982,19205280
201410,10008000,食,高中高職,17924,24193125
201410,10008000,食,其他,13139,18324589
201411,10008000,食,博士,798,1029494
201411,10008000,食,碩士,6564,9145795
201411,10008000,食,大學,25916,36280306
201411,10008000,食,專科,13752,19949987
201411,10008000,食,高中高職,17950,27237484
201411,10008000,食,其他,13201,20242095
201412,10008000,食,博士,863,1166283
201412,10008000,食,碩士,6918,10375642
201412,10008000,食,大學,27853,40768112
201412,10008000,食,專科,14932,23053665
201412,10008000,食,高中高職,19530,31431829
201412,10008000,食,其他,14463,22664295
201501,10008000,食,博士,944,1719938
201501,10008000,食,碩士,7885,12571625
201501,10008000,食,大學,29668,49213217
201501,10008000,食,專科,16445,29276163
201501,10008000,食,高中高職,20741,37271507
201501,10008000,食,其他,15407,27749430
201502,10008000,食,博士,1107,1714963
201502,10008000,食,碩士,9650,16780718
201502,10008000,食,大學,33298,55485096
201502,10008000,食,專科,18685,35087923
201502,10008000,食,高中高職,22411,43980406
201502,10008000,食,其他,17218,33559853
201503,10008000,食,博士,795,890638
201503,10008000,食,碩士,5843,7865402
201503,10008000,食,大學,23330,29110638
201503,10008000,食,專科,13022,18577385
201503,10008000,食,高中高職,17044,25066861
201503,10008000,食,其他,12312,17296086
201504,10008000,食,博士,795,879956
201504,10008000,食,碩士,6818,8099326
201504,10008000,食,大學,25078,30221523
201504,10008000,食,專科,13876,18233469
201504,10008000,食,高中高職,17862,24146922
201504,10008000,食,其他,13326,17733305
201505,10008000,食,博士,790,1183278
201505,10008000,食,碩士,7035,8220960
201505,10008000,食,大學,27293,34323485
201505,10008000,食,專科,15122,20518395
201505,10008000,食,高中高職,19411,26266133
201505,10008000,食,其他,14150,18933970
201506,10008000,食,博士,817,1303507
201506,10008000,食,碩士,7434,8876924
201506,10008000,食,大學,28181,32949079
201506,10008000,食,專科,16049,20397305
201506,10008000,食,高中高職,19992,26033660
201506,10008000,食,其他,14982,20043357
201507,10008000,食,博士,943,1222999
201507,10008000,食,碩士,8792,10720671
201507,10008000,食,大學,31383,36726476
201507,10008000,食,專科,17482,21701039
201507,10008000,食,高中高職,21645,28986551
201507,10008000,食,其他,15894,20872659
201508,10008000,食,博士,1019,1364877
201508,10008000,食,碩士,9355,11798906
201508,10008000,食,大學,35478,46923417
201508,10008000,食,專科,20436,29596206
201508,10008000,食,高中高職,26531,39621968
201508,10008000,食,其他,18880,28423818
201509,10008000,食,博士,858,920205
201509,10008000,食,碩士,7893,9752050
201509,10008000,食,大學,30854,38722356
