年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10008000,住,博士,538,3240669
201401,10008000,住,碩士,4252,25026747
201401,10008000,住,大學,13225,87183245
201401,10008000,住,專科,6271,40466785
201401,10008000,住,高中高職,6971,47424233
201401,10008000,住,其他,6374,51278149
201402,10008000,住,博士,346,2245323
201402,10008000,住,碩士,3509,22646466
201402,10008000,住,大學,11589,71358200
201402,10008000,住,專科,6017,36919288
201402,10008000,住,高中高職,6856,41756041
201402,10008000,住,其他,5877,43732777
201403,10008000,住,博士,274,1509106
201403,10008000,住,碩士,3019,18897344
201403,10008000,住,大學,10391,71724137
201403,10008000,住,專科,5017,38896625
201403,10008000,住,高中高職,5943,42339307
201403,10008000,住,其他,5331,45841256
201404,10008000,住,博士,341,2081043
201404,10008000,住,碩士,3589,25977170
201404,10008000,住,大學,11758,90309018
201404,10008000,住,專科,5924,50440877
201404,10008000,住,高中高職,6438,56072205
201404,10008000,住,其他,6000,55936428
201405,10008000,住,博士,316,2739132
201405,10008000,住,碩士,3592,25591654
201405,10008000,住,大學,11921,96926632
201405,10008000,住,專科,5674,47518582
201405,10008000,住,高中高職,6232,53340527
201405,10008000,住,其他,5917,55480249
201406,10008000,住,博士,388,3045976
201406,10008000,住,碩士,3530,22199602
201406,10008000,住,大學,11540,91349012
201406,10008000,住,專科,5602,47644893
201406,10008000,住,高中高職,6377,55181215
201406,10008000,住,其他,5880,53534708
201407,10008000,住,博士,596,3389002
201407,10008000,住,碩士,5212,31646354
201407,10008000,住,大學,16017,118117323
201407,10008000,住,專科,8129,59051876
201407,10008000,住,高中高職,8371,65429017
201407,10008000,住,其他,7656,67401515
201408,10008000,住,博士,685,3586333
201408,10008000,住,碩士,5859,37358202
201408,10008000,住,大學,16947,113441774
201408,10008000,住,專科,8322,60316279
201408,10008000,住,高中高職,8471,59706222
201408,10008000,住,其他,8151,69596383
201409,10008000,住,博士,370,2112148
201409,10008000,住,碩士,3616,22848930
201409,10008000,住,大學,11669,87054849
201409,10008000,住,專科,5618,44313639
201409,10008000,住,高中高職,6387,46086264
201409,10008000,住,其他,6019,54367987
201410,10008000,住,博士,366,2030026
201410,10008000,住,碩士,4007,26034972
201410,10008000,住,大學,13162,100492991
201410,10008000,住,專科,6081,43612474
201410,10008000,住,高中高職,6704,50096946
201410,10008000,住,其他,6547,61793080
201411,10008000,住,博士,420,3435722
201411,10008000,住,碩士,4596,35425585
201411,10008000,住,大學,14803,115141065
201411,10008000,住,專科,7064,59454419
201411,10008000,住,高中高職,7502,58233220
201411,10008000,住,其他,7355,71770371
201412,10008000,住,博士,325,1993506
201412,10008000,住,碩士,3490,23912410
201412,10008000,住,大學,11958,93408196
201412,10008000,住,專科,5733,48463396
201412,10008000,住,高中高職,6508,50231092
201412,10008000,住,其他,6080,57710907
201501,10008000,住,博士,439,2900621
201501,10008000,住,碩士,4016,25487870
201501,10008000,住,大學,13399,91743273
201501,10008000,住,專科,6375,45653241
201501,10008000,住,高中高職,7272,51855752
201501,10008000,住,其他,6714,54116411
201502,10008000,住,博士,654,4298557
201502,10008000,住,碩士,5704,36153148
201502,10008000,住,大學,15762,104464041
201502,10008000,住,專科,7643,51831402
201502,10008000,住,高中高職,7740,56370303
201502,10008000,住,其他,7749,66161070
201503,10008000,住,博士,337,2224761
201503,10008000,住,碩士,2863,22989889
201503,10008000,住,大學,10014,72609682
201503,10008000,住,專科,5129,36841196
201503,10008000,住,高中高職,5882,41145201
201503,10008000,住,其他,5281,45604388
201504,10008000,住,博士,376,2161136
201504,10008000,住,碩士,3753,24809863
201504,10008000,住,大學,12029,96775221
201504,10008000,住,專科,5950,46274643
201504,10008000,住,高中高職,6457,49066233
201504,10008000,住,其他,5986,54116179
201505,10008000,住,博士,351,2864712
201505,10008000,住,碩士,3604,27507297
