年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10008000,其他,博士,285,1396695
201401,10008000,其他,碩士,2578,10256176
201401,10008000,其他,大學,12741,55600940
201401,10008000,其他,專科,7660,32601568
201401,10008000,其他,高中高職,11989,55804141
201401,10008000,其他,其他,7734,33657064
201402,10008000,其他,博士,174,754675
201402,10008000,其他,碩士,1882,7328315
201402,10008000,其他,大學,9888,42420802
201402,10008000,其他,專科,5751,24783673
201402,10008000,其他,高中高職,8813,42818586
201402,10008000,其他,其他,5831,26036692
201403,10008000,其他,博士,198,1278842
201403,10008000,其他,碩士,1984,8159266
201403,10008000,其他,大學,10846,45241831
201403,10008000,其他,專科,6559,26559739
201403,10008000,其他,高中高職,9990,42456950
201403,10008000,其他,其他,6274,24916779
201404,10008000,其他,博士,190,749619
201404,10008000,其他,碩士,2003,8060564
201404,10008000,其他,大學,9970,40093881
201404,10008000,其他,專科,6108,27023072
201404,10008000,其他,高中高職,9534,43328599
201404,10008000,其他,其他,5969,26149404
201405,10008000,其他,博士,192,780889
201405,10008000,其他,碩士,2089,8775434
201405,10008000,其他,大學,10986,45559328
201405,10008000,其他,專科,6471,28631624
201405,10008000,其他,高中高職,10171,47508100
201405,10008000,其他,其他,6457,27848630
201406,10008000,其他,博士,227,899104
201406,10008000,其他,碩士,1971,7575896
201406,10008000,其他,大學,10675,44264174
201406,10008000,其他,專科,6517,26829968
201406,10008000,其他,高中高職,10013,44703465
201406,10008000,其他,其他,6336,27851807
201407,10008000,其他,博士,221,941600
201407,10008000,其他,碩士,2246,9374433
201407,10008000,其他,大學,11274,45952566
201407,10008000,其他,專科,6879,29305416
201407,10008000,其他,高中高職,10070,43124824
201407,10008000,其他,其他,6585,27725766
201408,10008000,其他,博士,230,954361
201408,10008000,其他,碩士,2409,8788037
201408,10008000,其他,大學,11335,46087953
201408,10008000,其他,專科,6693,27370192
201408,10008000,其他,高中高職,9954,42995309
201408,10008000,其他,其他,6576,27769958
201409,10008000,其他,博士,185,898745
201409,10008000,其他,碩士,2063,9831047
201409,10008000,其他,大學,10705,44023356
201409,10008000,其他,專科,6433,29203095
201409,10008000,其他,高中高職,9651,44476692
201409,10008000,其他,其他,6148,27165240
201410,10008000,其他,博士,234,1037137
201410,10008000,其他,碩士,2327,9547973
201410,10008000,其他,大學,11893,52221496
201410,10008000,其他,專科,6788,29337965
201410,10008000,其他,高中高職,10171,46398959
201410,10008000,其他,其他,6657,28561198
201411,10008000,其他,博士,209,943312
201411,10008000,其他,碩士,2136,7916713
201411,10008000,其他,大學,11312,48210664
201411,10008000,其他,專科,6435,27737268
201411,10008000,其他,高中高職,9711,44351228
201411,10008000,其他,其他,6308,27247277
201412,10008000,其他,博士,238,915275
201412,10008000,其他,碩士,2346,10060504
