年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10008000,行,博士,1595,1810075
201401,10008000,行,碩士,14669,16670682
201401,10008000,行,大學,62587,70075277
201401,10008000,行,專科,41508,49722989
201401,10008000,行,高中高職,69553,86343277
201401,10008000,行,其他,47404,59742967
201402,10008000,行,博士,1402,1665754
201402,10008000,行,碩士,14870,16753739
201402,10008000,行,大學,63777,70284902
201402,10008000,行,專科,42333,51691115
201402,10008000,行,高中高職,70369,85030133
201402,10008000,行,其他,48914,59940673
201403,10008000,行,博士,1376,1667424
201403,10008000,行,碩士,13654,15339243
201403,10008000,行,大學,60635,67781025
201403,10008000,行,專科,40603,47095968
201403,10008000,行,高中高職,69213,86228298
201403,10008000,行,其他,47032,59730592
201404,10008000,行,博士,1302,1502230
201404,10008000,行,碩士,13064,15748257
201404,10008000,行,大學,58346,63540508
201404,10008000,行,專科,38605,43629186
201404,10008000,行,高中高職,66049,82511098
201404,10008000,行,其他,44807,56460922
201405,10008000,行,博士,1311,1512344
201405,10008000,行,碩士,13550,15175104
201405,10008000,行,大學,59136,65395708
201405,10008000,行,專科,39310,45244819
201405,10008000,行,高中高職,65940,81508940
201405,10008000,行,其他,44783,55757821
201406,10008000,行,博士,1303,1573749
201406,10008000,行,碩士,13847,16046230
201406,10008000,行,大學,61409,68001660
201406,10008000,行,專科,40403,45555472
201406,10008000,行,高中高職,68557,85038123
201406,10008000,行,其他,46424,58655461
201407,10008000,行,博士,1525,1772073
201407,10008000,行,碩士,15518,17557491
201407,10008000,行,大學,67031,72121592
201407,10008000,行,專科,44525,49803460
201407,10008000,行,高中高職,72962,91518492
201407,10008000,行,其他,49591,61867082
201408,10008000,行,博士,1694,1967998
201408,10008000,行,碩士,16872,18562660
201408,10008000,行,大學,70072,74902819
201408,10008000,行,專科,45821,50163517
201408,10008000,行,高中高職,73465,87507025
201408,10008000,行,其他,50539,61756813
201409,10008000,行,博士,1399,1564235
201409,10008000,行,碩士,14062,15094006
201409,10008000,行,大學,62418,64599153
201409,10008000,行,專科,40856,43640886
201409,10008000,行,高中高職,67857,80007127
201409,10008000,行,其他,46363,56284643
201410,10008000,行,博士,1418,1553306
201410,10008000,行,碩士,14994,15364516
201410,10008000,行,大學,66476,67109098
201410,10008000,行,專科,42896,44317791
201410,10008000,行,高中高職,70922,80573735
201410,10008000,行,其他,48669,56280450
201411,10008000,行,博士,1376,1417464
201411,10008000,行,碩士,14227,14338362
201411,10008000,行,大學,63376,60603056
201411,10008000,行,專科,40274,39735439
201411,10008000,行,高中高職,67169,74049763
201411,10008000,行,其他,46152,52534749
201412,10008000,行,博士,1364,1373049
201412,10008000,行,碩士,13718,12690840
201412,10008000,行,大學,61432,55951024
201412,10008000,行,專科,40111,36667353
201412,10008000,行,高中高職,66958,69897780
201412,10008000,行,其他,45560,46961926
201501,10008000,行,博士,1440,1301350
201501,10008000,行,碩士,15450,13042420
201501,10008000,行,大學,64804,52296061
201501,10008000,行,專科,41947,34596177
201501,10008000,行,高中高職,68660,63247316
201501,10008000,行,其他,47425,44202718
201502,10008000,行,博士,1662,1653305
201502,10008000,行,碩士,16794,14153429
201502,10008000,行,大學,66188,55519292
201502,10008000,行,專科,41905,35322825
201502,10008000,行,高中高職,67199,62270635
201502,10008000,行,其他,47483,44248871
201503,10008000,行,博士,1325,1252148
201503,10008000,行,碩士,13560,11945866
201503,10008000,行,大學,59679,51309280
201503,10008000,行,專科,39150,34267139
201503,10008000,行,高中高職,66139,62745831
201503,10008000,行,其他,45245,44020872
201504,10008000,行,博士,1398,1267936
201504,10008000,行,碩士,14452,12618647
201504,10008000,行,大學,61168,53380764
201504,10008000,行,專科,38916,33702457
201504,10008000,行,高中高職,64629,61553273
201504,10008000,行,其他,44327,43265170
201505,10008000,行,博士,1437,1303893
201505,10008000,行,碩士,14448,13097553
201505,10008000,行,大學,62057,55344511
201505,10008000,行,專科,39089,35866464
201505,10008000,行,高中高職,64683,63526287
201505,10008000,行,其他,44184,44784874
201506,10008000,行,博士,1437,1361041
201506,10008000,行,碩士,15252,14086773
201506,10008000,行,大學,65064,58176399
201506,10008000,行,專科,40775,37305916
201506,10008000,行,高中高職,68325,67927198
201506,10008000,行,其他,46685,47126747
201507,10008000,行,博士,1630,1493907
201507,10008000,行,碩士,16550,15198572
201507,10008000,行,大學,68215,59838631
201507,10008000,行,專科,43571,38994692
201507,10008000,行,高中高職,71144,69436004
201507,10008000,行,其他,48578,47933623
201508,10008000,行,博士,1601,1439196
201508,10008000,行,碩士,15481,13080997
201508,10008000,行,大學,63901,53540086
201508,10008000,行,專科,40771,34650778
201508,10008000,行,高中高職,65802,59992347
201508,10008000,行,其他,44868,41640034
201509,10008000,行,博士,1402,1234362
201509,10008000,行,碩士,14872,12456433
201509,10008000,行,大學,64294,52250824
201509,10008000,行,專科,40294,33107245
201509,10008000,行,高中高職,66091,59948993
201509,10008000,行,其他,45516,41032016
201510,10008000,行,博士,1468,1317753
201510,10008000,行,碩士,15505,13001865
201510,10008000,行,大學,67502,54536488
201510,10008000,行,專科,41980,35326557
201510,10008000,行,高中高職,69038,62787865
201510,10008000,行,其他,47652,43511385
201511,10008000,行,博士,1425,1211476
201511,10008000,行,碩士,15674,12839771
201511,10008000,行,大學,66969,51799513
201511,10008000,行,專科,41836,33473288
201511,10008000,行,高中高職,68599,60514864
201511,10008000,行,其他,46609,41256266
201512,10008000,行,博士,1481,1255038
201512,10008000,行,碩士,15014,11891481
201512,10008000,行,大學,64597,49004415
201512,10008000,行,專科,40459,30823830
201512,10008000,行,高中高職,65943,56916511
201512,10008000,行,其他,44577,37281819
201601,10008000,行,博士,1057,755737
201601,10008000,行,碩士,9105,6530486
201601,10008000,行,大學,39067,26799749
201601,10008000,行,專科,25961,18680114
201601,10008000,行,高中高職,41581,32299480
201601,10008000,行,其他,26730,21615862
201602,10008000,行,博士,983,700177
201602,10008000,行,碩士,9762,6911755
201602,10008000,行,大學,39436,27401712
201602,10008000,行,專科,26161,18922093
201602,10008000,行,高中高職,40247,30322533
201602,10008000,行,其他,26881,20843967
201603,10008000,行,博士,828,923842
201603,10008000,行,碩士,7500,5701354
201603,10008000,行,大學,33591,25166390
201603,10008000,行,專科,22424,17626962
201603,10008000,行,高中高職,35860,29838630
201603,10008000,行,其他,23464,19500940
201604,10008000,行,博士,940,716400
201604,10008000,行,碩士,8629,7184380
201604,10008000,行,大學,36169,27175548
201604,10008000,行,專科,23591,18190149
201604,10008000,行,高中高職,37058,32008972
201604,10008000,行,其他,24337,20548778
201605,10008000,行,博士,953,834815
201605,10008000,行,碩士,8740,7222143
201605,10008000,行,大學,37325,29600104
201605,10008000,行,專科,24571,19820498
201605,10008000,行,高中高職,38824,34694540
201605,10008000,行,其他,25388,22476369
201606,10008000,行,博士,979,830641
201606,10008000,行,碩士,9202,7762166
201606,10008000,行,大學,39481,32196795
201606,10008000,行,專科,25317,21396062
201606,10008000,行,高中高職,40994,37495292
201606,10008000,行,其他,27772,25623140
201607,10008000,行,博士,1058,1148275
201607,10008000,行,碩士,10093,8588882
201607,10008000,行,大學,41225,32804315
201607,10008000,行,專科,26364,21621785
201607,10008000,行,高中高職,41089,36146358
201607,10008000,行,其他,27757,24672763
201608,10008000,行,博士,1153,905462
201608,10008000,行,碩士,9746,8305995
201608,10008000,行,大學,39851,30481280
201608,10008000,行,專科,25017,20646831
201608,10008000,行,高中高職,39266,33779488
201608,10008000,行,其他,29870,25619530
201609,10008000,行,博士,951,816241
201609,10008000,行,碩士,8389,7299852
201609,10008000,行,大學,34246,26236492
201609,10008000,行,專科,20860,17148115
